human,system
내 주위에는 왜 도움이 안되는 사람들만 잔뜩 있지?,내 주위에는 도움이 안되는 사람들만 있다고 생각하시는군요.
내 허락도 없이 내 물건을 마구 쓰는 사람이 있어서 짜증 나.,다른 사람이 나의 허락 없이 내 물건을 사용하는 것에 화가 나셨군요. 어떻게 대처하면 기분이 상하지 하고 해결이 될까요?
동생이 시시콜콜 간섭하고 들어.,동생의 언행으로 다소 불편하시겠어요.
싸웠던 친구가 있었는데 지금은 그 친구가 더 잘 사는 것 같아서 짜증 나.,다툰 친구분이 더 잘 사시는 것 같다고 느끼셔서 짜증이 나셨나 봐요.
과장이 자꾸 나를 대리랑 비교해. 진짜 짜증 나.,과장님이 비교하는 말을 해서 짜증 나셨겠어요. 어떤 비교하는 말을 했나요?
주말에 쉬고 싶은데 아내는 나한테 자꾸 집안일을 시켜서 짜증이 나네.,주말에 쉬지 못하게 하는 아내분 때문에 짜증이 나시는군요.
우리 집에 올 때마다 냉장고에 있는 걸 다 꺼내먹고 어지르는 친구 때문에 화가 나.,친구의 행동 때문에 화가 났군요. 더 자세한 이야기를 들려주시겠어요?
상사가 나한테만 일을 주는 것 같아서 너무 짜증 나.,사용자님에게만 일을 몰아주는 상사 때문에 화가 나셨나 봐요.
우리 시어머니는 볼 때마다 나한테 왜 아들을 못 낳았냐고 말씀하셔서 시댁에 가기 싫어.,매번 아들을 왜 못 낳았냐고 하시니 화나고 서운하시겠어요.
시누이가 나에게 해 온 것도 없이 시집와서 호강한다고 쉽게 말을 해서 화가 나.,시누이에게 서운한 말을 들어 화가 나셨겠군요.
컵에 담가 놓았던 틀니가 대체 어디로 갔는지 안 보여서 화를 참을 수가 없어!,틀니를 컵에 담가 놓으셨는데 안 보여서 화가 나셨군요.
병원에서 매일 진료를 받으러 오라고 하는데 차도가 없는 것 같아. 돈만 들어가는 것 같아서 짜증이 나.,병원에 매일 가시는데도 병에 차도가 없는 것 같아서 짜증이 나시는군요.
허리 협착증이 오래되어서 수술을 했는데 움직이지 못해서 아내가 대소변을 받아주고 있어.,허리 수술 뒤 움직이기 어려워서 아내가 대소변을 받아주는 상황이시군요.
폐렴이 심해져서 이제 담배를 끊어야 한대. 내 유일한 낙이 사라져서 짜증이 나.,폐렴이 심해져서 담배를 끊어야 하는 상황에 짜증이 나시는군요.
병으로 청각 장애를 얻어서 잘 들을 수 없게 됐어. 그런데 그걸 모르고 내게 짜증 내는 사람들이 많아.,청각 장애가 있는지 모르고 오해해서 짜증 내는 사람들이 많군요. 그럴 때 기분이 어떠신가요?
난 고지혈증이 있어서 가족들이 고기를 구워 먹고 있는 것을 지켜봐야만 해.,고지혈증 때문에 가족들이 고기를 먹는 모습을 보고만 계시는군요. 기분이 어떠신가요?
무릎이 나아지지 않는 것 같은데 의사는 계속 입원해 있으라는 말만 해서 화나.,입원을 해도 무릎이 더 좋아지지 않는데 의사는 계속 입원하라고 해서 화나는군요.
은퇴 자금으로 노후에 편의점 창업을 하려고 했는데 암에 걸려서 자금을 다 날려버려서 짜증이 나.,은퇴 자금을 암 치료비로 다 쓰셔서 짜증이 나시는군요.
내가 고혈압이 있는데 아내가 고혈압에 좋은 음식이라며 현미밥만 해줘서 짜증이 나.,아내가 고혈압 완화를 위해 현미밥만 해 주고 있어 짜증이 나는군요.
전립선 비대증 때문에 생활이 매우 불편해서 짜증 나.,전립선 비대증 때문에 생활이 불편하시고 짜증이 나는 일이 많군요.
신장 투석을 할 때마다 매번 번거롭고 아파서 너무 짜증이 나.,신장 투석을 할 때마다 너무 아파서 짜증이 나시는군요.
저혈당이 있어서 인슐린 주사를 맞아야 하는데 주사가 너무 아파서 짜증 나.,인슐린 주사가 너무 아파 짜증이 나시는군요.
회사에서 약속한 날짜에 급여를 지급하지 않고 있어 짜증 나.,급여를 제때 지급하지 않아 화나겠군요.
이토록 힘들게 공부하느니 차라리 나가서 돈을 벌겠어.,힘들게 공부하는 것보다 돈을 버는게 낫다고 생각하시는군요. 더 자세히 말씀해 주시겠어요?
너무 불공평하고 짜증이 나. 부부가 맞벌이하는데도 가사는 전부 내 차지야.,함께 맞벌이하는데 가사를 내가 해야해서 불공평하다는 생각에 짜증이 나시는군요.
정말 힘들어. 공장에서 일하고 집에 오면 또 설거지를 해야만 하다니.,공장에서 일하고 또 집에서 설거지까지 하신다니 무척 힘드시겠어요.
건강에 좋은 잡곡밥을 해 줬더니 아들이 쌀밥을 해 달라고 투덜대서 짜증이 나.,몸에 좋은 잡곡밥을 해줘도 아들이 투덜대니까 화가 나시겠어요.
회사 사수가 자기 잘못을 나한테 뒤집어씌워서 화가 나.,회사 사수가 그렇게 행동해서 많이 화나고 짜증 나시겠어요
엄마는 왜 자꾸 내가 한 말을 까먹는 거지?,엄마가 자꾸 내가 한 말을 까먹으시는군요. 조금 더 상세히 말씀해 주시겠어요?
학교에서 따돌림을 당해서 스트레스를 받다 보니 나도 모르게 가족들에게 짜증 내고 큰소리를 치게 되네.,따돌림으로 스트레스를 받다 보니 가족들에게 짜증을 내고 큰소리를 치게 되시는군요.
남자친구한테 짜증을 냈어.,남자친구와 안 좋은 일이 있으셨군요. 무슨 일인지 자세히 알려줄 수 있어요?
요즘 마스크 안 쓰고 다닌 사람들만 보면 화가 나. 그래서 회사 사람들에게도 가끔 화를 낼 때가 있어.,마스크를 안 쓰고 다니는 사람들을 보면 화가 나시는군요. 그 상황에서 어떻게 화를 내세요?
도대체 나 보고 어떻게 하라는 건지 모르겠어.,스트레스를 받으셨군요. 어떤 일이 있으셨나요?
내 옆에 있는 다른 팀 사람이 자꾸 자기 업무를 부탁해서 짜증이 나.,부당한 업무 부탁에 스트레스를 받으셨군요. 이럴 때 누구와 이야기를 나눌 수 있을까요?
얼마 전에 직장에 취업했는데 내가 원하던 업무가 아닌 것 같아서 짜증이 나.,생각했던 업무와 다르다고 느껴지니 답답하고 짜증도 났겠어요.
