human,system
걱정이야. 이러다가는 평생 연애만 하고 결혼은 못 할 거 같아.,결혼을 못 할 것 같아 두려우시군요. 어떤 이유가 있으신가요? 
나 오늘 또 서류전형에서 탈락했어.,서류전형에서 탈락하셨군요. 지원한 회사는 어떤 회사였나요?
나 친한 친구랑 심하게 싸웠어. 아무래도 절교할 것 같아.,친한 친구랑 싸우셨군요. 많이 심한 일인가요?
대인관계를 어떻게 잘 이어 나가야 할지 모르겠고 좌절감이 들어.,대인관계에서 어떤 어려움이 있으신 건가요?
또 승진에서 탈락했어. 이번엔 꼭 될 줄 알았는데 너무 실망스러워.,기대했던 승진에서 탈락하셔서 아주 속상하시겠어요.
사람들이랑 친하게 지내는 게 너무 어려워. 아무리 노력해도 마음처럼 되지 않아.,대인관계에 있어서 어려움을 느끼고 계시네요.
연애하고 싶은데 소개팅만 나가면 꽝이야. 이러다가 난 결혼 못 하고 늙어 죽을 거야.,소개팅에서 만나는 사람과 계속 잘 안 풀려서 많이 좌절하신 것 같아요. 
오늘 같이 입사한 동기가 나보다 더 빨리 승진했어. 나의 능력이 부족한 것 같아.,동기보다 늦게 승진이 돼 기분이 상하셨군요.
음악 실기 완전 망쳤어. 나는 왜 잘하는 게 하나도 없는지 모르겠다.,음악 실기 시험을 망쳐서 기분이 안 좋으시겠어요.
축제 때 전시할 그림을 나는 한 달 내내 준비했는데 친구는 겨우 이틀 만에 끝냈다네.,친구가 전시 그림을 이틀 만에 끝냈군요. 어떤 기분이 드셨나요?
내가 어제 종일 피아노 쳤는데도 아무리 연습해도 실력이 늘지 않아.,피아노를 아무리 연습해도 실력이 늘지 않으시는군요. 마음이 어떠신가요?
항암 치료 결과가 전혀 차도가 없어서 죽음을 맞이할 생각에 걱정이 앞서.,항암 치료가 잘 되지 않아 죽음까지 생각하고 많이 걱정되시겠어요.
건강 검진으로 자궁경부암을 발견했어. 너무 늦게 발견했는지 방법이 없다고 하는데 화가 나.,갑작스럽게 자궁경부암을 발견했는데 방법이 없다는 말에 더 화가 날 것 같아요.
짠 음식을 멀리 했는데도 고혈압이 좋아질 기미가 안 보여서 절망스러워.,고혈압이 낫기 위해 노력했는데도 좋아질 기미가 안 보여서 절망스러우시겠어요.
녹내장으로 점점 시력을 잃어갈 것이라고 하는데 너무 무섭고 화가 나.,녹내장 때문에 무섭고 화가 나시는군요.
간암으로 간을 이식받아야 하는데 대기자가 많아 가망이 없다는 말에 좌절스러워.,간 이식 대기자가 많아 가망이 없어 좌절하셨군요.
자식들과의 연락도 끊기고 남편도 없어서 암으로 죽은 후에 장례를 치러 줄 사람이 없어서 슬퍼.,장례를 치러 줄 사람이 없어서 슬프시군요.
암에 걸렸는데 자식들 그 누구도 문병을 오지 않아 쓸쓸해.,자식들이 알고서도 오지 않으니 쓸쓸하시겠어요.
당뇨가 너무 심하게 진행되어서 식단 조절도 소용이 없다고 하니 절망스러워.,당뇨가 심각해서 절망스러우시겠어요.
새로 나온 신약이 나에게 마지막 희망이었는데 맞지 않아 쓸 수 없다는 소식에 화가 나.,마지막 희망을 놓쳐서 절망스럽겠어요.
오늘 집에 와 보니 엄마가 편지만 남기고 갑자기 어디론가 떠나셨어. 너무 당황스러워.,어머니가 편지만 남긴 채 갑자기 떠나셔서 많이 당황하셨겠어요.
우리 가족은 아무도 날 사랑하지 않는 것 같아. 혼자 펑펑 울었어.,가족이 아무도 사랑하지 않는 것 같아서 슬프시겠어요.
나는 정말 열심히 노력했는데 우리 부모님은 인정해 주지 않고 기대만 하는 것 같아서 속상해.,부모님이 인정해 주지 않아서 속상하셨군요. 조금 더 자세히 말씀해 주시겠어요?
의사 선생님이 나보고 엄마가 더 살지 못한다 그랬어. 엄마가 떠날까 봐 너무 무서워.,어머니가 떠날까 봐 두려우셨군요.
아빠가 나 때문에 이혼하는 거래. 속상해서 눈물이 나.,나 때문에 부모님이 이혼한다고 말씀하셔서 속상하셨군요.
부모님이 나보고 똑똑한 형이 있어서 나 같은 건 필요 없다 했어. 어이없네.,부모님이 필요 없다고 말을 해서 어이없으셨군요. 답답하시겠어요.
오늘도 아빠가 술 마시고 엄마를 때렸어. 우리 엄마 너무 불쌍해.,아버지가 어머니를 때려서 마음이 너무 속상하시겠어요.
부모님이 이사를 간다고 했는데 나만 할머니 집으로 가고 있어. 당황스럽네.,혼자서 할머니 집으로 가고 있어서 당황스러우셨군요. 조금 더 자세히 말씀해 주시겠어요?
할머니가 나보고 아빠가 죽은 게 내 탓이래. 기가 막힌다.,아버지가 돌아가신 것을 내 탓이라고 하는 말에 당황스러웠겠어요.
내가 열심히 그린 그림을 형이 찢어 버렸어. 분해서 눈물이 나.,형이 열심히 그린 그림을 찢어서 화나고 속상하셨군요.
전염병 감염의 우려가 있어서 병원 측에서 병문안을 일절 금지한다고 하네. 정말 말도 안 돼.,그런 일이 있으시군요. 어떤 상황인지 더 자세히 말씀해 주시겠어요?
당구는 내 유일한 오락인데 손목이 망가졌으니 더는 당구를 치면 안 된다고 하네.,손목 때문에 취미를 즐기지 못해서 속상하시겠어요.
보험 상담원이 만 육십 오세 이상은 보험료 지급도 안 된다고 해서 화가 나.,보험료 지급이 어려워져서 많이 속상하시겠어요.
수술했던 허리가 다시 안 좋아져서 재수술해야 한대. 회복하려고 노력했는데 이렇게 돼서 좌절감이 느껴져.,수술받았던 곳을 다시 수술해야 해서 좌절하셨군요.
밤을 새우며 이력서를 작성했는데 파일이 날아가 버려서 좌절스러워.,파일이 날아가 버려서 좌절하고 계시는군요.
회사 자금난 때문에 네 달째 월급이 들어오지 않아 생활이 힘들고 화가 나.,월급이 계속 들어오지 않아 화나시겠군요.
회사에서 내가 어제 제출한 서류를 전면 수정하라는 전달이 내려와 막막해.,서류를 전면 수정하라는 전달이 내려와 막막하시군요.
졸업한 지 삼 년째인데 아직 취업하지 못해 좌절감이 들어.,삼 년 동안 취업을 하지 못해 좌절감이 드시겠군요.
이번까지 벌써 다섯 번째 공무원 시험에 떨어져서 좌절감이 들어.,공무원 시험에서 많이 떨어져 힘드시군요.
운동부를 그만두고 취업을 하려니 쉽지 않네.,운동을 접고 취업을 하려니 쉽지 않아 좌절감이 드시겠네요.
사흘 연속으로 상사에게 같은 이유로 혼났더니 힘들어.,삼 일째 상사에게 혼났다니 힘들겠군요.
회사에서 내가 일머리가 없는 것 같아 힘들어.,일머리가 없다고 느껴서 힘드시군요.
이번에도 회사 승진 명단에 내가 없어서 힘들어.,이번에도 승진 명단에 없어서 힘드시겠어요.
회사 면접에서 합격했는데 잘못 채용된 것이라는 말을 들었더니 허탈해.,잘못 채용된 것이라는 말을 들으셨다니 허탈하시겠어요.
면접 시간에 늦을 것 같아 택시를 탔더니 사고가 나서 결국 지각을 했어.,늦을까 봐 탄 택시 때문에 결국 지각했다니 허탈하시겠군요.
쉬운 문제를 또 틀린 걸 보니 나는 바보가 분명해.,좌절하신 것처럼 들려요.
업무 능력과 상관없이 학벌 때문에 다른 직원에게 승진을 밀렸어.,학벌주의로 차별을 받다니 정말 억울한 상황이네요.
아들이 나보고 그동안 뭘 해줬냐고 얘기해서 속상해.,그런 말을 들어서 마음이 많이 상하셨겠어요.
아내가 나와 사는 게 지긋지긋하다고 말해서 속상해.,사는 게 지루하다는 말을 듣고 많이 속상하셨을 것 같아요.
오랫동안 일한 직장에서 인제 그만 퇴직을 하는 게 어떻겠냐고 물어 당황했어.,회사에서 나에게 퇴직에 대해서 물어서 무척 당황하셨겠군요.
둘 있는 자식들이 서로 우리를 모시지 않겠다고 싸워 속상해.,자녀분들이 둘이나 있는데 둘 다 모시기 싫다고 해서 속상하셨겠어요.
사람도 안 뽑고 취업이 너무 힘들어. 이렇게 하다가는 취업을 못 할 것 같아서 좌절스러워.,코로나 십구 때문에 취업이 어려워 많이 힘드시군요. 지금 어떤 걸 할 수 있을까요?
일 년 동안 준비한 회계사 시험에서 떨어졌어. 다시 일 년을 어떻게 준비해야 할지 모르겠어.,열심히 준비한 시험에서 좋은 성과를 얻지 못해 좌절하셨군요.
이번 팀장 승진에서 또 누락됐어.,아주 속상하셨겠어요. 여러 번 누락되신 건가요?
돈이 없으니 아무것도 살 수가 없어. 속상해,돈이 없어서 마음이 좋지 않으시군요.
노년이 되니까 만성 질환도 생기고 거동도 정말 불편해서 괴롭다.,만성 질환과 거동의 불편함으로 많이 힘드시겠어요.
성인병이 발생하니 대인관계에도 문제가 생기네.,대인관계가 어려우시군요. 더 자세히 말씀해 주실 수 있나요?
집에서 남자친구와의 결혼을 반대해서 괴로워.,집안에서 결혼 반대를 해서 당황스러우실 것 같아요.
나는 또 지원금 선정 대상에서 제외되었나 봐.,지원금 선정 대상에서 제외되셨군요.
엄마 친구 딸이 나와 동갑인데 그 아이는 이번에 취업했대. 엄마가 자꾸 그 아이와 비교하니 좌절감이 들어.,다른 사람과 비교당하며 자신의 처지에 좌절감을 느끼고 있군요.
벌써 백 번이나 이력서를 넣었는데 아무 데서도 연락이 오지 않아. 내가 너무 쓸모없게 느껴져 좌절감이 들어.,여러 차례 이력서를 제출했지만 아직 취업을 못 해서 좌절되시는군요.
나는 여태까지 가족들 먹여 살리느라고 평생을 바쳤는데 이제는 그것 때문에 건강이 너무 나빠졌어!,그동안 너무 고생이 많으셨던 것 같네요. 지금이라도 건강을 챙길 수 있는 방법을 찾아보는 것은 어떨까요?
일하다가 실수를 해서 거래처에서 항의가 들어왔어.,저런! 걱정이 많으시겠네요.
아내가 나보고 월급이 적다며 나무랐어. 그 말을 듣고 너무 좌절감이 느껴져.,열심히 일하시고 받은 월급인데 자책감이 드시겠어요. 부인은 왜 그런 말씀을 하신 건가요?
회사에서 끊임없이 업무를 줘. 끝도 없는 업무량에 이젠 정말 지쳤어!,회사의 업무량이 너무 많아 환멸을 느끼시는군요. 평소 스트레스를 푸시는 방법이 있나요?
이번에도 또 승진 누락됐어. 다 포기하고 싶다.,회사에서 안 좋은 일이 있으셨군요.
오늘 일주일간 고생해서 기획한 프로젝트가 수포가 되었어.,일주일이나 고생하셨는데 프로젝트가 잘 안돼서 상심이 크시겠어요.
오래전 계단을 오르다 넘어져 무릎 인대를 다쳤었는데 근래에 자꾸 시큰거리는 거야. 그래서 병원에 다녀왔는데 절망적이야.,다치셨던 인대가 많이 불편하신가요?
노후에 이사 다닐 걱정하지 않게 작은 아파트를 사볼까 하고 십 년 전부터 적금을 들어 왔는데 아무래도 어려울 것 같아.,오랫동안 준비해 왔는데 계획이 무산되면 상심이 크겠어요.
아무래도 이번 소개팅도 망친 것 같아.,소개팅이 기대만큼 잘되지 않으셔서 실망하셨나 봐요.
아내가 자꾸 친구 남편과 비교해서 말을 하는데 좌절감이 들어.,아내가 다른 남편과 비교를 하시는군요. 
이번에 또 불합격했어. 도대체 내가 뭐가 부족한 걸까.,불합격하셔서 아주 속상하시겠어요.
인간관계는 알다가도 모르겠어.,고민에 대해 더 자세히 말씀해주실 수 있나요?
회사에서 권고사직을 받았어.,그런 말을 들으셨군요. 어떤 생각이 드셨어요?
열심히 살았는데 요즘에는 좌절이야.,기분이 안 좋아 보이세요. 무슨 일이신가요?
자연 임신이 안 돼서 인공수정을 시도했는데 실패한 것 같아. 나는 아기를 가질 수 없는 사람인가 봐.,인공수정에 실패해서 마음이 많이 약해진 것 같군요. 몇 번째 시도하는 건가요?
결혼에 대한 생각 차이 때문에 오래 연애한 여자친구와 헤어졌어.,여자친구와 결혼에 대한 생각이 달라서 이별을 하셨다니 정말 슬프시겠어요.
체중이 증가해서 걱정이야.,몸무게가 늘어 걱정이시군요. 어떻게 하면 좋을까요?
또 차였어. 나는 왜 자꾸 차이는 거지? 내 연애는 왜 항상 실패하는 걸까?,사랑하는 사람과의 헤어짐은 언제나 속상한 법이죠. 자신의 연애가 항상 실패한다고 생각하는 특별한 이유가 있으신가요?
면접을 보고 왔는데 불합격했어. 열심히 준비해서 갔는데 실전에서 제대로 하지 못한 것 같아.,속상하시겠어요. 다음 기회엔 결과가 좋았으면 해요.
이번에 내가 승진하는 시기였는데 다음으로 미뤄졌어.,기분이 매우 좋지 않았겠어요. 그 발표가 난 이후로는 어떻게 지내고 계시는가요?
결혼을 하고 싶은데 나는 소개팅이 매번 성사가 잘 안 돼서 힘이 들어.,소개팅이 잘 안 되어 속상하시겠군요.
십년지기 친구랑 싸웠어. 이번에 축의금 문제가 있었거든.,어떤 일이 있었는지 자세히 말씀해 주실 수 있나요?
나 갑상샘에 물혹이 무척 많대. 암은 아니라지만 그래도 망가진 몸 때문인지 기운이 안 나.,놀라셨겠네요. 그래도 암이 아니라니 그나마 다행이에요.
결혼하는 친구들을 보면 준비 비용이 너무 많이 들더라고. 나는 그렇게 돈이 없어서 너무 낙담이 돼.,그러셨군요. 정말 힘드셨겠어요. 지금 직장에 다니시니까 어떻게 하면 결혼 준비를 위해 더 돈을 모을 수 있을까요?
이번에 승진 시험에서 탈락했어. 동기 중에 내 성적이 제일 낮아서 우울하고 힘들어.,승진 시험 때문에 마음이 힘드신가 봐요. 혹시 시험을 잘 치를 수 없었던 사정이 있었던 건가요?
즘 회사에서 컴퓨터로 하는 업무가 많아져서 힘들어.,회사에서 하는 일이 힘드시군요.
어제 친구들과 술을 마셨는데 필름이 끊겼어. 그리고 오늘은 아무랑도 연락이 안 되네.,많이 드셨나 봐요.
이번에도 면접에서 떨어졌어. 어쩌면 좋지?,면접에 떨어져서 크게 실망하셨겠어요.
나 이번에 친구들 볼 면목이 없어.,친구들 볼 면목이 없군요. 왜 그러시죠?
노후 준비는커녕 빚이 있으니 걱정이야.,빚 때문에 걱정 많으시겠어요.
