human,system
날 면접에서 떨어뜨린 회사에서 만드는 물건은 사지도 않을 거야. 정말 화가 나.,면접에서 탈락한 회사에 대해 불편한 마음이 있으시군요. 특별한 일이 있으신 건가요?
현 직장에서 여성 직원이라는 이유만으로 연봉을 올려주지 않겠대.,연봉 미인상의 이유가 불합리해서 회사의 의도가 악의적이라고 느끼겠어요.
나는 어릴 때부터 명확하게 한 가지 분야의 진로만을 설정해왔고 지금도 이 분야의 직장에 취업하기 위해 노력하고 있어.,어릴 때부터 지금까지 명확한 목표가 있고 준비 중이라니 멋진 것 같아요.
회사에서 따돌림당하는 것 같아. 뭔가 업무 분담이 악의적으로 느껴져.,회사에서 따돌림당해 고통받으시는군요. 이런 상황을 극복할 방법이 있지 않을까요? 
같이 일하는 동기가 일 처리를 이상하게 해서 내가 욕을 먹어. 그래서 너무 화가 나.,동기가 미숙해 피해를 보시는군요. 이런 상황을 어떻게 해결하고 싶으신가요? 
내 친구가 파혼한 데. 와이프 될 사람이 악의적으로 돈을 뜯어내려고 하나 봐.,친구 와이프분의 문제로 친구가 파혼하는군요.
아빠가 용돈도 안 주고 짜증만 내.,아버님 때문에 기분이 상하셨군요.
형이 내가 늦게 들어온 걸 엄마한테 일러서 너무 화가 나.,형 때문에 화가 나셨나 봐요. 더 자세히 말씀해 주시겠어요?
아빠가 나를 무시해도 괜찮다고 얘기했어. 나도 아빠를 무시해야겠어.,아버님께 무시를 당해서 속상하신가 봐요. 더 자세하게 말씀해 주실 수 있나요?
아빠가 너무 답답해서 아빠한테 아빠라는 사람이 왜 그러냐고 소리를 질렀어.,그런 상황이 있었군요. 더 자세히 말씀해 주실 수 있으신가요?
누나한테 누나가 우리 가족 중에 제일 못생겼다고 얘기했어.,그런 말을 하고 난 뒤 사용자님의 기분은 어떠셨나요?
동생이 내 말을 계속 무시하고 하지 말라는 짓만 골라서 하길래 혼내 줬어.,동생의 행동이 마음에 들지 않았나 봐요. 지금 사용자님의 기분은 어떠신가요?
가족들이 자꾸 내 일에 간섭해. 너무 싫어서 방문을 닫았어.,가족들의 간섭에 기분이 안 좋으시겠어요.
매일 담배를 피우는 아빠 때문에 화가 나서 나도 담배를 한 대 피워봤어.,아버지 때문에 화가 많이 나셨군요. 더 자세한 상황을 말씀해 주시겠어요?
아빠는 술만 마시면 엄마에게 폭력적이고 나한테는 술을 따르라고 해. 너무 무섭고 싫어.,아버지의 폭음과 폭력 때문에 화가 나시는군요. 더 자세히 말씀해 주실 수 있나요? 
가족들이 나만 놀리는 게 너무 화가 나서 방문을 쾅 닫고 걸어 잠갔어.,가족들 때문에 화가 많이 났군요. 더 자세한 이야기를 들려주시겠어요?
가족들이랑 연 끊고 살게 빨리 어른이 되고 싶어. 정말 지겨워.,가족들이랑 함께 지내는 것에 어려움을 겪고 있군요. 더 자세히 말씀해 주시겠어요?
엄마 말로는 결혼할 때 할머니가 엄마를 딸처럼 여기겠다고 했는데 할머니가 엄마한테 하는 것을 보면 화가 나.,그런 엄마와 할머니를 보는 것이 많이 괴롭겠네요.
가족이 나를 돈 버는 기계로만 보는 것에 화가 나서 은퇴했다는 사실을 숨기고 혼자 놀러 다녔어.,도대체 무슨 일이세요? 화가 나서 혼자 놀러 다녔다니요?
요즘 형편이 어렵다는 친구에게 전화가 오는데 그동안의 무소식에 화가 나서 안 받고 있어.,도대체 무슨 일이 있으시길래 그러세요? 과거에 친구와 안 좋은 일이 있으셨어요?
직장에서 상사와 부서 사람들과의 관계로 너무 힘들어서 요즘 정신과 치료를 받고 있어.,직장 내의 상사와 동료들과의 관계 때문에 힘드시군요.
같은 학과 친구의 과제를 망쳐버리고 싶어.,어떤 상황이 그런 생각을 하게 만들었나요?
내 아내는 정말 진절머리가 나. 냉장고에 맛있는 음식이 있길래 꺼내 먹었더니 나한테 뭐라 하는 거 있지.,정말 황당하셨을 것 같네요. 혹시 부인께서 그렇게 하시는 이유가 있다면 어떤 이유일지 짐작이 되는 부분이 있을까요?
아까 얘기한 펀드를 확인하니 작전 세력이 들어온 것 같아,작전 세력 때문에 펀드가 하락했다고 생각하시는군요.
나를 해코지한 사람에게 복수하고 싶어.,타인으로 인해 힘든 일을 겪으셨군요. 혹시 어떤 일이었는지 알 수 있을까요?
계속 취업이 안 되니 사회에 대한 분노가 차.,계속되는 취업의 어려움으로 마음이 아주 힘드시군요. 힘든 상황에 조언을 구할 사람이 주변에 계실까요?
그녀랑 헤어지고 싶어.,그녀랑 헤어지고 싶으시군요. 무슨 일이 있나요?
요즘 직장 상사 때문에 너무나 힘들어.,힘들어서 어떻게 하실 계획이신가요?
노후준비를 하려고 보험에 들었는데 최근에 살펴보니 불합리한 약관들이 너무 많아서 화가나.,불합리한 조건들 때문에 화가 나셨군요. 어떤 불합리한 점이 있던가요?
직장 상사인 최 부장은 너무 나만 괴롭히는 것 같아서 너무 힘들어.,직장 상사가 괴롭혀서 많이 힘드신 것 같네요.
정말 너무 미워죽겠어. 내 시누이가 될 사람이 나한테 자기 오빠가 과분하대.,시누이 될 사람이 한 말 때문에 속상하셨겠어요. 이렇게 속상할 때 어떻게 마음을 풀면 좋을까요?
친구한테 복수하고 말 거야.,화가 많이 나셨군요. 어떤 일이신지 얘기해 주실 수 있나요?
부장은 나한테 왜 그러는지 모르겠어.,안 좋은 일이라도 있으세요?
기껏 운동하고 등산하고 했더니 이게 뭐야!,등산을 하셨는데 무슨 일이 있으셨나요?
저 사람은 도대체 왜 저러나 모르겠어. 말도 밉게 하고!,두 분 사이가 안 좋으신 것 같네요. 무슨 일이세요?
진짜 황당해! 나이 먹은 게 벼슬도 아니고!,지금 몹시 화가 나 보여요. 무슨 일인지 말해줄래요?
정말 개념이 없는 사람들이야. 뭐 이렇게 무식한 사람이 다 있지?,기분이 안 좋아 보이시네요. 무슨 일 있었나요?
어머님이 아이를 안자마자 젖을 안 물려서 힘이 없다고 했어. 태어나자마자 어떻게 젖을 물리고 힘을 내겠어. 진짜 다 필요 없어. 어머님 때문에 이혼할 거야.,출산하고 힘든데 기분을 나쁘게 하는 말투에 화가 많이 났겠어요. 남편하고는 이야기해 보았나요?
