human,system
요즘 청년 실업률이 너무 심각한 거 같아. 취업해야 하는데 기업들이 채용을 많이 하지를 않아.,청년 실업률의 심각성에 대해서 고민이시군요.
직장에서 부당한 일을 겪어서 너무 화가 나.,부당한 일을 당해서 속상하시군요. 주변 사람에게 말해보면 감정이 조금은 나아질까요?
오늘 엄마랑 진로 문제로 크게 싸웠어. 그래서 너무 화가 나.,어머니랑 진로 문제로 싸우셨군요. 자세하게 알려주실 수 있나요?
오늘 면접은 너무 망했어!,면접 때 무슨 일이 있으셨나요?
부모님이 자꾸 취업하라고 잔소리해. 나도 아는데 자꾸 잔소리하니까 화가 나.,취업하라는 잔소리 때문에 화가 나는군요. 어떻게 하면 괜찮아질까요? 
나 어제 여자친구랑 헤어졌어. 너무 화가 나,여자친구와 헤어져서 화가 나셨군요. 헤어진 이유가 무엇인가요?
어쩜 이렇게 취업 시장이 얼어붙을 수 있지. 이래서 밥 벌어 먹고살 수 있겠냐고.,취업 문제로 화가 나셨군요.
여자친구가 전화로 헤어지자고 그랬어. 어떻게 그럴 수 있지?,전화로 이별 통보를 받아 화가 나셨군요.
오늘 회사에서 부장님이 자기 아이 만들기 숙제를 나보고 하래서 못한다고 했더니 시말서를 써오래. 어이가 없어.,부당한 업무 때문에 시말서를 써야 하셔서 흥분하셨군요.
애인이 기념일을 잊어버리고도 아무렇지 않아 보여서 화나.,기념일을 잊어버리다니 속상하고 화나겠어요.
노후 준비 관련한 교육 프로그램을 찾고 있는데 아무런 자료가 없다는 게 어이없네.,원하는 자료가 없어서 화가 나셨군요.
아내가 내 허락 없이 노트북을 자기 친구에게 빌려줬는데 너무 화가 나네.,화가 많이 나셨군요. 어떤 이유에서 그렇게 생각하시는지 말씀해 주실 수 있나요?
내가 돈 버는 기계야? 난 가족이 아닌가?,좀 더 자세히 알려주세요.
아내가 자꾸 소리를 질러서 스트레스받아.,조금 더 자세히 이야기해 줄래요?
명절인데 자식들이 안 오네. 섭섭해서 원.,명절인데 자식들이 안 와서 섭섭하셨군요.
아내와 요즘 자꾸 싸우게 되는 것 같아.,자세히 이야기해 보시겠어요?
회사에서 상사한테 혼나고 집에서 아내에게 혼나고 너무 힘들어.,어떤 부분이 힘든지 조금 더 자세히 이야기해 주세요.
아내가 나를 무시하는 것 같아.,조금 더 구체적으로 이야기해 주실래요?
요새 들어 자식들이 내가 불러도 대답을 안 하네? 말이 돼?,요새 자식들이 내가 불러도 대답을 안 해서 기분이 안 좋으시군요.
자식이 집이 좀 가난하다고 부모를 원망해도 돼?,자녀분들이 집이 가난하다고 부모를 원망했나보군요. 기분이 어떠셨나요?
부모님께서 요즘 들어 계속 전화로 결혼 생각은 없냐고 물어보셔.,부모님께서 부쩍 결혼에 대해 많이 궁금하셨나 봐요.
남자친구가 자꾸 거짓말을 해서 너무 화가 나.,남자친구에게 화가 나셨군요. 더 자세히 말씀해 주실 수 있나요?
나는 가부장적인 남성들을 보면 너무 화가 나.,가부장적인 남성에 대해 부정적이시군요.
내가 회사 동료들한테 미경이가 그랬다고 한 적이 없는데 미경이가 다짜고짜 신경질 내며 사과하라는 거야.,미경 님과 오해가 생기셨군요? 무슨 일이 있으셨는지 좀 여쭤봐도 될까요?
우리 남편은 내가 간혹 집에 늦게 가는 날에도 문자나 통화도 전혀 하지 않아.,연락이 없으면 어떤 기분이 드시나요?
회사 동료가 본인이 맡을 업무를 안 하고 나한테 계속 미뤄.,아주 속상하겠어요.
친구가 내 돈을 빌리고선 갚지를 않아. 열심히 노력해서 모은 돈인데 너무 화나.,친구가 돈을 갚지 않아 속상하시군요.
마누라고 자식이고 돈 쓰는 것만 알아. 내가 천년만년 벌 것도 아닌데.,가족들 때문에 고민이시군요.  가족들과 그 문제로 대화를 해보셨나요?
회사에서 아주 큰 프로젝트를 완성해 얼마나 큰 이익을 만들어 줬는데 회사가 나에게 이럴 수 있어?,회사에서 어떻게 했는지 여쭤봐도 될까요?
자녀가 이 아버지도 모르게 재학 중인 대학을 자퇴했다고 그러네! 어렵게 들어간 대학을 그만두다니.,상심이 크시겠어요. 자녀분과 대화를 해보셨나요?
지금 집으로 달려가고 있는데 화가 나서 어찌 할 줄 모르겠네.,화가 나시는군요. 무슨 일인지 자세히 알 수 있을까요?
이번 추석엔 친정에다 못 내려간다고 전화했어.,추석에 못 간다고 말씀드렸군요.
추석에 상여 지급이 안될 수도 있다는 소문이 사내 게시판에 떠돌고 있대. 추석 때 떡 값도 없이 어떻게 내려가!,상여금 지급이 안될 수도 있다는 소문에 기분이 언짢아 지신거군요.
남편은 항상 술을 마시고 들어와 속상해.,남편분께서 항상 술을 마시고 귀가하셔서 속이 많이 상하신 것 같아요.
친구라고 생각했는데 뒤에서는 남들한테 내 욕을 하고 다녔대. 너무 화나서 참을 수가 없어!,기분이 언짢으시군요. 친구분에게 실망감이 크시겠어요.
나 정말 지금 나의 현실이 화가 나.,어떤 상황 때문에 화가 나시나요?
이 회사는 직원의 개인정보를 이렇게 유출해도 되는 거야? 보안이 왜 이렇게 취약한 거야?,무슨 일인지 자세히 알 수 있을까요?
나는 간소하게 스몰 웨딩을 하고 싶은데 남자친구 엄마가 반대하시네. 어머니는 큰 잔치라 사람을 많이 부르고 싶대.,스몰웨딩을 원하시는데 어머님은 뭐라고 하시나요?
지난주에 아이가 아파서 조퇴를 몇 번 하게 되었거든. 그런데 부장님이 여자들은 안된다는 식으로 말하는 거야.,상사로부터 여자라서 안된다는 말을 들으셨군요. 어떤 기분이셨어요?
남편과 함께 텔레비전을 보는데 남편은 자기가 원하는 채널만 고집해서 몹시 화가 나.,남편분과 텔레비전 보는 선호 채널이 다르시군요. 어떤 채널을 선호하시는지요?
요즘 남편이 나만 보면 버럭대고 소리쳐서 자주 싸우게 돼.,남편분이 화를 내시면 어떻게 반응하시게 되시나요?
건강검진 결과 때문에 너무 화가 나.,결과가 안 좋은가요?
실적도 나쁘고 부하직원도 말을 안 듣고 화가 많이 나.,요즈음 특히 그런 편인가요?
너무 화가 나서 사표를 쓰려고 해.,사표를 내려고 하시는군요. 무슨 일이 있었나요?
나는 아내가 정말 마음에 안 들어.,아내가 마음에 안드시는군요. 왜 그렇게 생각하시나요?
거래처 사람들은 정말 믿을 수 없어. 왜 자꾸 거짓말을 하는 거야?,거래처 사람들이 거짓말을 하신 건가요?
새로 알게 된 친구 때문에 화가 나!,무슨 일인지 설명해 주실 수 있나요?
직장에서 과장님이 자꾸 말도 안 되는 일을 시켜.,그게 무슨 일인지 여쭤봐도 될까요?
오늘 회사에서 짜증 나는 일이 있었어.,회사에서 짜증나는 무슨 일이 있었나요?
엄마와 문제가 있어. 내가 딸이라고 나한테만 바라시는 게 너무 많네.,힘드시겠어요. 어떤 점을 특히 그렇게 느끼시나요?
날 괴롭혔던 친구가 이번에 결혼한다네. 정말 싫어.,많이 괴롭혔던 친구인가요?
남편 때문에 정말 화가 나!,남편과의 관계로 기분이 언짢으시군요.
오늘 직속 상사가 내가 한 프로젝트를 가로채서 본인의 실적으로 꾸며서 너무 화가 나.,직장에서 안 좋은 일이 있으셨군요. 어떤 상황인지 조금 더 알려주실 수 있을까요?
