human,system
취업하고 싶은 회사가 있는데 사원모집 공고가 빨리 안 나네. 마음이 너무 조급해.,사원모집 공고를 기다리고 계시는데 빨리 발표가 나지 않아 마음이 불안하시군요.
빨리 취업하고 싶다.,취업하고 싶으시군요. 왜 빨리 취직하고 싶나요?
면접 결과를 기다리고 있는데 연락이 없어서 초조해.,합격 결과 연락을 기다리고 계시는군요.
가뜩이나 취업하기 어려운데 코로나 때문에 더 힘들어졌어.,코로나 때문에 취업 시장이 더 어려워졌네요.
내가 친구한테 부탁한 것이 있는데 자꾸만 안달하게 돼.,안달하게 된 계기가 있으셨나요?
사실 내 친구가 따돌림을 당하고 있어. 이 사실을 선생님께 말하고 싶어서 안달이 나.,친구가 따돌림당하는 사실을 선생님께 말씀드리고 싶어 안달이 나시는군요.
내가 따돌림당하고 있다는 사실을 부모님에게 이야기하고 싶어서 안달이 나.,따돌림당한다는 사실을 부모님께 말씀드리고 싶어 안달이 나시는군요.
날 왕따시킨 아이들의 만행이 밝혀져 하루라도 빨리 퇴학 처리됐으면 좋겠어.,왕따시킨 아이들이 하루라도 빨리 퇴학당하길 바라시는군요.
학교 갈 때마다 날 괴롭힌 애들을 만날까 봐 너무 무서워.,등교할 때 날 괴롭힌 아이들을 마주칠까 봐 무서우시군요.
날 괴롭히는 애들이 쉬는 시간마다 날 찾아와 괴롭히는데 그러지 않았으면 좋겠어.,굳이 쉬는 시간까지 찾아와서 괴롭히는군요. 정말 스트레스받고 힘들겠어요.
내가 친구를 괴롭힌 사실이 알려진다면 퇴학당하게 될 거야. 그래서 너무 무서워.,친구를 괴롭힌 사실이 알려져 퇴학당할까 봐 무서우시군요.
지금 다니는 학교엔 날 괴롭히는 애들이 너무 많아. 그래서 다른 학교로 전학 가서 새롭게 시작하고 싶어.,괴롭히는 애들이 많아 다른 학교로 전학 가고 싶으시군요.
나를 괴롭힌 아이들을 대상으로 연 학교 폭력 위원회의 처분을 기다리고 있어. 결과가 어떻게 나올지 궁금해.,나를 괴롭힌 아이들의 처분 결과를 기다리고 계시는군요.
방학을 하면 적어도 날 괴롭히는 아이들을 만날 일이 없으니 하루라도 빨리 방학을 했으면 좋겠어.,괴롭히는 아이들을 만나지 않을 수 있어서 방학을 기다리고 계시는군요.
요새 들어 친구가 내 몸이 허약하다고 잔소리를 하네. 적어도 이 친구보다는 건강해지고 싶어서 안달 나.,친구가 몸이 허약하다고 잔소리를 해서 건강해지고 싶으시군요.
자식들과 오래 함께 살고 싶어서 열심히 운동하고 있지만 쉽지 않아. 체력 때문에 쉽게 지치게 되네.,운동하고 계시는군요. 어떤 운동을 하세요?
난 가족들과 함께 건강하게 오래 살고 싶어. 그런데 그러기 위한 노력은 나만 하는 것 같아.,혼자서만 노력한다는 기분이 들었군요. 왜 그런 생각을 하셨나요?
친구가 나보고 허약하다고 잔소리를 하는데 내가 친구보다 더 건강하다는 걸 꼭 보여 줄 거야.,잔소리는 정말 듣기 싫죠. 뭐라고 하던가요?
내 건강이 다시 나빠져서 기력을 잃게 되면 남편은 다른 건강한 여자를 만날 것 같아서 안달이 나.,건강이 나빠지면 남편이 다른 여자를 만날 것 같아 안달이 나시는군요.
알코올 중독을 앓고 있는데 주변에서 술을 권하면 나도 모르게 마시고 싶어져서 안달이 나.,술을 마시고 싶지 않은데 주변에서 유혹하는군요. 힘드시겠어요.
서서히 나이가 들면서 건강했던 친구들이 몸이 아프다고 해서 불안해. 나이가 든다는 건 이런 건가 봐.,건강했던 친구들이 몸이 아프다고 해서 불안하시군요.
아직 보험 가입을 못 했어. 그래서 불안하고 안달이 나.,보험 가입을 못 해서 불안하고 안달이 나시는군요.
아직 하고 싶은 것들이 너무 많아. 근데 건강이 나빠질까 봐 안달 나.,하고 싶은 게 많은데 건강이 나빠질까 봐 안달이 나시는군요.
부모님이 자꾸 취업을 강요하셔.,부모님이 자꾸 취업을 강요하시는군요. 이때 본인의 감정은 어떠세요?
오늘 동아리 모임에 참석하지 못해서 너무 걱정돼.,어떤 점이 걱정이 되나요?
나이가 들수록 결혼을 하고 싶어서 조급해져.,나이가 들면서 결혼에 조급한 마음이 드시나 봐요.
내가 먼저 연락해야 할지 계속 기다려야 할지 조바심 나네.,연락 문제로 조급한 마음이 드시는군요.
컨펌 왜 이리 미뤄지는 거야 긴장되게.,일 처리가 늦어져 긴장되시나 봐요.
나 취직하고 싶어.,네. 어떤 일을 하기를 원하시나요?
취업이 잘되지 않네. 나에게 무슨 문제가 있는 걸까?,취업이 잘 안 되어 자책감이 드시는군요. 
어제 소개팅으로 만났던 사람이 정말 마음에 드는 데 연락이 없어서 안달 나.,소개팅에서 마음에 든 사람이 연락이 안 오고 있군요. 어떻게 해야 좋을까요?
얘는 왜 이렇게 연락을 잘 안 받는 거야? 이러다 내가 지치게 생겼어!,연락이 안 되면 답답할 텐데요. 많이 바쁜 사람인가요?
고등학교 삼 학년 딸아이가 독립하고 싶다고 하면서 안달 난 것처럼 행동해서 화가나.,따님이 독립을 원하시나 봐요.
내년이면 은퇴하는데 노후준비가 되지 않아서 부인이 요즘 안달이야.,그렇군요. 은퇴 후에 계획에 대해 이야기를 자주 나누시나요?
요즘 젊은 직원들은 도대체 이해할 수 없어.,직원들과 무슨 일이 있으셨나 봐요.
나만 안달 내는 대인관계에 지쳤어.,대인 관계에 지치셨군요.
고용 불안정으로 안달하는 내 모습이 너무 안쓰러워.,안 좋은 일이 있었나요? 설명해 줄 수 있나요?
이번 주가 회사채용 합격 발표이야. 나도 불안한데 집에서 더 안달이야.,집에서 왜 더 안달이라고 생각하시나요?
좋은 감정을 가지고 서로 알아 가는 사람이 있는데 어떤 여성과 커피숍에 앉아 있는 걸 봤어.,관심 있는 남성이 다른 여성을 만나고 있는 장면을 보니 마음이 조급하고 불안하시군요.
일은 많고 인원은 부족한데 충원을 좀 빨리해 줬으면 좋겠어. 너무 힘들어.,인원이 부족하다니 많이 바쁘실 것 같아요. 채용은 언제 된다고 하나요?
나는 여자친구가 너무 좋아. 빨리 결혼을 하고 싶어서 참을 수가 없어.,여자친구와의 결혼이 기다려지시는군요.
나이가 드니 친한 친구들이 여기저기 아프다고 하네.,주변 사람들이 걱정되시겠어요. 조금 더 말씀해 보시겠어요?
일이 잘 마무리가 안 되어 걱정이야.,일 때문에 걱정이시군요. 좀 더 말씀해 보시겠어요?
사장이 월급을 안 주어서 걱정이야.,고민이 되겠어요. 기한이 얼마나 지났나요?
아이가 매일 늦게 들어와서 불안해.,아이가 늦게 들어와 불안하시군요.
우리 학교 친구들이 이번에 나를 학생회 대표로 뽑아주면 좋겠어.,학생회 대표가 되고 싶나 보군요. 대표가 되기 위해 어떤 노력을 하고 있나요?
얼마 전에 면접을 봤던 회사에서 아직 연락이 없어. 계속 기다리기만 하는 상황이 답답하고 자꾸 핸드폰을 보게 돼.,면접을 봤던 회사에서 연락이 아직 없어서 자꾸 핸드폰을 보게 되고 신경이 쓰이나 보군요.
요즘 시간이 생길 때마다 은퇴 후의 삶에 대하여 고민하는 시간이 늘고 있어.,그렇겠군요. 지금 그런 고민을 많이 하실 연령대이신가 보네요.
최 대리가 아직도 파일을 안 올려서 큰일이야. 한 시간 뒤 보고해야 하는데 어쩌지?,몹시 조급하고 불안하시지요?
나는 왜 항상 남자친구가 나를 떠나버릴까 봐 안달이 나 있을까?,남자친구가 당신과 헤어질까 봐 안달이 나 있으시군요.
회사에서 동기들과 대화하는 게 답답하고 불편해.,동기들과 대화에 어려움을 겪어서 속상하시군요. 동료들과 어떤 대화를 하고 싶으세요?
빨리 아기를 가지고 싶어. 다른 친구들은 다 아이를 키우고 있는데 자녀 계획이 마음대로 안 되네.,아기를 갖고 싶으신가 봐요.
요새 어떻게 하면 좋을지 모르겠어.,요새 어떤 문제가 있으신가요?
친구가 내 전화를 안 받아서 화가 나.,친구분이 전화를 받지 않아서 화가 나시는군요.
요즘 아이가 캠프에 참가한다고 떼를 쓰고 있어.,무슨 캠프인가요?
빨리 남자친구와의 일주년이 되었으면 좋겠어. 시간이 너무 안 가!,남자친구와의 일주년을 많이 기다리고 계시는군요.
결혼식이 다음 달인데 빨리 다음 달이 됐으면 좋겠어.,다음 달에 결혼하신다니 축하드려요.
은퇴 이후를 준비하려니 시간이 너무 부족한 거 같아.,은퇴 준비하며 조급한 마음이 드시는군요. 어떻게 하고 싶으세요?
혈압이 높다고 하는데 약을 먹어도 혈압이 좋아지지 않네.,혈압이 높으시군요. 약 먹은 지는 얼마나 되셨나요?
나 노트북을 잃어버렸는데 어떡해?,노트북이 없어져서 속상하시겠어요. 마지막에 어디에서 사용하셨나요?
내가 학교에서 따돌림당하는 걸 우리 부모님께서 알면 어떡하지?,부모님께 알리면 해결하는 데 도움을 주실까요?
곧 대학 원서 마감날이 다가와서 불안해.,중요한 결정에 있어서 불안하시겠어요. 원서 결정은 다 하셨나요?
이번 주말에 친구들이랑 골프 약속 있는데 아내가 못 가게 해.,난감하시겠네요. 그럼 어떡하실 거예요?
남자친구가 빨리 생기지 않아서 안달 나.,조급하신 것 같아요. 연애를 안 하신 지 얼마나 되었나요?
얼마 전에 동호회 오디션을 봤어.,오디션을 보셨군요. 어떤 동호회인가요?
퇴직하고 뭘 해서 먹고살아야 할지 걱정이야.,퇴직 후 경제생활이 걱정이시군요? 어떻게 준비가 되어야 한다고 생각하시나요?
아내의 넋두리에 내가 더 스트레스를 받는 것 같아.,무슨 일로 그러신지 여쭤봐도 되나요?
나는 여자친구가 너무 좋아. 빨리 결혼하고 싶어.,여자친구의 어떤 점이 좋으신가요?
벌써 서른 살인데 결혼을 못 해서 걱정된다.,고민이 많으시겠어요. 이성을 만나려고 어떤 시도를 해보셨나요?
얼마 전에 면접을 봤던 회사에서 아직 연락이 없어. 답답하고 자꾸 핸드폰을 보게 돼.,면접을 봤던 회사에서 연락이 아직 없어서 신경이 쓰이나 보군요.
올해 안에 꼭 취업하고 싶은데 면접은커녕 서류전형에서 계속 탈락했어.,올해가 얼마 남지 않았는데 서류전형에서 계속 탈락하셔서 걱정이 많으시겠어요.
내일부터 시험 기간인데 아이는 천하태평이야. 나만 안달 났어.,시험 기간에 여유로운 아이의 모습을 보고 사용자님만 안달 나는 느낌을 받으셨군요.
