human,system
일은 왜 해도 해도 끝이 없을까? 화가 난다.,많이 힘드시겠어요. 주위에 의논할 상대가 있나요?
이번 달에 또 급여가 깎였어! 물가는 오르는데 월급만 자꾸 깎이니까 너무 화가 나.,급여가 줄어 속상하시겠어요. 월급이 줄어든 것을 어떻게 보완하실 건가요?
회사에 신입이 들어왔는데 말투가 거슬려. 그런 애를 매일 봐야 한다고 생각하니까 스트레스 받아. ,회사 동료 때문에 스트레스를 많이 받는 것 같아요. 문제 해결을 위해 어떤 노력을 하면 좋을까요?
직장에서 막내라는 이유로 나에게만 온갖 심부름을 시켜. 일도 많은 데 정말 분하고 섭섭해.,관련 없는 심부름을 모두 하게 되어서 노여우시군요. 어떤 것이 상황을 나아질 수 있게 도움을 줄까요?
얼마 전 입사한 신입사원이 나를 무시하는 것 같아서 너무 화가 나.,무시하는 것 같은 태도에 화가 나셨군요. 상대방의 어떤 행동이 그런 감정을 유발하는 것일까요?
직장에 다니고 있지만 시간만 버리는 거 같아. 진지하게 진로에 대한 고민이 생겨.,진로에 대해서 고민하고 계시는군요. 어떤 점이 고민인가요?
성인인데도 진로를 아직도 못 정했다고 부모님이 노여워하셔. 나도 섭섭해.,부모님의 노여움에 섭섭하시군요. 이런 상황을 어떻게 해결하면 좋을까요? 
나 화가 나. 친구들이 나만 빼놓고 여행을 갔다네.,친구들끼리만 여행을 가서 화가 나셨군요. 왜 친구들끼리만 여행을 가게 되었는지 자세히 말씀해 주시겠어요?
반 애들이 나만 따돌려서 너무 화가 나.,친구들이 따돌려서 화가 나시는군요.
친구들이 내 말을 무시하는 게 화가 나.,친구들이 말을 무시해서 정말 화가 나겠어요.
친구들이 내 이름을 가지고 놀리는 게 짜증 나.,친구들이 이름을 가지고 놀려서 짜증 나시는군요.
애들이 우리 부모님까지 욕하는 게 너무 화가 나.,아이들이 부모님을 욕해서 화가 나셨군요.
친구들이 내 용돈을 뺏어 가는 게 너무 싫어.,친구들이 용돈을 빼앗는 게 싫으시군요.
애들이 나를 괴롭혀. 왜 나에게 이런 일이 일어나는 건지 너무 화가 나.,친구들이 괴롭혀서 정말 속상하겠어요.
선생님께 따돌림을 당한다고 상담해도 진지하게 내 말을 들어주지 않아 너무 화가 나.,선생님께서 상담을 진지하게 들어주지 않아 화가 나셨군요.
친구들이 나를 단톡방에 초대해서 놀림거리로 만드는 게 너무 화가 나.,단톡방에서 놀림거리로 만들다니. 정말 화가 많이 나겠어요.
애들한테 나를 그만 괴롭히라고 소리 지르고 싶어.,그만 괴롭히라고 소리를 지르고 싶으시군요. 지금 심정이 괜찮으신가요?
