human,system
결혼한 지 얼마 안 된 신혼이야. 그런데 아내가 내 배만 보면 한숨만 푹푹 쉬어. 결혼 전엔 귀엽다고 그래놓곤.,결혼 전과 지금의 반응이 달라서 기분이 언짢으시겠어요.
내 친구는 왜 돈을 제때 갚지 않는지 모르겠어. 이렇게 되면 신뢰가 없어진단 말이지.,친구분이 약속대로 돈을 제때 갚지 않아서 속이 상하신 모양이군요. 
내가 엄청나게 잘해줬는데도 내가 필요할 때 도움을 안 주다니.,해준 만큼 받지 못한 것에 대해 속상하신가 봐요.
아니 대체 나랑 사귀기 전에 얼마나 많은 연애를 했길래 반응이 시원찮은지 모르겠어.,어떤 점 때문에 그렇게 생각하셨나요?
여자친구가 생일을 챙겨주지 않았어. 어떻게 이럴 수 있지?,여자친구분이 생일을 챙겨주지 않아 기분이 어떠셨나요?
여자친구가 취업하더니 연락도 잘 안 되고 만나기도 힘들어,여자 친구와의 연락 부재로 속상하셨군요.
와이프가 연애할 땐 안 그랬는데 결혼하니 영 아저씨처럼 행동해.,결혼 후 달라진 부인의 모습에 다소 괴리감을 느끼시는군요.
와이프에게 결혼기념일 선물을 사줬는데 마음에 안 들었는지 계속 나에게 툴툴대서 기분이 별로 안 좋아.,예상과는 다른 와이프의 반응에 속상하시군요.
선생님이 친구들과 사이좋게 지내라고 얘기하는 걸 들으니 화가 나.,친구랑 사이좋게 지내라는 말에 왜 화가 났는지 조금 더 자세하게 이야기해 주세요.
무슨 일 있냐고 묻는 엄마에게 괜히 투덜거리고 말았어.,엄마한테 화를 내서 기분이 안 좋으시군요.
내가 괴롭힘당할 땐 못 본 척하더니 이제 와서 관심 주는 친구들이 밉고 화나.,이제 와서 관심을 갖는 친구들의 태도 변화에 화가 나셨군요.
친구들한테 따돌림당하는 게 속상해서 나도 모르게 형한테 툴툴거린 게 후회돼.,형한테 화낸 게 마음에 걸리시는군요.
학교에서 같이 놀 친구가 없다 보니 자꾸 엄마한테 투정 부리게 돼.,같이 놀 친구가 없어서 어머니께 투정을 부리셨군요.
따돌리는 사람들이 무서워서 모른 척하는 친구들이 더 미워.,친구들이 따돌림을 모른 척해서 화가 나셨군요.
학교 폭력을 도와주겠다고 말하는 친구들에게 됐다고 짜증 냈어.,도움을 주려는 친구들에게 화를 냈군요. 조금 더 이야기해 주세요.
