human,system,
오 년 동안 공무원 준비를 하고 마지막이라고 생각하고 시험을 봤는데 떨어졌어.,결과를 얻지 못하셔서 속상하시겠어요.,
나이가 들어서 그런가? 갑자기 눈이 깜깜해지더니 아무것도 보이지 않아서 혼란스러웠어.,갑자기 눈이 깜깜해져서 혼란스러우셨군요.,
의사가 알츠하이머라고 했던 게 겨우 기억났어.,알츠하이머를 겨우 기억하셨군요.,
의사가 간암은 술보다 아닌 가족력 영향이 더 큰 것 같다고 해서 혼란스러워.,간암이 가족력 영향이 크다고 해서 혼란스러우시군요.,
뇌에 물혹이 발견됐는데 악성 종양일까 봐 너무 걱정돼.,뇌의 물혹이 악성 종양일까 봐 걱정되시는군요.,
평소 건강을 위해서 골프를 하고 있었는데 약해졌던 내 팔목이 더 악화되어서 혼란스러워.,골프 때문에 손목이 더 악화되어서 혼란스러우시군요.,
의사가 나는 채식주의를 고수해서 악성 빈혈이 생긴 거라고 해서 혼란스러워.,채식주의 때문에 빈혈이 생겼다고 해서 혼란스러우시군요.,
건강을 위해 했던 걷기 운동이 오히려 내 발목 염좌에 안 좋은 영향을 주었대서 혼란스러워.,걷기 운동이 안 좋은 영향을 주어서 혼란스러우시군요.,
단순 몸살감기인 줄 알았는데 알고 보니 결핵이어서 혼란스러워.,감기가 알고 보니 결핵이어서 혼란스러우시군요.,
요즘 들어 계속 설사했는데 알고 보니 당뇨약 부작용이어서 혼란스러워.,설사가 당뇨약 부작용이어서 혼란스러우시군요.,
요즘 손바닥이 붉어져서 생기가 돈다고 생각했었는데 알고 보니 간 경화 증상이어서 불안해.,손바닥의 생기가 알고 보니 간 경화 증상이어서 혼란스러우시군요.,
항암 치료를 꾸준히 받으면 완쾌될 거라고 했는데 점점 상태가 나빠지고 있어서 너무 혼란스러워.,항암 치료로 완쾌되지 않고 상태가 나빠져서 혼란스러우시군요.,
신입사원인 줄만 알았던 입사 동기가 사장님 아들이었어.,입사 동기가 사장님 아들이었다는 사실에 깜짝 놀랐겠군요.,
그녀가 나를 사랑하는지 확신이 생기지 않아.,여자분의 사랑에 확신이 없으시군요.,
맘에 드는 사람에게 뭐라고 말해야 할지 모르겠어.,더 자세히 말씀해 주시겠어요?,
내 동생이 남자 친구한테 맞고 들어왔어. 너무 충격적이고 혼란스러워.,동생이 남자 친구한테 폭행을 당해 많이 걱정되시겠어요.,
내가 과외 수업 하는 학부모님이 내가 나온 대학을 잘못 알고 계셔서 불안해.,학부모님이 대학 이름을 잘못 알고 계시는군요. 어떤 점이 나를 불안하게 만드나요?,
직장 상사가 본인이 해야 할 일을 나에게 자꾸 떠넘겨서 혼란스러워.,직장 상사가 일을 떠넘겨서 많이 혼란스러우시겠어요.,
우리 회사 과장님이 신입사원과 바람을 피워. 그런데 과장님 사모님과 내가 친분이 있어서 혼란스러워.,두 분 사이에서 입장이 곤란하시겠네요.,
정말 친한 친구한테 돈을 빌려줬는데 연락이 없네.,친구에게 연락이 없어 불안하신 것 같이 들려요.,
죽음을 생각하면 마음이 불안해.,무엇이 그렇게 느끼게 만드나요?,
남자인 친구 때문에 헷갈려.,무엇 때문에 헷갈리시나요? 더 자세히 말씀해 주실 수 있나요?,
요새 회사 동료들하고 관계가 원만하지 않아 고민이야.,회사 동료들과 관계가 고민이시군요. 더 자세히 설명해 주실 수 있나요?,
나도 처음부터 엄마는 아니어서 사춘기 딸 키우기 은근 힘들다.,사춘기 딸 때문에 힘드신 것 같아요.,
회사에 일이 너무 많아. 오늘도 집에 가져와서 일해야 했어.,회사 업무가 많아서 지치신 것처럼 들려요.,
우리 첫째 아이 때문에 너무 혼란스러워.,첫째 자녀에 대해 어떤 점이 혼란스러우신지 더 자세하게 이야기해 주실 수 있으신가요?,
이십 년 동안 친구였던 오랜 내 남자 친구가 나에게 이성으로서 교제하고 싶다고 고백했어. 친구라고만 생각했는데 혼란스러워.,오랜 친구에게 고백을 받으셔서 혼란스러운가 보군요.,
요즘 나 진로 취업 문제들 때문에 혼란스러워.,취업 문제들로 혼란스러우시군요. ,
오늘 회사에서 고객과 엄청나게 말다툼했어.,고객과 마찰이 심하게 있으셨군요.,
요새 우리 딸이 아빠랑 말을 잘 안 하는 것 같아.,따님이 아빠랑 대화가 줄어서 속상하시겠어요.,
남자친구 어머니는 참 욕심이 많으신 것 같아. 벌써 요구하시는 것들이 참 많네.,남자친구 어머니가 무리하게 요구하셔서 부담되시겠어요.,
상사가 내 보고서에 계속 지적만 하시는데 너무 혼란스러워. 이러다가 오늘 안에 결재를 못 맡을 것 같아.,계속 지적만 당해서 너무 힘드시겠어요. 혹시 예전에도 이런 일이 있었나요?,
지금 하는 업무가 나에게 맞지 않아. 앞으로 계속 이 일을 하는 게 옳은 길인지 모르겠어.,이 직업을 계속 유지해야 하는지 혼란스러우시군요. 지금 하는 일 말고 하고 싶은 일이 있을까요?,
난 항상 건강하다고 자부하며 살고 있는데 요즘 들어 몸살이 자주 오는 것 같아 혼란스러워.,건강이 갑자기 안 좋아지셔서 마음이 힘드신가 봐요?,
은퇴가 다가오니 심란해.,은퇴가 다가오시니 마음이 심란하고 혼란스러우시겠어요.,
갑자기 자금이 필요한데 구하기가 힘들어.,어디서 구할 데가 전혀 없으신가요?,
요즘 마음이 좀 심란해.,어떤 일 때문인지 말씀해주시겠어요?,
진로를 어떻게 정해야 할지 혼란스러워. 잘하는 것도 없는 것 같고.,왜 잘하는 게 없다고 생각하시나요?,
진로를 어떻게 결정해야 좋을지 혼란스러워.,특별히 염두에 둔 진로가 있는지 여쭤봐도 될까요?,
결혼을 코앞에 두고 있는데 이렇게 결혼하는 게 맞는지 혼란스러워. 곁의 애인이 내 짝이 맞을까?,결혼을 결정하게 되신 계기가 있나요?,
뭐야 이거는 왜 두 줄인 것이지? 여자친구가 임신했나 봐. 어떡해 혼란스러워.,여자친구가 임신하신 것 같군요. 기분이 어떠신가요?,
어제 산책하다가 정말 놀랐지 뭔가.,무엇을 보셨는데요? ,
친구가 나에 대해 악의적인 소문을 퍼트렸다는 걸 알게 됐어. 손이 벌벌 떨리고 심장이 두근거려서 주저앉을 뻔했어.,악의적인 소문을 퍼트린 친구 때문에 많이 놀라셨군요. 지금은 좀 진정되셨나요?,
다른 사람들과 만나는 건 너무 힘든 일이야.,어떤 점이 힘드신가요?,
시험을 준비하고 있었는데 발목을 다쳐서 체력 시험 준비에 차질이 생겼어. 너무 속상하고 답답해.,하필 시험 준비 기간에 다쳐서 너무 속상하시겠어요. 치료는 받았나요?,
오늘 아이랑 다퉈서 기분이 좋지 않아.,아이와 의견 차이가 있었나 봐요. 무슨 일이었나요?,
연애하고 싶은데 여자친구가 없어.,주변에 관심 있는 여자분이 있나요?,
이력서를 제출했는데 연락이 오지 않아.,지원한 곳에서 연락이 오지 않아 많이 초조하시겠어요.,
오늘 회사에서 잘못을 지적당했어. 근데 난 이해할 수가 없어. 내가 옳은 것 같아.,회사에서 받은 지적이 이해되지 않아 혼란스러우신가 보군요.,
친한 동료들이 나만 빼고 이번에 모두 명예퇴직 신청을 했어.,갈등이 많이 되겠네요.,
주변의 친구들이 한둘씩 결혼하는데 나는 지금 남자친구도 없으니 너무 혼란스러워.,결혼한 친구들이 많아지니 초조하고 불안하시겠어요.,
이번 직장도 또 잘렸어. 뭘 잘못한 걸까?,상심이 크시겠어요. 어떻게 된 건지 자세히 말씀해주실 수 있나요?,
나 도대체 어디에 취업해야 할지 너무 걱정돼. 채용 계획이 계속 변경되니 혼란스러워.,채용 계획이 변경된다면 누구라도 혼란스럽겠어요.,
갑자기 학교에서 친구들이 나를 피하는 것 같아. 따돌림을 당하는 것 같은 기분이 들어서 너무 혼란스러워.,친구들한테 따돌림당하는 느낌이 들어서 많이 혼란스럽겠어요. ,
요즘 엄마 잔소리가 너무 듣기 싫어.,잔소리를 들었을 때 어떤 감정이 들었나요?,
곧 직장에서 은퇴해야 해. 아파트 대출금이 아직 남아있는데 남편과 어떻게 상의해야 할지 혼란스럽네.,곧 은퇴하시니 걱정이 되겠네요. 가족과 상의도 해야 하고요. ,
오늘 카페에 갔다가 옛날에 좋은 감정을 가지고 있었던 오빠를 우연히 만났어.,우연히 과거에 좋은 감정이 있었던 오빠분을 만나셨군요.,
갑자기 친구들이 나를 멀리하는 거 같아.,친했던 친구들이 갑자기 멀리하는 거 같은 상황이군요.,
아직 직장을 못 구했는데 요새 취업이 어려워서 너무 답답해.,직장 구하기 어려워서 답답하시군요. 취업하기 위해 어떤 준비를 하고 계시는가요?,
아내와 아이 진로 문제로 맞지 않아 요즘 혼란스러워.,아이는 어디로 가고 싶어 하나요?,
친구의 명예퇴직 소식에 정말로 걱정이야. 자식들도 아직 독립하지 못했는데 너무 혼란스럽다네.,친구의 명예퇴직이 걱정되시는군요.,
정말 난감하네.,정말 난감하시군요. 무슨 일이 있나요?,
코로나로 재택근무를 시작했는데 안 쓰던 컴퓨터로 업무를 보려니 어렵고 이해가 안 가.,새로운 작업 환경이니 혼란스러우셨겠어요. 어떻게 업무를 진행하고 있나요?,
사시 증상이 있어서 안과에 갔는데 의사가 내과로 가보라는 거야.,그래서 내과로 가보셨나요?,
요즘 이유 없이 짜증 나.,이유 없이 짜증이 나서 당황스러우시겠어요.,
회사 면접 날짜가 자꾸 바뀌어서 너무 혼란스러워. 어떻게 하라는 건지 모르겠어.,면접 날짜가 계속 바뀌면 혼란스럽죠. 면접 날짜가 아직 확정이 안 되었나 봐요?,
사십 대 중반에 들어섰지만 아직 재정이 어렵고 힘드네.,재정으로 고민이 많으시군요.,
요즘 너무 혼란스러워.,무슨 고민 있으세요?,
부인의 속마음을 잘 모르겠어.,부인의 어떤 부분에 대해 더 알고 싶나요?,
나는 혼자 있는 시간을 즐기는 편인데 사람들이 나에게 성격에 문제가 있냐고 물어봐.,대인관계에 대해 의문이 생긴 것 같군요. 지금껏 대인관계에 문제 있었던 적이 있나요?,
다른 사람들과 만나는 건 너무나도 힘든 일이야.,다른 사람을 만나는건 힘든일이군요. 어떤 점이 힘드신가요?,
코로나 일구 때문에 면접이 좀 밀렸어. 정말 가고 싶은 회사인데 다른 일정이랑 겹치네.,면접이 밀려서 걱정이신가 봐요. 다른 일정 조정이 어려우신가요?,
나는 다수의 사람과 동시에 만나면 뭔가 혼란스러운 기분이야.,많은 사람들과 동시에 만나면 혼란스러우시군요. 왜 그런 생각이 드시나요?,
사십 대 중반을 넘어서고 있는데 내 건강이 염려돼.,그러시군요. 어떤 부분이 염려되나요?,
내 진로를 못 정해서 혼란스러워.,힘드시겠어요. 혼란스러울 때 주로 어떤 행동을 하세요?,
취업해야 하는데 앞으로 어떻게 해야 할지 막막해서 혼란스럽고 답답해.,진로에 대해서 고민이 많으시겠어요. 많이 혼란스럽고 막막하시겠군요.,
요즘 코로나 일구 때문에 취업 자리가 예전보다 많이 줄어들었어. 올해는 공채를 안 한다고 해서 혼란스러워.,코로나 일구 때문에 상반기 채용이 없어서 혼란스러우셨나 봐요.,
최근에 내 지인이 가장 친한 친구에게 사기를 당했어.,어머 어떡해요? 마음이 말이 아니겠어요.,
어제 갑자기 이 년간 교제한 여자친구가 결혼하고 싶다고 하네.,그 이야기를 들으시면서 어떤 감정이 드셨나요? ,
아파트 아랫집에서 얼마 전부터 담배를 피워 문을 열어놓을 수가 없어. 어찌해야 할지 모르겠어.,계속 마주칠 사람이라 어떻게 말해야 할지 난감하시겠어요. ,
큰아이가 전공하는 공부에 재미를 못 느낀다고 해. 어떻게 하면 좋을까?,자녀의 미래에 대해 걱정이 많으시겠어요.,
나의 진로에 대해 혼란스러워.,진로 문제로 아주 혼란스러우시군요.,
회사에서 다음 달 일 일부로 다른 지역으로 발령이 났어.,발령이 나서 어떠신가요?,
아내가 임신했는데 당황스럽고 혼란스러워.,와이프 임신 사실에 당황하셨군요.,
위암 말기 판정을 받았어. 너무 혼란스럽네.,위암 말기 판정 결과에 많이 놀라셨겠어요.,
취업 준비하기가 너무 어려운 것 같아. 회사마다 필기시험 기준도 성향도 많이 다르네.,시험의 특징이 회사마다 달라 취업 준비에 어려움을 느끼고 계시는군요.,
