human,system
졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어.,취업에 대해 걱정이 되는군요.
비대면 사회에서 사람 만나기가 힘드네. 걱정이 많이 돼.,비대면 사회라 사람 만나기가 힘들어 걱정이시군요.
새롭게 만나는 사람들과 어울리는 게 너무 걱정돼.,어떤 점이 걱정스러우신가요?
여자친구가 삼 일째 연락을 안 해. 왠지 헤어지자고 할 것 같아서 걱정이야.,연락이 없어서 걱정이신가 보네요. 무슨 일 있으셨나요?
돈이 없어 평범하게 살지도 못하니 친구들도 만나고 싶은 생각이 안 들어서 걱정이야.,재정적인 문제 때문에 삶이 어렵고 친구를 만나고 싶지도 않아 걱정이시군요.
내가 노후 준비를 잘하지 않았던 것 때문에 지금 생계 걱정을 하고 있어.,노후 준비가 잘 되지 않아 걱정스러우시겠어요.
사춘기인 아들이 방에 들어가 문을 걸어놓고 있어서 너무 답답해.,아들의 행동이 보기에 답답하게 느껴지셨군요.
남편이 은퇴하고 싶다고 해서 통장 잔고를 봤더니 한숨만 나오네.,조금 더 자세히 이야기해 주시겠어요?
친하게 지내던 마을 이장이 혈압으로 쓰러졌대. 점점 친구들을 잃는 것 같아 무서워.,친구들을 잃는 것 같다는 걱정 때문에 불안한 마음이 드시는군요.
몇 년 전에 이혼하고 혼자 된 친구가 만성 질환으로 죽었어. 나도 그렇게 될 것 같아서 무섭다.,친구의 죽음이 두려움으로 다가왔군요.
내가 수술을 끝내고 회복하는 중에 아들도 뇌출혈로 쓰러졌다는 연락을 받았어. 어떻게 이런 일이!,아드님이 쓰러졌다는 이야기를 듣고 놀라셨군요.
성적이 안 좋게 나와서 성적표를 숨겨 놨는데 엄마한테 들켰어.,그런 일이 있었군요. 어떤 일인지 조금 더 자세히 말씀해 주시겠어요?
중년의 끝자락인데도 아직 노후 준비를 하나도 못 했어.,중년의 끝자락인데 노후 준비가 부족한 것 같아 걱정스럽군요.
이번 프레젠테이션도 다른 부서보다 부진할 것 같아 불안해.,이번 프레젠테이션도 부진할까 봐 걱정이군요. 어떤 점에서 특히 불안하게 느끼나요?
업무 성과는 좋은데 직장 사람들과는 갈등이 사라지지가 않아.,성과는 좋은데 회사 내 인간관계가 걱정이시군요.
나이가 들면서 요즘은 건강에 대한 걱정이 많이 돼.,나이가 들며 건강이 많이 걱정되시는군요.
당 수치가 요즘 높다고 나와서 걱정이야.,당 수치가 높다고 나와 불안하시겠군요. 
요즘 잠에 잘 못 드는 날이 많아 걱정이야.,요즘 불면증 증상이 있어 걱정이 되시는군요.
아빠가 집에 오시질 않아. 무슨 일이 생긴 걸까 불안해.,아버지가 집에 아직 오시지 않아 걱정이 되시는군요.
딸이 남편과 싸우고 방에 틀어박혀 나올 생각을 안 해서 걱정돼.,방에 틀어박혀 나올 생각을 안 해서 걱정되시는군요.
환경 미화 시간에 할 일이 너무 많은데 혼자 할 수 있을지 걱정이야.,혼자 해야 할 업무량 때문에 걱정하고 계시는군요.
아내가 요즘 계속 몸이 안 좋다고 해서 걱정돼.,아내의 건강이 걱정되시는군요.
딸 몸이 안 좋아서 병원 신세를 자주 지게 되는 게 정말 걱정이야.,딸 걱정을 하고 계시는군요.
아내의 체력이 점점 나빠지는 것 같아서 걱정이야.,사용자님이 아내를 위해 할 수 있는 일이 있을까요?
얼마 전에 피검사를 했는데 의사가 식단 관리를 해야 한대서 걱정이야.,어떤 부분이 걱정이신가요?
아내가 병원을 무서워해서 아플 때마다 병원 가기를 미뤄.,사용자님이 아내의 건강을 걱정하고 계신 것 같군요.
아내가 불면증 때문에 밤에 잠을 못 자서 걱정이야.,아내를 걱정하고 계시는군요.
내가 어릴 때 아빠가 돌아가셔서 엄마가 생활전선에 뛰어드셨어. 그런데 요즘 들어 엄마의 뒷모습이 외로워 보여.,아버님이 돌아가시고 어머니 혼자 생계를 꾸려나가시느라 힘드셨겠어요.
친한 친구가 몸이 안 좋아서 수술을 한다는데 정말 걱정돼.,친구의 수술이 걱정되시는군요.
