human,system,
난 정말이지 언제쯤 든든한 직장을 가질 수가 있을까.,취업 문제로 인해 스트레스가 많은가 보네요.,
여자친구가 연락을 잘 받지 않아. 언제나 답장도 느려서 신경 쓰여.,여자친구와 연락 문제로 스트레스받으시는군요. 어떻게 해결하면 좋을지 생각해 보셨나요? ,
직장에서의 업무량 때문에 스트레스받아.,사용자님이 스트레스를 받는 이유에 대해서 더 말해 주세요.,
새로 맡게 된 업무를 내가 해내지 못할 것 같아.,새로운 업무 때문에 스트레스를 받고 계시는군요.,
내 업무 능력이 떨어지고 있는 것 같아서 신경 쓰여.,스스로의 업무 능력 때문에 불안해하시는 것 같아요.,
기획서를 쓰는 업무가 잘 풀리지 않아서 너무 막막하고 불안해.,사용자님이 불안감을 느끼시는 이유가 뭔가요?,
직장에서 아이디어를 내지 못해서 불안해.,직장에서의 업무 때문에 불안해하고 계시는군요.,
신입 사원들에 비해 내가 초라해 보여서 불안해.,신입 사원들에게 초라해 보인다니 무슨 상황인지 자세히 설명해 주시겠어요?,
회사 업무 진행 속도가 뒤처지는 것 같아서 걱정돼.,업무 속도 때문에 스트레스를 받으시는 것 같네요.,
기억력이 점점 나빠지는 것 같아서 치매가 아닌가 불안해.,기억력이 나빠져 불안해하시는 이유에 대해 더 말해 주세요.,
부서 이동 이후로 스트레스가 더 심해졌어.,무슨 상황인지 자세히 설명해 주시겠어요?,
내가 회사에서 잉여자원인 것 같아서 불안해.,왜 불안감을 느끼시나요?,
업무 성과가 기대한 만큼 나오지 않아서 스트레스야.,업무 성과가 없으시군요. 더 자세히 말씀해 주시겠어요?,
선생님이 요즘 학교에서 대학교 입시 이야기만하셔서 지루해.,학교 선생님께서 대학 입시 한 주제로만 이야기하니까 무척 지루하셨군요.,
나는 열심히 공부하는데 선생님이 자꾸 성적을 이야기하면서 압박을 주셔서 스트레스받아.,선생님이 성적 압박을 주셔서 스트레스가 많으시군요.,
나 학원도 다니면서 과외도 시작했는데 성적이 떨어져서 속상해.,학원에 이어 과외도 듣는데 성적이 떨어져서 마음이 안 좋으시군요.,
최근에 내 성적 때문에 담임 선생님이 엄마와 통화한 것 같아서 짜증 나.,구체적으로 어떤 것이 짜증 나셨나요?,
상사가 무서워서 내 잘못을 다른 팀 직원이 했다고 말해버렸어. 어떡하지?,상사가 무서워서 내 잘못을 다른 팀 직원이 했다고 말해버리셨군요.,
부모님 시부모님이 아이를 꼭 만들어야 한다고 하더라고. 나는 아이를 당장 만들고 싶지 않은데 스트레스야.,부모님 시부모님 때문에 스트레스가 많으시겠어요.,
취업했는데 상사가 날 일부로 괴롭혀서 힘들어.,많이 힘드시겠어요. 어떻게 괴롭히는데요?,
난 돈 버느라 바빠서 돈 쓸 시간도 없는데 마누라는 돈 쓰기 바쁘니 화가 나네.,본인은 못 쓰는 데 부인만 돈을 써서 화가 나시는군요.,
일만 하다 보니 건강이 이렇게 나빠졌는지 몰랐네. 걱정이야.,건강이 많이 나빠지셨군요. 평소에 건강관리는 어떻게 하시나요?,
업무가 너무 많아서 머리가 아파.,직장 일 때문에 스트레스를 받으시나 보군요. 어떻게 하면 업무량이 줄까요?,
회사 일이 너무 많아서 스트레스야.,일이 많으면 정말 힘드시겠어요. 스트레스를 풀기 위해 무엇을 하나요?,
노인이 되어서 만성 질환이 생기니 정말 걱정되네.,만성 질환으로 고민이 되겠어요.,
주변에서 언제 결혼하냐고 성화야.,주변 사람들이 닦달해서 기분이 안 좋으셨겠어요.,
아침에 눈을 뜨면 출근하기 싫다는 생각만 나.,출근하기 싫은 특별한 이유가 있나요?,
오늘도 내가 지원한 회사의 면접에서 떨어졌어.,면접에서 떨어져 슬프시겠어요.,
남자친구랑 계속 어긋나는 느낌이야.,어떤 부분에서 남자친구와 계속 어긋난다고 느끼셨나요?,
나 요즘 일이 많아 힘들어.,요즘 일이 많아서 힘드시군요.,
회사에서 너무 중요한 업무를 맡았는데 실수할까 봐 걱정이야.,중요한 업무에서 실수를 할까 봐 걱정이시군요.,
원래 올해 결혼하려고 했는데 코로나 때문에 엉망이 됐어.,코로나로 인해 결혼을 못하시는군요. ,
나 요즘 함께 일하는 선배때문에 정말 스트레스야.,더 구체적으로 말씀해 주실 수 있나요?,
매번 비슷한 내용으로 자기소개서 쓰는 것도 스트레스야.,반복된 자기소개서 작성으로 스트레스를 받고 계시는군요.,
나 정말 회사일 때문에 너무 스트레스가 많아.,회사에 스트레스가 많으시군요. 더 자세하게 이야기해 주실 수 있으신가요?,
내 연애사는 내 사생활이라 얘기하기 싫은데 직장에서 자꾸 물어봐서 스트레스받아.,직장에서 업무와 상관없는 사적인 것들을 알고 싶어 해서 마음이 불편하군요.,
주량이 약해서 술자리에서 잘 어울리지 못해. 다른 동료들은 다들 즐거워 보이는데 나만 외톨이가 된 것 같아 스트레스야.,회사에서 사람들과 잘 어울리지 못하는 기분이 들어 스트레스를 받는군요.,
