human,system
면접에서 부모님 직업에 대한 질문이 들어왔어.,그때 어떤 생각이 들었나요?
큰일이야. 부장님께 결재받아야 하는 서류가 사라졌어. 한 시간 뒤에 제출해야 하는데 어디로 갔지?,중요한 서류가 사라져서 당혹스러우시군요. 찾아볼 방법이 있을까요?
나 얼마 전에 면접 본 회사에서 면접 합격했다고 연락받았었는데 오늘 다시 입사 취소 통보받아서 당혹스러워.,회사에서 합격 통보받았다가 다시 입사 취소되어서 당혹스러우시군요.
내가 합격 통보를 받은 회사 중에 한 군데를 골라 내일 출근하겠다고 이야기했는데 다른 좋은 조건의 회사가 또 합격 통보를 해왔어.,좋은 조건의 회사가 두 군데나 연락이 오셨군요. 주변에서는 뭐라고 조언하시던가요?
오늘 정기 발령이 났거든. 그런데 우리 집에서 두 시간 넘게 떨어진 곳으로 발령이 났어. 이거 어떻게 출퇴근하라는 것인지 모르겠다.,갑작스레 발령이 먼 곳으로 나서 당황스러우시겠어요. 
아내가 직장에서 잘려서 당혹스러워.,아내가 직장에서 잘려서 당혹스러우시군요.
치료를 받았는데도 눈이 잘 안 보여서 너무 불안하네. 앞으로 눈이 안 보이면 나는 어쩌지?,눈이 잘 안 보이셔서 많이 불안하시군요.
이 병은 보험료 지원이 안 된대서 병원비가 너무 많이 나왔어. 돈을 다 써서 힘들어.,보험료 지원이 안 되어 병원비가 너무 많이 나와서 힘드셨군요.
내가 알레르기성 비염이라니 너무 당혹스럽네. 이제 육십이 넘었는데 놀랐어.,알레르기성 비염이라는 걸 알아서 놀라셨군요.
내가 심부전증이래서 너무 힘들고 당혹스러워.,병이 있어 많이 힘드셨겠어요.
내가 이렇게 나이가 들어 버려서 당혹스럽네. 예전엔 턱걸이도 백 개씩 했는데 말이야.,나이가 들어 당혹스러우시군요. 좀 더 자세히 말씀해 주시겠어요?
몸이 안 좋아서 귀농하고 싶은데 아내가 반대해서 당혹스럽네.,그런 일이 있으셨군요. 많이 곤란하시겠어요.
남편은 내가 고졸이라고 자기 대학 모임에 나를 데리고 가지 않겠다고 해서 당황스러웠어.,속상하고 많이 당황스러우셨겠네요.
입사한 지 한 달도 안 됐는데 부득이한 회사 사정이 있다며 해고당해서 당혹스러워.,입사한 지 한 달도 안 되었는데 해고당해 당혹스러우시군요.
회사가 갑자기 다른 곳과 합병되어서 당혹스러워.,갑자기 회사가 다른 회사와 합병되어 당혹스러웠군요.
나이 때문에 회사에서 기회를 주지 않는 것 같아 불안해.,나이 때문에 차별받는 것 같아 스트레스를 받으시는군요.
운영하던 회사에 갑자기 부도가 나서 너무 당혹스러워.,운영하던 회사에 부도가 나서 너무 당황스러우시겠어요.
내가 업무에서 실수한 것을 부장님께서 아시는 것 같아. 불안해.,업무에서 실수한 걸 부장님이 아실까 봐 불안하시겠어요.
열심히 준비한 프로젝트가 취소되었어. 허탈하다.,그런 일이 생겨서 속상하시겠어요.
최종 합격한 회사에서 갑자기 사유도 말해주지 않고 채용 취소를 통보했어.,생각지도 않던 일에 매우 당혹스러우시겠어요. 이유는 알아봤나요?
생각지도 못한 세쌍둥이라니 기쁘기도 하지만 당혹스럽네.,세쌍둥이라 기쁜데 당혹스러운 이유는 무엇인가요?
노년인데 돈이 부족해서 너무 당황스러워.,노년에 돈이 부족해 불안하시겠어요.
살다 보니 건강해도 소용이 없다.,건강이 소용이 없다니 더 자세히 말씀해 주실 수 있나요?
오랫동안 연락이 없었던 친구에게 문자가 왔는데 반갑기보단 놀랍네.,친구에게 오랜만에 연락이 와서 놀라셨군요.
여자친구에게 결혼 이야기를 꺼냈는데 결혼에 대해 생각이 없다고 얘기해서 민망했어.,여자친구가 결혼 생각이 없다고 해서 당황스러우셨군요.
얼마 전에 와이프랑 단둘이 집에서 티비를 보다가 채널을 돌리는데 좀 야한 장면이 나오더라.,부인분이 옆에 계셨으면 당황스러울 수도 있겠네요.
이번엔 승진할 것이라 확신했는데 또 탈락했어.,생각하지 못했던 실패에 마음이 좋지 않으시겠어요.
상사가 화를 내면 어떻게 해야 할지 모르겠어.,상사가 화를 내서 많이 당황스러우시겠어요.
열심히 취업 준비해서 시험을 봤는데 떨어졌어.,열심히 준비했는데 떨어져서 상심이 크겠어요.
지금 집에서 애들에게 연락을 받았는데 집사람이 쓰러졌다네.,충격이 크시겠어요. 부인은 어떤 상태이신가요?
어떡하지? 이번에 건강검진을 받았는데 혈압이 생각보다 높게 나왔어.,혈압이 높게 나와서 걱정되시겠네요. 평소보다 혈압이 높게 나온 건가요?
지난주에 아파서 갑자기 입원하게 되었는데 입원비가 생각보다 많이 나온 거야.,입원비가 많이 나오니까 어떤 생각이 들으셨나요?
오늘 남자 친구가 결혼을 또 미루자고 했어. 정말 당황스러워.,남자 친구분께서 전에도 결혼을 미룬 적이 있으신가 봐요.
남자친구가 직장을 해외로 가게 되어서 갑자기 결혼하게 되었어. 모은 돈도 없는데 갑자기 결혼하자고 하니 당혹스럽네.,갑자기 결혼하자고 해서 당혹스럽겠어요. 돈에 대해서는 남자친구에게 말씀해보셨어요?
합격이 취소되었어. 이런 경우도 있나? 당혹스러워.,갑자기 취소되었나요? 정말 당혹스러우시겠어요.
갑자기 임신했어. 너무 당황스러워.,생각지 못하게 임신이 되어서 아주 당혹스러우시겠어요.
회사에서 갑자기 나에게 상의도 없이 다른 부서로 발령을 냈어. 너무나 당황스러워.,갑자기 다른 부서로 발령이 나셨군요. 기분이 어떠세요?
오늘 몹시 당황스러운 일이 있었어.,무슨 당황스러운 일이 있었나요?
남자친구가 갑자기 화를 내고 가버렸어. 정말 당황스러워.,갑작스러운 상황으로 당황스러우셨겠어요. 혹시 왜 그런지 짚이는 부분이 있으실까요?
명절에 모였는데 다들 나에게만 뭐라고 해서 당혹스러웠어.,명절에 친지 간의 대화 중에 다소 당혹스러운 감정을 느끼셨군요.
면접에 합격한 줄 알았는데 떨어져서 당황스러워.,면접에 불합격하셔서 당혹스러우시겠어요. 앞으로 어떻게 하실 생각이신가요?
코로나 일구 때문에 결혼식을 미뤄야 할 것 같아. 정말 당황스러워.,아주 당황스러우시겠어요. 어쩔 수 없이 미뤄야 하는 상황이신가요?
결혼 준비를 하는데 돈이 생각보다 너무 많이 필요해서 당황스러워.,결혼 준비 중이시군요. 어떤 부분에서 가장 돈이 많이 나가나요?
요즘 갑자기 업무량이 증가해서 스트레스가 많네.,업무량 때문에 스트레스가 많으시군요. 도와줄 직원분은 있으세요?
발표 시간에 과 전체가 보는 앞에서 실수했어. 너무 부끄럽고 당혹스러워.,많은 사람 앞에서 한 실수 때문에 마음이 괴로우시다니 안타까워요. 어떻게 된 일인지 좀 더 말씀해 주시겠어요?
오늘 친구를 만났는데 사실 그동안 내가 했던 말에 상처받았다고 해서 당황스러웠어.,친구한테서 그런 말을 들어서 놀라셨겠네요. 좀 더 자세히 말씀해 주실 수 있으세요?
원하는 대학의 학과에 진학했지만 취업에는 도움이 되지 않는 공부뿐이라 당혹스러워.,대학에서 취업에 도움이 안 되는 공부를 해서 당혹스러우시군요.
통장에 잔고가 없어서 걱정이야.,재정 상황이 걱정이시군요. 어떤 상황인가요?
아이가 갑자기 음악을 관두겠다고 선언했어.,많이 놀라셨겠네요.
나도 이제 슬슬 결혼할 시기가 다가온 건가?,결혼이 고민이시군요. 어떻게 느끼시나요?
내가 원하는 대학에 떨어졌어.,원하는 대학에 떨어졌다니 정말 속상하겠어요.
남자친구가 갑자기 결혼하자고 해. 지금 결혼하기에는 너무 준비되어 있지 않은데 갑자기 그러니 너무 당혹스러워.,많이 당황하셨겠어요. 좀 더 말씀해 보시겠어요?
몇 주 뒤면 결혼식인데 결혼식을 못 하게 생겼어.,무슨 일 때문에 그러신 건가요?
직장에서 친하게 지내던 언니가 갑자기 차가워졌어.,직장에서 좋은 관계를 유지하던 언니의 태도가 갑자기 변했군요.
내가 작성했던 답안이 갑자기 무효처리가 됐어. 등급이 떨어질까 봐 당황스러워.,왜 갑자기 무효처리가 된 건가요?
임신했다는 여자친구. 계획에 없던 임신이라 정말 당혹스럽네.,여자친구가 임신하셨군요.
지난번에 건강검진 결과 폐암 일 기 진단을 받았다고 말했던 사람이야.,네 기억합니다. 담배도 안 피우시는데 폐암에 걸리셔서 무척 억울해하셨지요.
오늘 종일 진정이 안 돼.,진정이 안 된다는 것을 보니 무슨 일이 있었나 보군요.
나 요즘 좀 당황스러워.,요즘 당황스러우시군요. 무슨 일 있으신가요?
부서 이동을 제안받았어. 회사의 결정이라고 생각했는데 내가 원해서 면담까지 한 거라고 소문이 났어. 너무 당황스러워.,제안받은 부서 이동이 원해서 이루어진 거라고 소문이 나서 너무 당황스러우시군요.
소개팅을 해주겠다는 회사 선배 때문에 당황스러워.,소개팅을 하기 싫으신 건가요?
친구들이 나만 빼고 여행을 갔다 온 것을 우연히 알게 되었어. 기분이 이상해.,친구들이 본인만 제외하고 여행을 다녀와 당혹스러우시군요.
나만 하루 종일 땀을 줄줄 흘리고 있어. 왜 나만 덥지?,땀을 많이 흘리시나 보네요.
오늘은 날씨가 흐려서 우울해!,어젠 정말 화창했는데 오늘은 좀 흐리네요! 기분이 울적해지셨나 봐요.
갑자기 내일부터 그만 나오래. 나 너무 당혹스러워.,갑자기 해고되셔서 너무 놀라셨겠어요.
은퇴 후 노후준비가 안 돼 있는 나를 보니 당혹스러워.,오랜 시간 직장에서 고생이 많으셨겠어요. 벌서 정년이 되셨어요?
결혼 준비하면서 갑자기 양가에서 예단을 하는 게 좋지 않겠냐고 하시네. 예산이 빠듯한데 어떻게 해야 할지 모르겠어.,예단을 갑자기 준비하게 되실 수도 있는 거네요. 정말 당혹스러우시겠어요.
오늘 최종 면접 발표 나왔어.,결과가 어떻게 됐어요?
아내가 오늘 산부인과에 갔는데 배 속에 쌍둥이가 있대.,축하드려요. 한 명도 아니라 두 명이라니 정말 기쁘겠어요.
며칠 동안 연달아서 야근하고 그랬더니 너무 피곤해.,많이 힘드실 것 같아요. 일찍 퇴근할 수 있으면 좋겠어요.
결혼한 누나가 아이를 낳았어. 갑자기 삼촌이 되었다니 당혹스러워.,갑자기 삼촌이 되어서 놀라셨겠어요.
여자친구와 데이트 하러 나왔다가 화장실에서 거울을 봤는데 코털이 삐죽 튀어나와 있어. 어떡해야 해?,매우 당혹스러우시겠어요.
채용되었다고 연락이 왔던 회사에서 오늘 갑자기 취소 통보를 했어. 진짜 너무 당혹스러워.,난데없이 채용 취소 통보라니 정말 무례한 곳이네요. 우선 주변에 도움을 받을만한 사람이 있을까요? 
나 요즘 생리를 안 해서 검사해봤는데 임신했어. 임신할 줄 몰랐는데 해서 너무 당혹스러워.,갑자기 아기를 가지게 되면 놀란 마음에 당혹스러울 수 있죠.
내가 어제 목욕탕에 갔는데 핸드폰을 잃어버렸어.,목욕탕에서 핸드폰을 잃어버려서 당황스러웠겠어요.
어제가 월요일인지 착각하고 학교에 갔더니 아무도 없는 거야. 알고 보니 일요일이었어.,그랬군요. 학교에 갔는데 아무도 없으면 정말 당혹스러울 것 같아요.
남자친구가 여자 친구가 따로 있었대. 이게 말이 돼?,어머 어떻게 그런 일이 있죠? 사람을 그렇게 속일 수 있나요?
당황스러워. 나는 그 사람이 내 편이라고 생각했는데 아니었어.,무슨 일이 있으신지 여쭤봐도 괜찮을까요?
예고도 없이 지방으로 발령을 받았어.,갑작스러운 지방 발령 소식에 놀랐군요.
나 지금 이 상황을 어떻게 받아들여야 할지 모르겠어.,무슨 상황인지 말씀해 주실 수 있나요?
막내아들의 질문에 매우 당황했어.,막내아들의 물음에 당황하셨군요. 더 말씀해 주시겠어요?
해외에 나간 적도 없는데 해외에서 결제가 됐다는 당혹스러운 문자를 받았어.,하지도 않은 해외 결제 문자가 와서 정말 당황스러웠겠어요.
나 오늘 너무 황당했어.,오늘 황당함을 느끼셨군요. 무슨 일이신가요?
나 혈압이 갑자기 높아져서 병원에서 추가 검사하자네. 이게 무슨 일이래.,병원에서 추가 검사를 요청받아 당황스러우셨겠어요.
요즘 몸이 예전 같지 않아. 담배도 이젠 별로 맛이 없어.,달라진 몸 상태가 익숙지 않으신 것 같아요.
학교 간다던 아들이 회사 앞을 지나고 있어. 이 녀석이 거짓말을 한 건가?,의외의 장소에서 아드님을 만나 당혹스러우신 것 같아요. 아드님이 여기 계신 이유가 뭘까요?
결혼식 날짜를 잡아놓았는데 예약한 결혼식장이 문을 닫아서 당혹스러워.,예약한 결혼식장이 문을 닫은 소식에 당황하셨군요.
나 오늘 친구 때문에 많이 황당했어.,친구와 안 좋은 일이 있었나요?
친구가 내 말을 믿지 않아.,친구가 사용자님의 말을 믿어주지 않아 당혹스러우시군요.
코로나 때문에 이번 하반기도 취업 시장이 불황이라 걱정이야.,취업 시장이 불황이라 걱정이시군요. 어떤 것이 취업하는 데 도움이 될까요?
왜 이렇게 이기적인 사람이 많을 걸까?,최근에 이기적인 사람을 만나셨나요? 무슨 일인지 말해 주실 수 있나요?
여자들은 정말 이해할 수가 없어. 도대체 어쩌라는 거지?,어떤 점에서 여자들의 마음을 이해하기 어려운가요?
친하지 않은 친구가 돈을 빌려달라고 해서 당혹스럽네.,별로 친하지 않은 사람이 돈을 빌려달라고 해서 당황스러우셨군요.
갑자기 직장을 관두게 돼서 너무 당혹스러워.,갑자기 직장을 그만두게 되셨다니 좀 더 자세히 말씀해 주세요.
졸업하면 바로 취업을 할 줄 알았는데 그게 아니라 당혹스러워.,취업이 잘 안 돼 속상하시군요. 지금 상황에선 어떤 걸 할 수 있을까요?
얼마 전에 아내랑 정기 임신 검사받으러 갔는데 아이가 장애가 있을지도 모른다는데 너무 당혹스러웠어.,아내가 임신 중인 아이한테 장애가 있을지도 모른다니 걱정되시는군요.
우리 사무실에 김 과장이라고 있는데 내일까지 신규 프로젝트에 대해 발표 준비를 해오라네.,조금 당혹스러울 수 있는 상황이네요. 시간이 많이 부족한가요?
아들이 학교를 중퇴하고 장사를 하겠다는 거야.,아드님의 말에 당황하셨겠어요.
시부모님이 만날 때마다 애를 낳으라고 스트레스를 줘.,시부모님이 아이를 가지라고 권유를 하셔서 스트레스를 받으시는군요.
직장 동료가 나보고 소개팅을 해준다고 하는데 당혹스러워.,직장 동료가 소개팅을 해준다고 하는데 당혹스러우시군요.
얼마 전부터 부장님이 부장님 자녀 영어 과외를 시키는데 거절을 못 하겠어. 정말 당황스럽고 곤란해.,부장님의 부탁을 거절하기 곤란하겠어요.
딸이 갑자기 남자친구를 소개해준다고 해서 놀랐어.,갑자기 그래서 놀랐겠어요. 어떤 점이 당혹스러웠는지 여쭤봐도 될까요?
건강이 점점 악화하고 있어서 어떻게 해야 할지 모르겠어.,건강 악화하고 계시는군요. 어디가 많이 아프신가요?
막내가 대화할 때 비속어를 사용해서 너무 당혹스러워.,막내분이 비속어를 사용하셔서 당황하셨겠어요. 그것에 대해 이야기해보셨나요?
갑자기 살이 쪄서 당혹스러워.,갑자기 살이 찌셔서 당혹스러우시겠어요. 그럴 이유로 생각되는 게 있으실까요?
아들이 창피하다고 날 보고 이쁘게 꾸미고 다니래.,아드님의 말씀에 당혹스러우셨겠어요.
아들이 항상 엄마가 하는 말은 무슨 말이든 잘 들었는데 요즘 좀 힘들게 하네.,어떤 점이 제일 힘들게 하죠?
갱년기 때문에 땀도 많이 나고 우울하고 짜증도 이유 없이 많이 나.,힘든 시기를 지내고 계시는군요.
친구에게 돈을 빌려줬는데 줄 생각을 안 하네.,친구분에게 돈을?빌려주고?못 받으신?상황이군요.
오늘 신입이 나를 무시하는 행동을 하네.,신입이 그랬다니 정말 당혹스러우셨겠어요. 무슨 일로 그랬대요?
나 지금 정말 당혹스러워. 시험 답안지를 밀려 쓰는 바람에 점수가 많이 떨어졌어.,시험을 보다 실수를 하셔서 당혹스러우시군요.
오늘 직장에 처음 갔는데 너무 당황스러웠어.,첫 출근을 하셨군요. 무엇이 당황스러웠나요?
