human,system
나를 괴롭혔던 친구에게서 연락이 와서 너무 두려워.,나를 괴롭힌 친구에게 연락이 오셨군요. 정말 두려우실 것 같네요.
대학에 입학해서 새로운 친구들을 사귀어야 하는데 두려워.,새로운 친구를 사귀어야 한다는 부담감에 두려우시겠어요.
동생이 내 비밀을 알아버렸어.,동생에게 원치 않게 비밀을 드러내게 되어 마음이 편치 않으시겠어요.
사람들이 내 치부를 알까 봐 두려워.,다른 사람에게 보이고 싶지 않은 부분이 있으시군요. 두려우신 마음이 이해돼요.
새로운 사람을 만나는 것이 두려워. 어떤 말을 해야 할지 모르겠어.,대인관계에 어려움을 겪으시는군요. 상대방에게 잘 보이고 싶은 마음이 크신가요.
아빠가 집에 들어오면 가만두지 않을 거래.,아버지의 언행으로 마음이 아주 어지러우시겠어요.
올해도 취업을 못 할까 봐 두려워.,그렇게 생각하시는 이유가 있을까요?
의사가 나더러 체중을 감량하지 않으면 죽을 수도 있다고 해서 꼭 시한부 판정을 받은 것 같고 무서워.,의사의 말에 충격을 받으셨군요.
어릴 때 아빠가 나를 무자비하게 때렸던 게 기억나서 지금도 아빠를 보면 무서워.,안 좋은 기억 때문에 지금도 아버지가 무섭게 느껴지시는군요.
형은 툭하면 나를 때리는데 곧 학원에서 돌아오면 또 때릴까 봐 무서워.,형이 때릴까 봐 무서운 마음이 드는군요.
형이랑 장난을 치다가 엄마가 아끼는 화분을 깨뜨렸어. 엄청나게 혼날 것 같아.,어머니께 혼날까 봐 두려운 마음이 드는군요.
숙제를 잘못 챙겨 왔나 봐. 가방에 내 노트는 없고 누나 것만 들어 있네.,그러셨군요. 조금 더 자세한 상황을 알려주시겠어요?
엄마랑 아빠가 소리를 지르면서 싸우시네. 물건이 깨지는 소리도 들리고 너무 무서워.,부모님의 다툼 때문에 무서워하고 계시는군요.
형이 부모님을 때리고 가출했는데 지금 현관에 형 신발이 보여. 또 무슨 일이 생길까 무서워.,형이 무슨 일을 저지를까 봐 무서우신 거군요.
형이 자꾸 모르는 사람들을 집으로 부르는데 하나같이 험악하고 무서워.,형의 행동 때문에 불안함을 느끼시는군요.
