human,system
공무원 시험 준비를 너무 오래 하고 있어. 부모님에게 손 벌리는 것도 이젠 죄송해.,오랫동안 공무원 시험 준비를 도움받아 부모님께 죄송하군요. 그런 마음을 어떻게 해결할 수 있을까요? 
순간의 감정으로 친구를 배신했어. 죄를 지은 느낌이야.,친구를 배신해 죄책감을 느끼시는군요.
여자친구가 결혼을 기대하고 있는데 나는 결혼이 준비되지 않아 미안해 죽겠어.,여자친구에게 많이 미안하시군요? 여자친구와 이런 고민을 함께 대화해보신 적은 있나요?
여자친구랑 교외에서 자전거를 탔는데 넘어져서 다쳤어. 괜히 내가 타자고 그래서 여자친구만 다친 것 같아.,여자친구가 다쳐서 죄책감을 느끼고 계시네요.
돈을 벌 능력이 없는 나 때문에 자식들이 고생하는 것 같아 마음이 안 좋아.,내가 돈을 벌 능력이 없어 자식들이 고생하는 것 같아 마음이 안 좋으시군요.
내가 소개해준 사람에게 여러 사람이 피해를 봐서 죄책감이 들어.,자신 때문에 피해를 본 사람이 생겨 죄책감을 갖고 있으시겠어요.
슈퍼마켓 총각에게 백만 원을 빌려줬던 것이 내 잘못이야.,총각으로부터 백만 원을 빌려주셨군요. 그 뒤로 무슨 일이 있었나요?
나의 무지 때문에 동호회 재정에 지출을 키워서 죄책감이 들어.,실수로 인해 동호회 재정에 예상치 못한 지출을 생기게 했군요.
벌써부터 자식들에게 생활비를 받아야 하는 게 미안해.,자식들에게 생활비를 받는 게 미안하시군요.
집을 사기당해서 빼앗기고 단칸방으로 이사를 하게 돼서 가족에게 면목이 없어.,사기 때문에 단칸방으로 이사를 가 가족에게 면목이 없으시군요.
젊은 시절에 즐기기에 바빴던 지금의 나에게 미안해.,젊은 시절에 즐기기만 해서 지금의 나에게 미안하시군요.
내가 조금이라도 젊을 때 저축을 많이 하지 못한 것이 너무 후회돼.,젊을 때 저축 못 한 것을 후회하시는군요.
아들이 내 병원비를 내려고 등록금 모은 적금을 깬 모양이야. 너무 미안하고 속상해.,그런 일이 있으셨군요. 마음이 많이 아프셨겠어요.
아내가 나를 위해 아침을 챙겨주는 게 너무 힘들다고 말해서 당황했어.,의외의 반응에 상처를 받았군요.
아내가 내가 벌어다 주는 적은 돈으로 큰 살림을 꾸려나가는 걸 보면 안쓰러워.,아내의 모습에 안쓰러운 감정을 느끼시는군요.
아픈 나를 대신해서 돈을 벌기 위해 아들이 대학 진학을 포기했어.,그런 일이 있으시군요. 더 자세히 말씀해 주실 수 있나요?
내가 사업에 실패해서 고등학생 아들이 아르바이트를 시작했는데 참 미안하고 마음 아프네.,아들이 아르바이트하게 된 일에 미안함을 느끼시는군요.
몸이 약한 아들이 내 탓인 것만 같아서 죄책감이 들어.,몸이 약한 아들이 자신의 탓인 것 같아 죄책감이 드시는군요.
젊어서 내 옷과 화장품에 돈을 많이 써서 물려줄 재산이 없어서 자식들에게 죄책감이 들어.,젊은 시절의 소비로 자식에게 물려줄 재산이 없다고 생각해 죄책감을 느끼시는군요.
사정이 어려워 친구에게 빌린 돈을 몇 년째 못 갚고 있어서 죄책감이 들어.,친구에게 빌린 돈을 아직 갚지 못하고 있어 죄책감이 드는군요.
갱년기가 되니 건강이 안 좋아져서 가족들에게 짐만 되는 것 같아.,갱년기로 건강이 나빠져 가족들에게 죄책감을 느끼고 있군요.
아들이 잘못된 게 내 탓인 것만 같아서 죄책감이 들어.,아들 문제로 죄책감을 느끼고 있군요. 더 자세히 들어볼 수 있을까요?
먹고 살기 바빠서 자식들 교육을 못 시킨 게 한이야.,자식들 교육을 잘 시키지 못해 죄책감을 느끼고 있군요.
내가 무능해서 자기가 좋은 대학에 못 들어갔다는 딸의 말을 듣고 괴로워.,딸의 원망에 당황스럽고 죄책감을 느끼셨겠군요.
건강이 안 좋아져서 퇴사하고 집에만 있는데 남편에게 많이 미안해.,어떤 일로 남편에게 미안함을 느끼고 있는지 알 수 있을까요?
후배들에게 야근을 많이 시키게 돼서 미안해.,후배들에게 야근을 시키게 돼서 죄책감이 드시는군요.
여름 휴가를 가서도 일을 해야 할 것 같아서 가족들에게 미안해.,바쁜 업무 때문에 가족들에게 죄책감을 느끼시는 것 같아요.
내 실수로 타 부서까지 일정을 조정하게 되어 죄책감이 들어.,실수 때문에 타 부서까지 영향을 주게 되어 죄책감을 느끼셨군요.
퇴사한 이후로 수입이 줄어서 아내가 힘들어하니까 미안해.,아내에게 죄책감을 느끼고 계시는군요. 조금 더 상세히 말씀해 주시겠어요?
아이를 혼자 돌봐야 해서 매일 정시 퇴근을 하니까 아이와 회사 양쪽에 죄책감이 들어.,집과 회사 양쪽에서 죄책감을 느끼고 계시는군요. 
직장 내 괴롭힘을 목격했는데 모른 척했더니 죄책감이 들어.,마음이 많이 불편하신 것 같아요. 조금 더 자세히 말씀해 주세요.
직장 상사가 내게 준 일에 의욕이 없어서 부하 직원에게 넘겼더니 많이 미안하네.,일을 넘기고 나니 죄책감에 힘들어하시는 것 같아요.
한창 회사에 일이 많은데 내가 과로로 쓰러져서 일을 못 하고 있어.,바쁜 와중에 일을 못 하게 되어 동료들에게 미안함을 느끼시는 것 같아요.
평소에 내가 엄하게 대했던 직원이 회사를 그만둬서 마음이 안 좋아.,사용자님이 그 직원에게 어떻게 대했다고 생각하세요?
좋은 회사로 이직했는데 전에 같이 고생하던 동료들에게 자주 연락이 와.,같이 고생했던 직원들에게 미안한 감정이 드시는 것 같아요.
작년에 나보다 공부를 잘하는 친구를 따돌렸던 것 때문에 죄책감을 느껴.,친구를 따돌려 죄책감이 크시군요.
어제 친구가 브랜드 가방을 메고 다니는 게 부러워서 그 가방을 뺏었어.,친구의 물건을 빼앗은 것에 대해 죄책감을 느끼는 것 같군요.
내가 실수해서 회사의 신제품이 노출돼 버려서 죄책감이 들어.,죄책감 때문에 힘들어하시는 것 같아요.
내가 지각한 탓에 팀 프로젝트를 망쳐 버렸어.,사용자님의 실수 때문에 죄책감을 느끼시는 것처럼 들려요.
내가 사장님 앞에서 큰 실수를 하는 바람에 우리 부서 동료들에게 미안하게 됐어.,무엇이 사용자님에게 죄책감을 느끼게 하나요?
내가 돈을 받고 범인을 풀어 준 사실이 들통나면서 죄책감에 시달려.,죄책감 때문에 괴로워하시는 것 같군요. 무엇이 사용자님이 죄책감을 느끼게 했나요?
올해 마지막 입사 면접까지 떨어져서 부모님께 죄송한 마음이 들어.,면접 결과 때문에 부모님께 죄송해하고 계시는군요.
나보다 실적이 좋은 동기의 업무 일지를 훔쳐보다가 들켜서 죄책감이 들어.,그 동기에게 드는 죄책감 때문에 많이 괴로우신 것 같아요.
학점을 위조한 서류로 취업이 돼서 마음이 편하지가 않아.,죄책감 때문에 힘들어하시는 것 같아요. 무엇이 사용자님을 힘들게 하나요?
처음 하는 발표에서 내 실수로 발표 전체를 망쳐 버렸어.,발표를 망친 것에 대한 죄책감이 크신 것 같네요.
내 잔소리 때문에 신입 사원이 눈물을 보여서 내가 잘못한 것 같아.,신입 사원에 대한 미안함 때문에 힘들어하고 계시는군요.
경기 악화 때문에 회사의 지시로 팀원을 해고하게 돼서 죄책감에 시달리고 있어.,팀원에게 미안한 마음 때문에 괴로우시군요.
직장 동기가 휴게실에서 우리가 본인 얘기하는 걸 들은 것 같아서 미안하네.,동기가 어떻게 생각할 것 같으신가요?
부장님에게 큰 실수를 한 것 같아서 괴로워.,부장님에게 실수를 하셨군요. 더 자세히 말씀해 주시겠어요?
친구가 내가 소개해 줬던 애인에게 구타당했다고 들었어. 내 잘못 같아.,친구에게 미안한 마음에 괴로워하고 계시는군요.
팀 프로젝트를 내가 망쳐 버려서 조원들에게 미안해.,팀 프로젝트를 망치셨군요. 조금 더 자세히 말씀해 주시겠어요?
친구가 연락을 끊을 정도로 큰 실수를 한 것 같아.,죄책감 때문에 힘들어하고 계시는군요. 무엇이 죄책감을 느끼게 했나요?
나 때문에 대리님이 크게 다치신 것 같아 죄송해.,무슨 일인지 조금 더 이야기해 주시겠어요?
어제 내가 한 실수 때문에 친구에게 정말 미안해.,어떤 일인지 자세히 말씀해주시겠어요?
