human,system
같이 일하던 사람이 나 때문에 혼났는데 사과를 못 해서 어색한 사이가 됐어.,사과할 타이밍을 놓쳐서 관계가 어색해지셨군요.
남자 친구가 연락이 안 돼. 갑자기 내 연락에 답하지 않아서 불안해.,남자 친구가 연락이 안 돼서 불안하시군요.
출산 예정일도 아닌데 진통이 와서 혼자 출산하게 되어 힘드네. 남편은 일하고 있어서 바빴거든.,혼자서 출산을 하게 되셨군요. 정말 놀라고 힘들었겠어요.
남자 친구한테 다른 여자가 생겨서 헤어지게 됐어. 창피해서 어디 말할 수도 없네.,남자 친구와 헤어진 이유가 창피하시군요.
겨우 결혼한 지 일주일밖에 안 됐는데 남편이 벌써 술 먹고 외박을 했어. 어이가 없어서 헛웃음만 난다.,남편이 벌써 술 먹고 외박을 해서 어이가 없으셨군요.
남자 친구의 장애 때문에 우리의 결혼을 응원하는 사람이 없어서 당황스러워.,장애 때문에 결혼을 응원하는 사람이 없어 당황스러우시군요.
결혼을 모든 가족이 반대해서 아무도 내 결혼식에 참석하지 않는대서 당황스러워.,결혼식에 가족이 참석하지 않아서 당황스러우시군요.
출산을 한 날에 남편이 사고로 죽었어. 내 아이의 생일은 아이 아버지의 기일이 되어 버렸어.,출산일에 남편분이 돌아가셨군요. 지금 기분은 괜찮으신가요?
남자 친구가 다른 여자랑 결혼한대. 드라마에 나올 법한 일이 나한테 일어나서 당황스러워.,남자 친구가 다른 여자와 결혼하게 되어 당황스러우시군요.
결혼식에 초대할 사람이 없어서 당황스러워. 텅 빈 결혼식장에서 결혼하고 싶지는 않아.,결혼식에 초대할 사람이 없어서 당황스러우시군요.
남편이랑 이혼하려고 하는데 아이들이 다 내가 아닌 아빠를 따라가겠다고 해서 씁쓸하네.,아이들이 다 아빠를 따라간다고 해서 씁쓸하셨군요.
나 사실 남자 친구 아이를 가졌어. 부모님도 친구들도 모두 지우라고 하네.,모두가 아이를 지우라고 하는군요. 기분은 좀 괜찮으신가요?
얼마 전에 친한 친구에게 오랜만에 연락했는데 연락을 무시했어.,오랜만에 연락했는데 무시당해서 당황스러우셨겠어요.
나이가 들어서 그런지 요즘 자꾸 여기저기 아프네.,어디가 많이 불편하신가요?
같은 과 친구들은 모두 연애를 하는데 나는 여자친구가 없어서 속상해.,친구들처럼 여자친구가 있었으면 좋겠다고 생각할 때가 많으세요?
노인이 될수록 사람들에게서 소외되는 것 같아.,소외되는 것 같을 때 기분이 어떠신가요?
친구들은 모두 결혼하고 나만 혼자 남았어.,친구들이 모두 결혼하니 혼자가 된 기분을 느끼시는군요. 결혼하고 싶으신 건가요?
스터디 카페도 도서관도 전부 닫아서 갈 곳이 없네.,갈 곳이 없어서 당황스러우시군요.
나의 편이 되어주겠지라고 내심 생각했던 사람이 그러지 않으니까 솔직히 배신당한 것 같네.,내 편인 줄 알았던 사람에게 배신감이 드시는군요.
아니 왜 나만 쏙 빼놓고 다 불렀대?,당황하신거 같군요. 더 자세히 말씀해 주실 수 있나요?
친구들이 나만 빼고 모임을 해서 당황스러워.,친구들에게 소외된 기분이 들어 당황스러우시군요.
어떻게 하지? 회사에서 따돌림당할 것 같아.,회사에서 따돌림 당할 것 같으시군요. 무슨 일 때문에 그러세요?
직장 동료가 주도하여 왕따를 당하고 있어.,직장 내에서 인간관계로 어려움이 있으시군요.
처가살이하고 있는데 아내의 가족들과 친하게 지내는 게 너무 힘들어. 홀로 고립된 기분이야.,처가에서 지내다 보니 고립된 기분을 느끼시는군요.
요즘 왠지 친구들 사이에서 고립된 것 같은 느낌이 들어.,친구 무리에서 혼자 고립된 것 같은 느낌이 드시는군요. 혹시 그런 생각이 들만한 일이 있었나요?
회사에서 아무도 나에게 말을 걸어주지 않아.,회사에서 고립되셨군요. 무슨 일이 있었나요?
젊었을 때는 자식 키우고 시부모 모시고 정신없이 살았는데 어느덧 시부모 돌아가시고 자식들은 결혼해서 우리 부부만 남았어.,지금은 두 분만 남았군요. 어떤 상황인지 자세히 이야기해주실 수 있을까요?
오늘 좀 황당한 상황을 겪었어.,황당한 상황을 겪으셨군요. 어떤 일을 겪으셨나요?
앞으로 동창 모임에 나가지 말까 봐. 나갔더니 소외된 느낌이 들더라고.,동창 모임에서 안 좋은 일이 있으셨어요?
