human,system
결혼이 코앞인데 아직 확신이 들지 않아. 자꾸 도망치려는 내가 싫어져.,결혼을 앞두고 고민이 많으시군요. 그런 감정을 누구에게 말해보셨나요?
나 오늘 회사에서 진짜 꼴 보기 싫은 걸 봤어.,회사에서 어떤 걸 봤길래 그러세요?
동성 간의 연애가 보기 힘들 때가 있어.,무엇 때문에 동성 간의 연애가 보기 힘들다고 느끼시나요?
아빠가 되었는데. 아이가 꾸물거리는 게 좀 이상하게 느껴져. ,이상한 감정이 들어서 속상하시겠네요. 그러한 계기가 있으셨나요?
어떻게 날 면접에서 탈락시킬 수가 있지? 정말 실망스럽다. ,면접에서 떨어지셨군요. 속상하시겠어요.
이단에 속해 있는 친구들을 보면 너무 싫어.,조금 더 자세히 말씀해 주시겠어요?
부장님은 퇴근할 때에 꼭 새로운 업무를 맡겨서 너무 싫어.,퇴근 전에 새로운 업무를 주는 부장님이 싫으시군요.
과장이 미쳤나 봐. 나한테 성희롱 발언을 했어.,과장님이 성희롱 발언을 해서 싫으셨군요.
직장 상사가 쓸데없는 이야기를 회의 시간에 계속해서 꼴불견이야.,직장 상사가 쓸데없는 이야기를 했었군요. 자세히 말씀해주시겠어요?
부장이 남녀 차별을 하네.,부장이 차별을 했군요. 자세한 얘기를 들려주실 수 있나요?
부장이 나에게 야근을 강요해.,부장님이 야근을 강요하셨군요.
상사가 일주일 업무를 내일까지 하래. 너무 싫어.,상사분이 업무를 과하게 맡기셔서 싫으셨겠어요.
팀장은 너무 싫어. ,팀장의 어떤 부분이 싫으신가요?
대리가 나한테 모욕적인 말을 하네.,대리에게 모욕적인 말을 들으셨군요. 어떤 생각이 드셨는지 말씀해 주세요.
직장 상사가 자기 집안일을 나한테 시켜서 너무 짜증나. ,상사분이 집안일을 시켜서 짜증나셨군요.
내 친구가 같이 간 식당에서 직원한테 갑질을 하더라. 정이 너무 떨어졌어.,친구가 직원에게 무례하게 행동해서 많이 실망스러우셨군요.
우리 아내는 나보다는 돈이 좋은가 봐. 내가 이직해서 연봉이 줄었다고 매일 잔소리하는 게 너무 싫어.,아내분이 돈 때문에 그런 말씀을 하셔서 마음이 안 좋으실 것 같아요.
최근 아내가 나에게 숨겨둔 자식이 있다고 털어놓은 바람에 충격이 커.,마음이 무척 심란하시겠어요. 좀 더 상세하게 얘기해 주시겠어요?
아내가 시장에서 회를 떠 왔는데 아무래도 사장이 다른 횟감으로 준 것 같아.,좀 더 자세히 말씀해 주시겠어요? 다른 횟감으로 줬다니요?
아내가 아이들에게 공부를 못하는 이유가 나를 닮아서 머리가 나빠서라고 말하는 게 기분 나빠.,기분이 많이 나쁘셨을 것 같아요. 좀 더 자세히 말씀해 주시겠어요?
