human,system
결혼할 예식장이 근사하지 않은 것 같아서 걱정이야.,예식장이 마음에 들지 않으시는군요. 어떤 점이 마음에 들지 않으신가요? 
걷기는 멀쩡히 걷지만 허리가 굽고 걸음이 느려 사람들이 나를 이상하게 볼 것 같아.,허리가 굽고 걸음이 느려 멀쩡히 걸으심에도 불구하고 남의 시선을 의식하게 되시는군요.
신호등을 건너는데 청년이 나를 부축해 준다고 한 걸 내가 측은하게 보일까 봐 거절했어.,측은하게 보일까 봐 청년의 도움을 거절하셨군요.
허리가 굽은 내 모습을 다른 사람들이 비웃을 것 같아서 슬퍼.,허리가 굽은 모습을 남들이 비웃을 것 같아 슬픔을 느끼시는군요.
나는 노년의 청춘을 생각하지만 다른 사람들은 죽음을 대비해야 하는 나이에 이런 나를 못마땅해할 것 같아.,노년의 청춘을 생각하시지만 다른 사람들의 시선이 신경 쓰여 불편한 기분을 느끼시는군요.
밖에 나갈 때마다 사람들이 늙은 나를 어떻게 바라볼지 신경이 쓰여.,외출할 때마다 사람들이 늙은 자신을 어떻게 바라볼지 시선이 신경 쓰이시는군요.
나는 아직 건강하고 힘이 넘치지만 가족들은 내가 얌전히 집에 있기를 바라는 것 같아서 당황스러워.,아직 충분히 건강하시고 힘이 넘치시는데 가족은 집에 있기를 바라는 것 같아 당황스러우시군요.
손녀가 나를 부끄럽게 생각해서 유치원 재롱 잔치를 보러 가고 싶은데 갈 수가 없어서 슬퍼.,손녀분이 자신을 부끄럽게 생각해서 재롱 잔치를 보러 가실 수가 없어 슬프시군요.
내가 육십이지만 무엇이든 할 수 있어. 하지만 가족을 위해 참고 빨리 죽는 게 낫겠지.,뭐든 할 수 있다고 생각하시지만 가족들을 위해 빨리 죽는 편이 낫다고 생각하시는군요.
내 나이가 아흔이 넘었는데 자식들은 내가 아직까지 살아 있는 게 불만인 것 같아서 눈물이 나.,자녀분들이 아흔 넘게 살아 계신 것에 불만을 품는 것 같아 슬퍼하시는군요.
수술 후 흉터가 너무 커서 밖에 나가기가 두려워.,흉터가 커서 밖에 나가기 두려우셨군요.
동기들과 자꾸 실적을 비교하게 돼.,동기들과 자꾸 비교하는군요. 위축되겠어요.
친척 모임에서 취직했냐는 질문을 들으면 그 자리에서 도망가고 싶어.,친척 모임에 나가기 두려우시겠어요.
사장님이 나를 혼낼 때 직원들 앞이 아닌 따로 불러서 혼냈으면 좋겠어.,직원들 앞에서 혼날 때 기분이 안 좋았겠어요.
사무실 옆자리 남직원이 나를 좋아하는 것 같아.,옆자리 직원이 나를 좋아한다고 느끼셨군요.
회사 워크숍 장기자랑에서 잘하고 싶어.,워크숍 장기자랑을 잘하고 싶으시군요.
대기업이 아니라 친척들이 어떤 회사에서 근무하냐고 물어보면 대답하기 민망해.,어떤 회사에 다니는지 대답하기 민망하시군요.
취업 선물로 외제 차를 받았는데 신입이 외제 차 타고 다닌다고 뒷말이 나와.,외제 차 때문에 뒷말을 들으셨군요.
부모님은 중소기업에 합격한 내가 부끄러우신가 봐.,중소기업에 합격해서 부모님이 부끄러워한다고 생각하시는군요.
중소기업에 합격해서 자존심이 너무 상해.,중소기업에 합격해서 자존심이 상하셨군요.
친구가 대기업에 합격한 나를 멀리할까 봐 친구한테 티를 내지 않았어.,친구에게 대기업에 합격한 사실을 말 안 했군요.
신경 쓰이는 사람이 생겨서 요즘 꾸미고 출근하기 시작했어.,신경 쓰이는 사람이 생겨서 꾸미기 시작하셨군요.
남들이 인정하는 직업과 내가 좋아하는 직업 사이에서 고민이야.,인정받을 수 있는 직업과 좋아하는 직업 사이에서 고민하고 계시는군요.
사내 연애 중인 여자친구가 회사에서 가벼운 스킨십을 시도하는데 어떻게 해야 할지 모르겠어.,회사 사람들의 시선이 신경 쓰이시는군요.
학교에서 여자친구가 팔짱을 꼈는데 다른 사람들을 의식해서 팔을 빼버렸어.,많이 당황했나 봐요. 지금 기분을 더 자세히 설명해 주시겠어요?
술자리에서 여자친구를 챙겼더니 시선이 나한테만 쏠리는 것 같아서 민망함에 자리를 떠버렸어.,다른 사람들이 집중하는 상황에 당황하셨군요.
다른 여자랑 길을 걷다가 아내를 봐서 나도 모르게 숨어버렸어. 오해하면 어떡하지?,아내에게 오해를 살까 봐 걱정이 되겠어요.
여자친구가 생겼냐고 물어보시는 부모님께 당황스러운 마음에 역정을 냈어.,많이 당황스러우셨군요. 어떤 이유로 그런 감정이 들었는지 말씀해 주실 수 있나요?
길거리에서 아내와 싸웠는데 사람들이 수군거리길래 자리를 떴어.,그런 일이 있으셨군요. 그때의 기분을 더 자세히 설명해 주시겠어요?
여자친구가 사람도 많은 데서 애정 표현을 하려고 하길래 당황스러워서 밀쳤지 뭐야.,여자친구의 행동 때문에 많이 당황하셨나 봐요.
아내와 언성을 높여 싸우다가 아이들이 잠에서 깨서 방에서 나오는 것을 보고 말을 아꼈어. 애들이 어떻게 생각할까?,아이들이 사용자님과 아내분이 다투는 것을 보고 어떻게 생각할지 걱정하시는군요.
호감을 가지고 있던 여자한테 고백을 받았는데 알고 보니 그 사람이 내 전 여자친구의 친구더라.,그런 일이 있으셨군요. 혹시 더 자세한 설명을 부탁드려도 될까요?
동창 모임에 이혼한 아내가 왔는데 분위기를 망칠까 봐 아무렇지 않은 척했어.,우연히 전 부인을 만나셨군요. 그때의 기분을 좀 더 설명해주시겠어요?
아내가 힘들어하는 것을 봤지만 부모님 눈치가 보여서 모른 척했어.,부모님의 시선이 의식됐나 봐요. 조금 더 자세히 이야기해 주시겠어요?
가끔씩 남자 친구가 공공장소에서 애정 표현을 하는데 그럴 때마다 조금 난처해.,공공 장소에서의 애정 표현이 편하지 않으신가 봐요.
팬데믹 상황 때문에 딸 결혼식에 하객들도 별로 안 올 것 같아 걱정돼.,좀 더 자세히 얘기해 주시겠어요? 딸 결혼식에 하객들이 안 올 것 같아 걱정된다고요?
이사한 기념으로 집들이하는데 음식 솜씨가 안 좋아서 걱정돼.,음식 솜씨가 안 좋은 상황에서 집들이하는 것이 걱정되시는군요.
아들이 학교에서 꼴등 했다는 사실이 아파트 주민들에게 소문나서 창피해.,좀 더 구체적으로 말씀해 주시겠어요? 학교에서 아들이 꼴등 했다고 소문나 창피하다고요?
딸이 결혼을 일주일 앞두고 파혼하게 되어서 친척들 보기가 민망하기 짝이 없어.,따님의 갑작스러운 파혼으로 당황스러운 상황이시군요.
남편과 같이 옷 사러 다닐 때 옷 가게 점원의 시선을 의식하게 돼.,남편과 옷 사러 갈 때 불편하시군요. 어떤 이유에서 그런 감정을 느끼시는 걸까요?
엊그제 대학 동창 모임에서 친구들이 딸 직업을 물어보는데 백수라고 얘기하기가 부끄러웠어.,딸이 백수라는 사실을 친구들에게 말하기가 부끄러우셨군요.
남편과 이혼했다는 사실을 아직 주변 사람들에게 알리지 않았어. 어떻게 말해야 할지 모르겠어.,이혼 사실을 알리지 못하시는 이유가 무엇인지 여쭤봐도 될까요?
언니가 밖에 나갈 때마다 화려하게 꾸미고 다녀서 당황했어.,언니에게 당황하셨군요. 조금 더 자세히 말씀해주시겠어요?
엄마가 주변 사람들한테 내가 공부를 엄청 잘한다고 말씀하고 다녀서 당황스러워.,어머님의 말씀을 많이 의식하고 계시군요.
부모님은 내가 당연히 좋은 대학에 갈 거라고 자부하는 것 같아 당황스러워.,부모님의 기대 때문에 부담을 느끼고 계신 것처럼 보여요.
우리 오빠는 집 안에서는 게임만 하는데 밖에서는 뭐든 열심히 하는 척해서 당황했어.,오빠의 이중적인 태도 때문에 놀라신 것 같네요.
가족들은 안 그러는데도 나는 남들에게 보이는 내 모습을 신경 쓰는 것 같아서 걱정이야.,무엇이 사용자님을 걱정하게 하나요?
명절 때마다 엄마가 친척들에게 내 자랑을 과장해서 해서 민망해.,사용자님이 민망한 이유가 뭔가요?
엄마가 공부 잘하는 애들을 자꾸 소개해주려고 해서 당황스러워.,공부 잘하는 친구들 소개가 부담스러우시군요. 
내 동생은 밖에서는 날 아는 체도 안 해서 섭섭해.,집 밖에서는 다른 동생의 모습에 놀라셨군요.
엄마는 지인들에게 전교 회장 출신인 언니 이야기만 하는 것 같아.,엄마가 왜 그렇게 행동한다고 생각하시나요?
집에서는 말 안 듣는 동생이 학교에서는 모범생인 척해서 당황스러워.,동생의 태도 변화 때문에 당황하셨군요.
엄마는 집에서랑 밖에서랑 행동이 달라서 당황스러워.,엄마가 집 밖에서 보이는 태도 때문에 놀라셨군요.
언니는 집에서는 아니면서 학교에서만 모범생인 척해서 당황스러워.,언니의 다른 태도 때문에 당황하셨군요.
회사에서 상사가 나한테 남자친구가 있냐고 물어봐서 당황스러워.,회사 상사가 남자친구가 있는지 물어서 당황했군요. 조금 더 자세히 말씀해 주시겠어요??
오늘 고백을 받았는데 아무 말도 못 했어. 사실 난 동성애자인데 사실대로 말하기가 겁나.,사실대로 말할 때 어떤 점이 가장 두려우신가요?
우리 사회는 이성애자에보다 동성애자가 겪는 어려움이 너무 많아서 소외감을 많이 느껴.,이성애자보다 동성애자의 어떤 것이 어렵다고 생각하시나요?
요즘 남들 눈치 보느라 너무 힘들어.,많이 힘드시겠어요. 남들의 눈치를 봐야 하는 일이 있었나요?
상사의 업무지시가 너무 많아.,상사가 많은 업무를 지시하시는군요. 
난 아이를 갖기 싫은데 주변에 있는 사람들은 언제 아이가 생기느냐고 물어봐.,아이를 갖기 싫은데 주변에서 아이에 관해 묻는군요. 그럴 땐 기분이 어떤가요?
나이가 들면서 남의 시선을 의식하게 된다.,시선을 왜 의식하게 되는지 말씀해 주시겠어요?
노인이 되니 점점 다른 사람들의 눈치를 보게 되네.,다른 사람의 시선이 신경 쓰여서 답답하시겠어요.
남자친구를 친구에게 소개해 줘야 하는데 고민이야.,친구에게 남자친구 소개 하는게 고민이시군요. 더 자세히 말씀해 주실 수 있나요?
청소 일을 하게 되었는데 주변에 말을 하지 못했어.,주변에 말을 못하시는군요. 더 자세히 말씀해 주실 수 있나요?
나는 지금 여자친구가 너무 좋은데 자꾸 남의 시선을 의식하게 돼.,다른 사람의 시선이 신경 쓰여서 스트레스받으시는군요.
직장에서 나만 뒤떨어지는 것 같아.,어떤 것 때문에 그런 생각을 하시나요?
회사에서 새로운 부서에 들어갔는데 내일부터 그 부서로 출근을 해야 한대. 내일 무슨 옷을 입을까?,새로운 부서에서 일한다니 첫인상을 잘 보이기 위해 고민이 되시군요.
회사에서 다들 나를 두고 수군거리는 것 같아.,마음이 편치 않으시겠어요. 혹시 마음에 짚이는 일이 있으신가요?
나는 내가 무슨 옷을 입고 외출했을 때 사람들이 나를 어떻게 볼지 너무 신경이 쓰여.,옷을 입었을 때 사람들이 나를 어떻게 볼지 걱정하시는군요.
아내랑 마트로 쇼핑을 하러 가면 나도 모르게 남의 시선을 의식하게 돼. 카트를 끌고 다닐 때도 부끄러워.,남의 시선을 많이 의식하시는군요.
은퇴할 시기가 다가오는데 남의 시선 신경이 쓰이네. 가진 재력이나 부동산을 남에게 과시하고 싶어.,은퇴를 앞두고 계시는군요. 가진 재력이나 부동산을 과시하고 싶으신 이유는 무엇인가요?
상사가 나한테 잘해주니 시샘하는 사람이 있네.,시샘하는 사람이 신경 쓰이시는군요.
정작 난 생각도 없는데 주변에서 자꾸 언제 국수 먹여줄 거냐고 물어봐서 스트레스 받아.,본인 의지와 상관 없는 결혼 시기에 대한 주위의 질문 때문에 고민이시군요.
아무래도 차를 바꿔야겠어. 남의 시선을 의식 안 할 수가 없네.,남의 시선을 의식하시는 이유가 있으신가요?
결혼을 꼭 해야 할까? 남들의 시선이 부담스러워.,결혼에 대해 어떤 생각을 가지고 계시는가요?
비밀 연애를 하고 있어.,누구에게 비밀로 하고 연애를 하고 계시는가요?
밖에 나가면 건강에 대해 밝히기가 꺼려져.,건강에 대해 말하기가 왜 꺼려지시나요?
매일 아침 옷을 고르는 데만 거의 한 시간을 허비해. 남의 시선을 병적으로 신경 쓰는 것 같아서 고치고 싶어.,남들의 시선을 많이 신경 쓰시는 편이신가요?
내가 가고 싶은 벤처기업이 있는데 남들이 안 좋게 볼까 봐 지원하기가 꺼려져.,한 벤처기업을 가고 싶은데 주변의 시선이 많이 신경 쓰이시나 보네요.
새 학기인데 학교에서 친구가 한 명도 없어서 걱정이야. 남들이 보기에 불쌍해 보이겠지?,아직 친구를 못 사귀셨군요. 어떤 점이 가장 신경 쓰이나요?
