human,system
교회 친구가 갑자기 절을 가자고 해.,교회 친구가 절에 가자고 해서 당황하셨겠어요. 친구가 갑자기 절에 가자고 한 이유를 알고 계시나요?
나를 보면 다들 결혼한 유부남인 줄 알아.,유부남으로 오해받으셨군요. 평소에 어떻게 관리를 하면 좋을까요?
내가 한 실수도 아닌데 나를 혼내니까 너무 당황스럽다.,당황스러운 감정을 느끼셨군요. 무슨 일이 있으셨나요?
내가 이 회사에 최종합격한 줄 알았는데 아니라니 너무 당황스러워.,예상과 다른 결과에 당황하셨군요. 어떻게 된 상황인지 조금 더 자세히 듣고 싶어요.
드디어 내가 아빠가 된다니 상상해보면 생각처럼 쉽지가 않을 것 같아.,드디어 아빠가 된다니 기쁘시겠어요.
여자친구가 갑자기 이별 통보를 해왔어. 이유도 말해주지 않고.,여자친구의 갑작스러운 이별 통보에 당황하셨군요.
아빠가 다른 여자를 만난다는 걸 엄마한테 알려줬는데 내가 잘한 건지 모르겠어.,그런 일이 있으셨군요. 조금 더 자세히 얘기해 주시겠어요?
술김에 오래 알고 지낸 친구한테 좋아한다고 말해버렸어.,그런 일이 있었군요. 지금 기분은 어떠신가요?
남편과 아들이 심하게 싸웠는데 누구 편을 들어야 할지 몰라서 혼란스러워.,누구 편을 들어야 할지 몰라서 혼란스러우시겠군요.
작은아들을 혼냈더니 녀석이 반항을 하네. 너무 당황스럽다.,아드님의 반항에 당황하셨겠어요. 좀 더 자세히 설명해 주시겠어요?
뚱뚱하던 나를 무시하던 남편이 내가 다이어트한 후로 갑자기 살가워진 게 당황스러워.,남편이 살가워졌는데 당황스러우신 이유를 여쭤봐도 될까요?
언니가 자기 남자친구를 엄마에게 소개해 주고 있던데. 나 혼란스러워.,어떤 것이 나를 혼란스럽게 만들었나요?
동생이 갑자기 나한테 참 이상한 메시지를 보냈어. 왜 이런 걸 보냈을까 너무 궁금해.,동생이 보낸 메시지를 보고 혼란스러워하시는군요.
갑자기 오늘 아침에 할머니가 돌아가셨어. 당황스러워.,할머니가 갑자기 돌아가셨다는 소식을 들어서 당황하셨을 것 같아요.
학교 끝나고 가는 길인데 갑자기 엄마가 집에 빨리 오라고 전화해서 너무 걱정돼.,갑자기 엄마가 그런 전화를 해서 무슨 일이 있을까 걱정이 되겠네요.
갑자기 경찰서에서 동생을 데리러 오라는 연락이 왔어. 너무 놀랍고 무서워.,경찰서에서 급한 연락이 와서 무척 놀라셨겠네요.
요즘 우리 아빠와 엄마가 서로 대화를 안 해. 답답하고 혼란스러워.,부모님 두 분이 대화가 없다니 무척 걱정되고 혼란스럽겠네요.
우리 집이 곧 이사를 하게 됐다고 하네. 갑자기 두려워.,갑자기 이사를 한다는 소식에 어떤 것이 두렵다고 느껴지시나요?
회사에 취직했는데 대학 동기가 과장이었어. 너무 당황스러워.,대학 동기가 직장 상사라서 많이 혼란스러우셨겠어요.
존경하신 분 비서로 일하게 되었는데 알고 보니 여자관계가 복잡하네. 실망스러워.,존경하신 분이시라 많이 실망하셨겠어요.
나와 내 동생이 배다른 형제래. 정말 혼란스러워.,동생과 배다른 형제라는 것을 알게 돼서 너무 혼란스러우시겠어요.
내가 자취를 하고 있는데 내 친구가 같이 살면 안 되겠냐고 해서 너무 혼란스러워,친구분이 자취하고 있는 나에게 같이 살자고 해서 많이 혼란스러우시겠어요.
