human,system
결혼하고 아이가 생기면 좋을 줄 알았는데 그런 건 아무것도 없었어.,상상하던 일들과는 달라서 실망하셨군요.
나 이번에도 면접에 떨어졌어.,면접에 떨어져서 우울하시군요.
나 정말 한심한 것 같아.,무슨 일이에요? 기분이 상한 일에 대해 더 얘기해 주실 수 있어요?
부모님께서 결혼하라고 재촉하셔. 근데 난 아직 모은 돈이 없어서 이런 내가 한심해.,모은 돈이 없어서 한심하시군요.
한 살이라도 젊을 때 재테크를 해야 했는데 너무 무지했던 내가 한심해.,젊을 때부터 재테크를 하지 않았던 것을 한심하게 생각하시는군요.
노후 준비를 위해서 저축을 해야 하는데 나가는 돈이 많아서 어쩔 줄 모르겠네.,저축이 어려울 만큼 지출이 많아서 당황스러우시군요.
젊을 때는 나이 들어 부유할 줄 알았는데 현실은 정반대로 돈 걱정하는 모습이 한심하게 느껴져.,돈 때문에 걱정하는 모습을 스스로 한심하게 느끼시는군요.
누군가 노후에 대해서 물어오면 비참하고 한심한 느낌이 들어.,조금 더 자세한 이야기를 들려주시겠어요?
내가 꿈꿔 온 노년의 삶을 살기 위해서는 턱없이 부족한 상황이 한심하네.,노년의 꿈을 이루기에 재정적으로 부족한 상황이 한심하게 느껴지시는군요.
나중에 자식들에게 금전적으로 의지할 것 같은데 그런 내가 참 한심해.,훗날 자녀들의 경제적인 도움을 받을 것으로 생각해 자신을 한심하게 느끼시는군요.
이제 곧 은퇴도 생각해야 하는데 가진 자산이 별로 없어서 한심하게 생각되네.,은퇴를 앞두고 모아둔 자산이 없어서 자신을 한심하게 느끼고 계시는군요.
회사에서 은퇴를 은근히 압박하는데 해고를 당할까 봐 전전긍긍하는 내가 한심해.,해고를 당할까 봐 걱정하는 자신의 모습에 한심함을 느끼시는군요.
우리의 총자산을 너무나 적어서 이제껏 관리해 온 내가 한심하게 보여.,자산 관리를 잘 못 했다고 느끼시는군요. 어떤 상황인지 더 자세히 말씀해 주실 수 있나요?
