human,system
이번에 중소기업에 취업하게 되었어. 친구들에게 말하기가 조금 부끄러워.,중소기업에 취업해 부끄러운 마음이 들었군요.
저번 주에 친구와 같은 회사에서 같이 면접을 봤는데 나만 떨어져서 너무 창피해.,친구분과 같이 면접을 봤는데 혼자만 떨어지셔서 부끄러운 마음이 드시는 것 같아요.
결혼 못 한 친구 중에 부끄러워하는 친구들이 있어. 갑자기 나도 조금 부끄럽네.,결혼을 못 해 부끄러움을 느끼시는군요. 결혼에 대해 어떻게 생각하시나요?
나 어떡해. 내 여자친구가 너무 부끄럽다.,여자친구가 부끄럽다고 느껴지셨나 봐요.
나는 사람들 앞에서 발표하는 게 너무 부끄러워.,사람들 앞에 나서는 게 부끄러우시군요.
아내가 아기를 낳았는데 너무 고통스러워했어. 아내의 모습을 보니 아무것도 할 수 없는 내가 부끄러워졌어.,아내에게 도움을 주지 못해 힘드시군요.
어제 부인 앞에서 그만 방귀가 나왔지 뭐야. 그것도 소리가 제법 컸어.,부인 앞에서 방귀를 뀐 사실에 부끄러움을 느끼고 계시는군요.
어제 여자친구와 술을 먹었는데 너무 많이 먹어서 기억이 나지 않아.,술 먹은 다음이 기억이 나지 않으니 많이 당황스러우시겠어요.
처음 남자를 사귀는데 스킨십 문제를 어떻게 해야 할지 모르겠어.,처음 하는 연애라서 어려움을 느끼고 계시는군요.
내가 선배랑 사귀는 게 사람들한테 알려져서 너무 당황스러워.,사람들은 그 사실을 모르고 있었군요. 많이 당황스럽겠어요.
부끄럽게 남편은 아이들이 있는 데서 뽀뽀를 하려고 해.,아이들 앞에서 남편과 뽀뽀하는 것이 부끄럽게 느껴지시는군요.
남자 친구가 사람이 많은 길에서 프로포즈를 해서 많이 부끄러웠어.,그러셨군요. 지금의 감정에 대해 조금 더 이야기해 주실 수 있나요?
곧 남편이 될 남자친구랑 첫날밤을 어떻게 보내야 할지 걱정이야.,어떤 점이 걱정되는지 여쭤봐도 될까요?
곧 결혼기념일인데 부끄러워서 남편에게 말 대신 편지로 마음을 고백했어.,말로 마음을 전하기가 부끄러워 글로 쓰셨군요.
어리게만 보았던 후배가 내게 고백했는데 당황스러워서 어떻게 해야 할지 모르겠네.,갑작스럽게 고백을 받아 당황스러우신가 봐요.
남편 앞에서 처음으로 방귀를 뀌어서 너무 민망해.,남편분에게 처음으로 보이는 모습이라 당황하셨군요.
누나의 친구들이 내가 중간고사에서 커닝한 걸 알고 있어 부끄러워.,내가 커닝한 것을 누나 친구들이 알고 있어 부끄러우시군요.
회식에서 마신 술 때문에 회사에 지각하게 돼서 후배들에게 민망해.,지각 때문에 부끄러운 감정을 느끼셨군요.
조별 과제에서 내가 맡은 부분을 망친 것 같아서 친구들에게 미안해.,어떤 부분에서 무엇이 사용자님을 부끄럽게 느끼게 했나요?
오늘 지각을 해서 선생님께 정말 부끄러워.,선생님이 사용자님에 대해 어떻게 생각한다고 믿으세요?
목표를 세우면 항상 작심삼일이야. 내 스스로가 부끄러워.,이럴 때 도움을 받을 방법이 없을까요?
발표를 하다가 우리 반 앞에서 실수해 버려서 정말 부끄러워.,더 자세히 말씀해 주세요.
너무 쉬운 수학 문제를 틀려서 부끄러워.,무엇이 사용자님을 부끄럽게 느끼게 했나요?
남들에 비해 모의고사 성적이 나빠서 성적을 말하기가 부끄러워.,성적이 나빠 말하기가 부끄러우시군요. 더 자세히 말씀해 주시겠어요?
사람들이 혹시라도 내 애인에 관해 물어보면 난 당당하게 대답할 자신이 없어.,애인에 대한 질문에 자신감이 없으시군요. 특히 어떤 것 때문에 당당하지 못하다고 생각하나요?
친구들이 내 결혼식장에 오면 남편을 보여주는 게 용기가 나지 않아. 두려워.,어떤 점 때문에 남편을 보여주기가 두렵다고 생각되시나요?
좋아하는 친구에게 내가 괴롭힘당하는 모습을 들킨 것 같아서 너무 수치스러워.,좋아하는 친구에게 그런 모습을 들켜서 부끄러우셨군요.
내가 괴롭히던 친구의 부모님이 알고 보니 우리 집과 연이 있는 분들이라니 낯을 뵐 면목이 없어.,괴롭히던 친구의 부모님이 내 가족과 연이 있는 분들이라서 그분들을 볼 면목이 없었군요.
내가 괴롭힌 애가 먼저 나를 용서하겠다고 말을 했어. 그 말에 나도 모르게 눈물이 나더라.,괴롭힘을 당하고도 용서하겠다는 친구의 말에 눈물을 흘렸군요. 
학교폭력에 대해 큰 소리 한 번 내보지 못하고 당하고만 있었던 내가 부끄러워졌어.,그동안 아무 말 없이 폭력을 당했던 것이 부끄럽게 느껴졌군요.
좋아하는 사람한테 오늘 고백하려고 하는데 방법을 모르겠어.,오늘 고백하려고 하니 부끄러워하시는 것처럼 보여요. 상대방은 무엇을 좋아하나요?
친구들은 다 취업해서 번듯한 직장에 다니는 데 나 혼자만 취업 준비 중이야.,혼자 취업 중이라 친구들 만남에서 불편한 점이 있으신가요?
친구들은 다 대기업에 다니는데 나만 중소기업에 다녀.,친구들은 대기업에 다니는데 본인만 중소기업에 다니는 상황이시군요. 그래서 어떤 감정이 드시나요?
나이도 많이 들었는데 생활비가 부족해서 사람 만나기가 부끄럽네.,왜 생활비가 부족하신가요?
학교 조별 모임에서 아는 사람이 하나도 없어서 걱정이야.,조별 모임에 아는 사람이 없어서 걱정이시군요.
독서 모임에서 만난 친구에게 고백하고 싶은데 못하겠어.,고백하는데 망설이고 계신 것 같아요.
엉뚱한 사람에게 카카오톡 메시지 잘못 보냈어.,메시지를 엉뚱한 사람에게 보내서 당황스러우실 것 같아요.
자원봉사를 하러 동호회 사람들과 모이는데 낯가림 때문에 잘 모르는 사람은 얼굴만 쳐다봐도 부끄러워.,처음 보는 사람들과 잘 어울리지 못해서 고민이로군요.
나이는 먹어 가는데 벌어놓은 돈은 없으니 걱정이야.,미래에 금전적인 걱정이 크시군요.
내가 회사 월간지를 담당하는데 많이 죄송하고 부끄러운 일이 있었어.,어떤 일이 죄송하고 부끄러웠는지 여쭤봐도 될까요?
