human,system
오늘 입사 면접을 봤어.,조금 더 자세히 이야기해 주시겠어요?
회사에서 나를 참 신뢰하는 것 같아. 그건 기분이 좋아.,회사에서 신뢰받는 것 같아 기분이 좋으시겠어요. 어떤 비결이 있으신가요? 
먼저 취업한 선배가 면접 비결을 알려줬어. 곧 면접 보러 가는데 든든해.,선배가 면접 비결을 알려줘서 든든하시군요. 어떤 내용인지 알 수 있을까요? 
난 나를 믿어. 그래서 취업난에도 굴하지 않고 끊임없이 입사 지원을 하고 있어.,취업난에도 굴하지 않고 계속 지원하고 계시는군요.
부하직원이 있는데 너무 일도 잘하고 신뢰가 가.,신뢰할 수 있는 부하직원이 있군요.
신뢰하는 친구가 있는데 내가 돈을 빌려줬어.,믿을 만한 친구에게 돈을 빌려주셨군요.
요즘 사람들 만나고 다니는 게 너무 행복해!,요즘 사람들을 만나면서 행복감을 느끼고 있으시군요.
이번에 내가 들어가고 싶은 기업에서 근무하는 선배로부터 취업에 대한 피드백을 받았어. 너무 기뻐!,기업에서 현직으로 근무하고 계시는 분한테 직접 조언을 들어서 기쁘셨군요.
같이 일하는 친구와는 이십 년 넘은 사이라 안심하고 무슨 일이든지 맡길 수 있어.,같이 일하시는 친구분이 이십 년 지기라 무슨 일을 맡기든 믿음이 가시는군요.
요즘 코로나가 유행해서 매출이 떨어지고 있지만 금방 안정될 거라고 믿고 있어.,코로나로 인한 매출 감소가 금방 안정될 것이라고 신뢰하고 계시는군요. 상황에 대해 더 자세히 말씀해 주시겠어요?
자식들 교육에 아낌없이 지원해서 그런지 다들 좋은 직장에 자리를 잘 잡은 것 같아서 기분이 좋아.,자녀분들이 좋은 직장에 자리를 잘 잡아서 기분이 좋으시군요.
좋은 거래처들과 많이 알고 지내다 보니 사업 수완이 좋다는 이야기를 듣곤 해.,좋은 거래처들과 많이 알고 계셔서 사업 수완이 좋다고 들으시는군요. 뿌듯하시겠어요.
그동안의 힘든 날들에도 언제나 집안일과 가정의 경제를 책임져 준 아내에게 고마워.,집안일과 가계를 책임져 준 아내분에게 고마우시군요.
나도 직원들을 믿고 직원들도 나를 믿고 따라준 덕분에 회사가 잘 되었다고 생각해.,직원들과의 신뢰 덕분에 회사가 잘 성장할 수 있었군요. 믿음직스러우시겠어요.
내 회사는 납기일이나 입금일을 밀린 적이 없어 거래처에 신용도가 좋아.,운영하시는 회사의 납기일이나 입금일이 밀린 적이 없어 거래처에서 신뢰받고 계시는군요. 뿌듯하시겠어요.
아이들이 주는 용돈을 받아 생활하는데 돈이 넉넉해서 생활이 아주 평안해.,자녀분들이 용돈을 넉넉하게 주셔서 평안한 생활을 하시는군요. 좋으시겠어요.
내 친구는 아주 작은 일에도 성실하게 임하는데 세상에 그만한 사람이 없다고 생각해.,아주 작은 일에도 성실하게 임하시는 친구분에 대한 신뢰가 두터우시네요.
내 주거래 은행의 자산관리사가 내 재정을 잘 관리해 줘서 믿음이 가.,어떤 점이 신뢰가 가게 하나요?
내 새로운 사업에 친구가 큰 도움이 될 것 같아서 든든해.,친구가 사용자님의 사업에 어떤 도움이 될 것 같나요?
자식들이 다 잘 되고 있어서 노후 걱정이 없어.,어떤 점이 사용자님의 걱정을 덜어 주었나요?
친구의 사업이 앞으로 크게 성장할 것 같아서 내 투자에 확신이 들어.,친구의 사업에 신뢰가 가는 이유는 무엇인가요?
공인중개사가 조만간 내게 수익이 많이 날 토지를 중개해줄 거야.,공인중개사에서 토지를 소개 받으셨군요. 더 자세히 말씀해 주세요.
새로운 예금 상품은 평균보다 이자가 두 배나 높아서 수익이 좋을 것 같아.,어떤 점이 믿음이 가시나요?
이번에 취업한 곳의 상사가 정말 좋은 분인 것 같아.,상사분이 마음에 드신다니 어떤 점이 맘에 드시는 건가요?
내 친구는 정말 솔직하고 멋있어. 난 내 친구를 믿어.,어떤 점에서 그렇게 생각하시게 되었나요?
연애 문제로 상담이 필요한데 누구한테 부탁할지 모르겠어.,지금 떠오르는 사람은 누구인가요?
입사 때보다는 지금이 더 업무 시스템이 효율적이라고 느껴져. 회사가 발전하고 있는 거 같아 신뢰감이 들어.,정말 다행이네요. 구체적으로 어떤 부분이 그렇게 개선된 것처럼 생각되시나요?
최근에 돈 때문에 너무 힘들었는데 내 죽마고우가 돈을 빌려줬어. 정말 고마운 친구야.,고마운 친구를 두셨군요. 친구분과 어떻게 친해지게 되었나요?
내 상사는 믿음직하고 대단한 지도력을 갖추고 있어. 팀원 한 명 한 명을 챙겨주면서 프로젝트를 성공으로 이끌었어.,그런 상사분과 일해서 든든하시겠어요. 어떤 분인지 더 자세히 알 수 있을까요?
친구가 다니는 회사에 새로운 부서가 생겨서 신입사원 공채를 한다고 들어서 지원해보려고.,좋은 소식이군요! 친구의 회사는 괜찮은 회사인가요?
내 주위에는 나를 믿고 좋아해주는 사람들이 많은 거 같아.,굉장히 행복하시겠어요.
나는 은퇴를 하더라도 마음이 맞는 남편이 있으니 걱정이 없어.,남편분이 든든하신가 봐요. 특별히 어떤 면에서 남편을 믿고 의지하시는지 여쭤봐도 될까요?
남자친구한테서 오늘 프러포즈를 받았어.,프러포즈를 받아서 기분이 좋으시겠어요.
나는 재무 설계 서비스를 받은 후로 든든한 마음이 들어.,어떤 점이 마음에 드세요?
미국 드라마를 보다 보면 너를 신뢰할 수 없다는 말을 많이 해. 역시 대인관계의 기본은 서로에 대한 신뢰인가 봐.,맞아요. 사람들은 대인관계에서 신뢰를 중요하게 생각해요.
오늘 아는 사람 결혼식 다녀왔어. 서로가 신뢰하는 모습이 정말 보기 좋았어.,어땠나요? 즐거우셨나요?
나는 내 아이들을 믿어!,아이들에게 무슨 문제가 있나요?
예비 신랑이 너무 좋아. 항상 나를 많이 믿어주네.,예비 신랑님께서 좋으신 분이신가 봐요. 축하드립니다.
회사일에 문제가 생겨서 종일 정신없이 일해야 했지만 뿌듯한 하루였어.,좋은 일이 있으셨나 보군요. 무슨 보람찬 일이라도 있었나요?
남자친구와 오랜 장거리 연애 끝에 결혼하게 됐어!,축하드려요! 장거리 연애 끝에 하게 된 결혼이니만큼 무척 기쁘시겠어요.
유능한 신입사원이 와서 너무 기분이 좋고 뿌듯해.,좋은 일이 있으셨군요. 팀에 큰 도움이 되나 보네요.
이틀 후에 투자유치를 위한 중요한 프레젠테이션을 해야 하는데 너무 긴장돼.,프레젠테이션 때문에 걱정이 되는군요. 어떤 점이 걱정이 되시나요?
오늘 좋은 친구를 사귀어서 기분이 좋아.,좋은 친구가 생기셨다니 축하드립니다.
