human,system
나는 요즘 대인관계가 편안해.,대인관계가 편안해서 좋으시겠어요.
대표님이 나를 갑자기 따로 부르더니 나에게 대학원을 보내주겠다는 제안을 했어. 나를 한 단계 더 발전시킬 기회라 너무 기뻐.,좋은 기회를 얻게 되어 무척이나 들뜨셨네요.
독립해서 산 지 오래되다 보니 늘 외로웠거든. 결혼하니까 항상 날 기다려주는 사람이 있다는 것에 집에 가는 것이 즐거워.,가정이 있다는 것에서 안정을 느끼시나 봐요. 구체적으로 더 좋은 점은 어떤 것인가요?
주민센터에 가면 친절한 직원이 있어서 편한 게 기분이 좋아.,친절한 직원 덕분에 편안해서 기분이 좋으셨군요.
요즘 경로당에서 친구들이랑 같이 모여 밥을 먹으니 참 기뻐.,친구들과 같이 식사하셔서 기분이 좋으셨군요.
이 마을에선 다 가족 같은 분위기로 살아.,네. 마을에서 이웃들과 가족같이 지내시는군요.
우리 골목에 사는 사람들은 참 편안하고 친절해서 좋아.,이웃이 친절해서 좋으시겠어요.
우리 아들이 색시는 속이 깊은 사람으로 아주 기가 막히게 골랐어.,며느리가 마음에 드시나 보네요.
이 나이에 감정을 나눌 친구가 있어서 얼마나 좋은지 몰라.,감정을 나눌 친구가 있어서 기쁘시군요.
나는 인복이 참 많은 사람이야.,인복이 많으시군요. 더 자세한 얘기를 들려주실 수 있나요?
우리 옆집 노인네가 없었으면 어쨌을까 싶어.,혹시 무슨 일이 있으셨나요?
드디어 취업에 성공해서 마음이 가벼워!,취업하셨다니 정말 축하해요. 이제 마음이 편안하겠군요.
사장님이 자유분방한 분이라 사무실 분위기가 아주 편해.,사무실 분위기가 자유로워서 근무하기 편하군요.
팀장님이 출근 첫날 먼저 친근하게 대해주셔서 편했어.,덕분에 마음이 한결 편해졌겠군요.
출근 첫날 선배가 자기를 너무 어렵게 생각하지 않아도 된다고 말해 줬어.,출근 첫날에 선배가 편하게 대해주었나 보네요.
우리 회사는 할당된 업무만 제 시간에 마치면 출퇴근이 자유로워서 편해.,자기 일만 마치면 출퇴근이 자유롭다니 편안하시겠군요.
이직한 직장의 자유로운 분위기가 맘에 들어.,새 직장의 분위기가 마음에 드는군요. 어떤 점이 마음에 드나요?
미리 일해 놓은 덕분에 마감 시간에 쫓기지 않고 일을 마무리했어.,미리 해둔 덕분에 시간에 쫓기지 않고 일을 끝냈군요. 기분이 어떠신가요?
손발이 잘 맞는 팀원들과 일을 하게 되어서 기뻐.,손발이 잘 맞는 팀원들과 같이 일하게 되어 기쁘시겠군요.
연차를 쓸 때 눈치 보지 않아도 되는 분위기라 좋아.,연차를 쓰는 게 자유로우니 일하실 때 편안하시겠군요.
우리 회사는 수평적인 관계를 지향해서 편안해.,수평적인 관계를 지향해서 회사 분위기가 좀 더 편하겠어요.
내가 실수해도 나를 도와줄 사수가 옆에 있어서 든든해.,실수를 해도 도와줄 수 있는 사수가 있어 한결 편안하겠군요.
이제 이 학교에 학교폭력 가해자들이 없어서 너무 좋아.,가해자들이 사라져서 어떤 점이 좋아지셨나요?
지금 괴롭힘당하고 있다고 선생님께 털어놓으니 마음이 한결 가벼워졌어.,솔직하게 고민을 털어놓고 마음이 한결 가벼워지셨군요.
앞으로 괴롭힘을 당할 때마다 우리반 친구들이 도와주기로 약속했어!,반 친구들이 내가 괴롭힘당할 때 도와주기로 약속했을 때 기분이 어떠셨나요?
가해자들이 괴롭히려고 할 때 선생님이 도와주셔서 이젠 전혀 무섭지 않아!,선생님이 도와주셨을 때 어떤 느낌이었나요?
그동안 회사에서 스트레스를 너무 받았는데 퇴사하고 나니 마음이 편안해.,퇴사로 스트레스가 사라졌군요. 앞으로 무엇을 하실 계획이신가요?
드디어 길었던 수험생 시절이 끝나고 공무원 최종 합격했어. 마음이 한결 편해.,정말 축하드려요. 간절히 바랐던 합격도 얻으시고 마음이 한결 편해진 것처럼 보여요.
질병에 걸려도 금전적으로 여유가 있으니 정말 편안하다.,질병에 걸렸는데 금전적 여유가 있어서 다행이네요.
남자친구와 너무 잘 맞아요. 결혼을 해도 이렇게 좋을까?,남자친구와 잘 맞아서 행복하시겠어요.
이제야 직장에서 자리를 잡은 것 같아.,이제 직장에서 자리를 잡은 것 같아 다행이라고 느끼시는군요.
연락 문제와 상관없이 항상 편안한 친구가 있어.,편안한 친구가 있으시군요. 어떤 점이 그렇게 느끼게 하나요?
드디어 취업에 성공했어. 다음 주부터 첫 출근이야.,취업에 성공해서 기쁘고 설레 보여요. 앞으로 어떻게 생활할 거예요?
육아로 인해 경력단절이 걱정스러웠는데 일 년간 육아휴직을 할 수 있게 되어 마음이 편해.,걱정스러운 게 잘 해결되었군요.
요즘 취업난이 심각한데 난 대학원에 진학하기로 마음먹어서 마음이 편안해.,졸업 후 진로를 대학원으로 결정해서 마음이 편안하군요.
내가 또래의 다른 사람보다는 그래도 건강한 것 같아 다행이야.,정말 다행이에요. 건강이 가장 중요하니까요.
몇 달 동안 고민했던 건데 나 회사 그만두고 이직할 거야.,새로운 회사에 취업하시는 건가요?
결혼하고 내 집을 갖게 되는 일이 이렇게 행복한 일인 줄 몰랐어.,결혼하고 집을 갖게 되셨다니 축하드려요.
직장 생활에 드디어 적응한 것 같아.,직장생활에 적응하셨다니 정말 기쁘시겠어요.
남자친구와 관계가 정말 안정적이야.,남자친구와 관계가 좋으시군요.  어떤 것에서 그런 감정을 느끼시나요?
진로에 대해 막막했는데 이번 진로 상담을 통해 내 길을 찾은 것 같아!,진로를 정하셨군요. 마음이 어떠신가요?
이 일만 칠 년째 하다 보니 일이 익숙해서 편해.,같은 일을 오래 하셔서 익숙하시군요.
오늘 정말 많이 바쁜 하루였어. 피곤하고 졸려.,바쁘셔서 피곤하시군요.  혹시 스트레스가 있으신 걸까요?
이제 경제적으로 여유가 생겨서 가계부 쓸 때 맘이 좀 편해.,여유가 생겨서 기쁘시겠어요.
어제 남자친구한테 결혼 이야기를 꺼내 봤는데 남자친구가 기대에 찬 눈빛으로 내 말을 들어주더라.,정말 기분이 좋으셨겠어요. 남자친구가 뭐라고 대답하던가요?
성인이 되고 고등학교 때 친구들을 오랜만에 만나서 대화를 했는데 너무 마음이 편했어.,오래된 친구를 만났군요! 어떤 점이 편하셨어요?
요즘 회사생활이 좀 편해졌어.,회사생활이 편해지셔서 기쁘시겠어요.
이번 건강검진도 결과가 잘 나왔어.,축하드려요. 앞으로 건강관리는 어떻게 하실 계획이세요?
이번에 새로 들어간 회사가 정말 좋아.,새로 취직한 곳이 좋은 곳인가 보네요.
오늘 남자 직원들 다 외근이나 출장 나가고 나 혼자 밖에 없어서 점심에 내가 먹고 싶은 샌드위치 집에 갈 거야.,그동안 먹고 싶었던 샌드위치라 좋으시겠어요.
결혼을 하니깐 너무나도 좋은 것 같아.,어떤 점이 좋은지 알 수 있을까요?
스트레스 없이 일하니까 정말 좋네. 마음이 편안해.,다행이네요. 일하시는 게 스트레스가 없으시나요?
나 조금 있으면 결혼해. 마음이 편안해져.,결혼하신다니 너무 축하드려요.
이번 직장은 좋은 사람들이 많은 것 같아.,직장 동료 관계가 만족스러우시군요. 정말 좋은 일이네요.
오늘 고등학교 친구들과 오랜만에 만났는데도 편안하게 느껴졌어.,고등학교 친구들과 오랜만에 만나셨나요. 즐거우셨겠어요.
오랜 친구와 대화를 했더니 마음이 정말 편해.,오랜 친구와의 대화로 마음이 편해지셨군요. 
한동안 회사업무로 매우 힘들었는데 잘 해결돼서 너무 좋아. 마음이 편안해.,힘든 일이 잘 해결되어서 마음이 편안하시겠어요. 
나는 중요한 일을 어제 마무리 지어서 올해는 편하게 직장생활 할 수 있을 거 같아. 마음이 편안해.,중요한 일이 끝나셨군요. 어떤 일인지 구체적으로 알 수 있을까요?
드디어 승진에 필요한 자격증을 따서 마음이 한결 편안해졌어.,자격증을 따셨다니 축하해요. 얼마 동안 준비하신 건가요?
내 아기가 자는 모습을 보니 마음이 평온해져.,아기의 자는 모습이 아주 예쁜가 보네요.
결혼이 이렇게 안정감을 주는 건지 몰랐어.,결혼생활을 만족스럽게 느끼시는군요.
최근에 입사하게 된 회사의 분위기는 정말 좋은 것 같아.,현재 다니는 회사의 분위기가 어떤 부분이 좋다고 생각해요?
새로 들어간 직장이 좋아. 월급이 많거든.,월급이 많아서 직장에 만족하시는군요.
요즘 직장 다니기 힘들어.,무슨 일인지 좀 더 말씀해 주시겠어요?
직장가면 아프던 몸도 낫는 듯해.,직장생활이 체질이시군요.
나 취업했어.,취업하셨다니 정말 좋으시겠어요.
오랜 친구를 만났어.,오랜 친구를 만나서 기분이 어떠셨나요?
임신하고 육 개월 차가 되어 배가 불러오면서 몸이 무척 힘들었는데 어제는 편히 잤어.,임신 때문에 몸이 힘들었는데 편히 잠을 잤다니 다행이에요.
결혼하니까 마음이 편안하네.,어떤 점에서 마음이 편안하다고 느끼셨나요?
오늘 축구를 하고 왔는데 게임이 잘 풀려서 기분이 좋아!,축구게임 경기가 잘 풀리셨다니 정말 기분 좋으시겠어요.
남편이 공무원이라 삼십 년 근무하고 나면 연금이 바로 나오니까 그렇게 걱정은 안 해.,좋으시겠어요. 우리나라에서 그래도 공무원 연금이 최고인 것 같아요.
오랜만에 옛날 친구를 만났는데 편안하게 대화할 수 있었어.,오랜만에 만난 친구와 편하게 대화하셨군요.
결혼하고 나서 마음이 편안해졌어.,결혼 생활이 편안하신가 봐요.
친구랑 정말 오랜만에 만났어!,오랜만에 만나니 어떠셨나요?
결혼하길 잘한 것 같아.,결혼하길 잘했다고 생각하시네요. 어떤 점에서요?
오늘 기쁜 소식이 있어.,어떤 기쁜 소식이 있으신가요?
딸의 귀가 시간 문제로 어제 말다툼이 있었어. 딸이 아직도 연락을 안 받네.,딸과 의견 충돌이 있어서 마음이 불편하시겠어요.
나 결혼하기 정말 잘한 것 같아. 행복하고 마음이 편안해.,결혼하고 마음이 편안한가 보군요.
우리 팀원 중 한 명이 새로 왔는데 일 처리가 깔끔해서 덕분에 나도 직장생활이 편안해.,동료가 새로 와서 직장생활이 편안하게 느껴지시나 봐요.
업무가 많아 스트레스받네.,업무가 과중한가요?
어제 첫 출근을 했어.,어제 첫 출근을 하셨군요. 무슨 일이 있었는지 말씀해주실 수 있을까요?
지금은 매월 사십 만원 정도 적금을 들고 있어.,월 사십 만 원씩 저축하고 계신 이유가 있으세요?
애들이 커가니 교육비 부담도 커지네.,아이들이 커가니 교육비가 점점 많아지시나 봐요.
새로운 여자친구를 사귀었는데 진짜 마음에 들어.,여자친구의 어떤 점이 마음에 들어요?
나는 정말 운이 좋은 사람 같아.,운이 좋은 사람이라고 생각하시는군요. 무슨 좋은 일 있으신가 봐요.
어제 친구 결혼식에 다녀왔는데 그냥 눈물이 났어. 친구가 행복하게 잘 살았으면 좋겠는데 나는 언제 결혼하지?,친한 친구였다면 눈물이 날 수 있을 것 같아요. 사용자님 같은 친구가 있는 친구 분은 정말 행운인 것 같아요.
예전에 아이 문제로 고민이 많았었는데 이제 편안해졌어.,다행입니다. 어떻게 편안해지셨나요?
오늘 친구의 소개로 외국인 친구를 만나게 되었어.,새로운 외국인 친구를 만나셨군요!
이번 주말에 친구 만나기로 했어.,주말에 만나면 시간도 더 여유롭고 좋겠네요. 뭐 하실 계획인가요?
나이 들면서 세상을 보는 눈이 넓어졌어.,마음이 넓으신가 보네요.
아이가 어느 정도 크니까 이제 덜 힘드네. 요즘 신랑도 집안일을 많이 하고 가족이 화목해진 것 같아서 좋아.,가족의 화목이 느껴지네요.
아이가 게임만 해요.,아이가 게임만 해서 속상하시겠어요.
