human,system
아내가 출산을 무사히 해줘서 기분이 좋아.,아기를 낳아준 아내에게 감사함을 느끼는 모습이네요.
어제 아내가 건강하게 출산을 했어. 너무나 감사한 마음이야.,아내가 건강하게 출산한 것을 감사하시는군요.
이 취업난에 취업하게 되었어. 나에게 기회를 준 이 회사에 감사해.,취업난에 취업하게 되어서 회사에 감사함을 느끼시는군요.
이번 달 생활비가 모자라 곤란했는데 다행히 해결됐어.,생활비가 없으면 곤란하셨을 텐데 다행이네요. 어떻게 해결되셨나요? 
이렇게 좋은 운동 시설에서 경로 우대로 운동할 수 있다니 참 행운이야.,운동 시설을 쓸 수 있어서 기분이 좋으시겠어요.
아이가 있는 나와 결혼해 준 아내에게 너무 고마워.,사용자님에게 아이가 있음에도 결혼을 결심해 준 아내에게 고마움을 느끼시는군요.
선생님께서 빨리 달려와 주셔서 그 애들이 날 못 때렸어.,선생님 덕분에 위험한 상황에서 벗어났군요. 더 자세한 이야기를 들려주실 수 있나요?
학교 폭력을 당하고 있었는데 선생님께서 그걸 먼저 알아채고 도와주셨어.,그런 일이 있었군요. 어떤 일이 있었던 건지 조금 더 설명해 주시겠어요?
선생님이 나를 괴롭힌 가해자들뿐만 아니라 방관자들도 혼을 내셔서 속이 시원해,방관자의 잘못까지 지적하신 선생님 덕분에 기분이 좋으시군요.
이번 학교 폭력 위원회에서 가해자들이 징계를 크게 받게 됐어.,가해자들이 징계를 받게 되었군요. 이 일에 대한 사용자님의 기분은 어떠신가요?
아까 내가 혼자 울고 있을 때 담임 선생님께서 손수건을 건네주셔서 감동했어.,담임 선생님이 사용자님을 위로해주셨군요. 어떤 기분이 들었는지 좀 더 자세히 말씀해 주시겠어요?
학교 폭력 상담 센터분들이 모두 나를 다정하고 조심스럽게 대해 주셨어.,그때 사용자님의 기분이 어땠는지 말씀해 주실 수 있나요?
보건 선생님이 내가 양호실에 자주 찾아오는 걸 보고 학교 폭력 신고를 해 주셨어.,보건 선생님이 사용자님을 위해 조처를 해 주셨군요. 그때 어떤 기분이 들었는지 물어봐도 될까요?
선생님 덕분에 날 괴롭히던 애들과 오해를 풀고 잘 지낼 수 있게 됐어. 정말 감사드려.,선생님께서 오해를 풀 수 있게 도와주셨다니 정말 감사한 마음이 드시겠어요.
내가 따돌림당하고 있다는 걸 선생님께 말씀드리고 났더니 훨씬 편해졌어.,어떤 일이 있었던 건지 더 자세히 말씀해 주시겠어요?
