human,system
나 드디어 원하는 회사에 취업했어!,취업에 성공하셨군요. 축하해요. 기분이 어떠시나요?
나 그래도 다행인 부분이 첫 연애를 좋게 시작해서 좋은 것 같아.,그거 다행이네요. 연애에 만족하고 계시나요?
내 여자친구가 바람이 난 것 같아서 의심했어.,그래서 어떻게 하셨나요?
어제 실수로 삭제해버린 프레젠테이션 자료를 드디어 복구했어. 회의 시간에 겨우 맞춘 것 같아.,삭제했던 회의 자료를 제때 복구하여 안도하셨군요.
이번 직장은 나랑 잘 맞아서 다행이야. 업무도 재밌고 동료들도 좋아.,직장이 잘 맞아서 좋으시군요. 
노인회에서 텃세가 없어 다행스럽게도 적응이 쉬웠어.,텃세로 인한 마음고생을 하지 않으셔서 다행이에요.
내 나이가 많아서 사장이 그만두라고 할 것 같았지만 그러지 않아서 기뻐.,나이가 많아서 실업자가 될까 봐 불안하셨겠어요.
혼자라서 쓸쓸했을 때 다행히도 내게 말을 걸어 주는 노인에게 고마웠어.,혼자였을 때 말을 걸어 주는 사람이 있어서 든든하셨겠네요.
우리 동네 사람들이 내 잘못된 소문에 대해 오해하던 것이 풀려서 다행이야.,잘못된 소문이 해결되어서 다행이에요.
그동안 연락이 닿지 않았던 동창과의 연락이 닿아서 너무나 기뻐.,오랜만에 동창과의 연락이 닿아서 무척 기쁘시겠어요.
윗집에 사는 총각이 김장을 도와줘서 다행이야.,좋은 이웃과 함께해서 기쁘시겠어요.
경로당 청소를 다 같이 해서 금방 끝낼 수 있었어.,경로당 청소를 다 같이 해서 끝내셨군요.
노인복지 센터의 후원으로 우리 마을의 홍수 피해를 막아서 다행이야.,노인복지 센터의 후원 덕에 피해가 가지 않아 다행이에요.
노인 취업 센터에서 나에게 좋은 일자리를 알려 주어서 다행이야.,노인 취업 센터에서 일자리를 소개받아서 다행이시군요.
오랜만에 만난 노인들이 모두 나를 기억해 주어서 기뻐.,오랜만에 만났음에도 불구하고 기억해 주는 사람들이 있어서 기분이 좋으시겠어요.
며칠 기침을 해서 병원에 가 봤더니 안 아프대. 정말 다행이야.,아픈 게 아니어서 안심하셨군요.
나 코로나인 줄 알았는데 그냥 독감이었어. 다행이고 기뻐.,코로나가 아닌 독감이어서 기쁘셨군요.
눈이 찢어질 듯이 아파서 안과에 갔는데 괜찮대. 다행이지.,눈이 아팠는데 괜찮대서 안심하셨군요.
세상에. 내 혈당이 이렇게 많이 내려가다니 정말 기쁘네.,혈당이 많이 내려가서 정말 기쁘시겠어요.
이번 장마에 우리 집도 물에 잠겼었는데 다행히 국가에서 보상해준다는군.,그런 일이 있으셨군요. 국가 보사을 받을 수 있어서 다행이에요.
자연 분만을 하려고 하는데 출산할 때 남편이 옆에 있을 수 있어서 안심이야.,출산의 순간에 남편이 함께 할 수 있어 기쁘시군요.
이번에 본 면접에서 합격 통보를 받아서 너무 다행이야.,면접에 합격하셨다니 너무 기쁘시겠어요.
휴 이번 프로젝트도 성공적으로 마무리되었어.,프로젝트를 성공적으로 마무리하시다니 기쁘실 것 같아요.
날짜를 잘못 알아서 회사 지원공고 날짜를 놓칠 뻔했어.,지원 공고 날짜를 잘못 아셨다니 너무 놀라셨겠어요.
내 친구보다 좋은 회사에서 오늘 합격 통보를 받아서 다행이야.,회사에 합격했다니 너무 축하드려요. 그런데 친구분보다 더 좋은 곳에 가야 할 이유가 있나요?
이등한테 잡힐까 봐 조마조마했는데 다행히 시험을 잘 봐서 내가 일등을 했어.,일등을 유지해서 정말 기쁘셨을 것 같아요!
선생님의 위로를 듣고 나니 조급한 마음이 안정되고 기분이 좋아졌어.,선생님 위로 덕분에 기분이 좋아지셨군요.
친구랑 싸웠다가 어제 화해를 했는데 친한 친구여서 절교하면 어떡하나 사실 걱정을 많이 했거든. 정말 다행이야.,걱정을 많이 했는데 잘 해결되었군요.
돈 빌려준 친구한테 연락이 왔어. 사정이 생겼다고 일주일 뒤에 갚겠다고 정말 미안하다고 그러네.,돈보다는 믿었던 친구에게 연락이 와서 기쁘신 거겠죠?
개발 중인 프로젝트에서 장애가 발생해서 오늘도 야근해야 할 것 같아.,오늘도 야근이라고 하시는 거 보니 야근을 자주 하시나 봐요. 일이 많으신가 봐요.
취업이 고민이었는데 최근에 취업 멘토 프로그램을 알게 돼서 다행이야.,그 멘토 프로그램은 취업에 많은 도움이 되는 건가 봐요?
노년에도 건강해서 다행이다.,건강하신가 보네요?
노인이 되면서 만성 질환이 생겼어. 걱정이야.,만성 질환 때문에 불안하시겠어요. 
드디어 원하는 직장에 최종 합격을 했어.,최종 합격을 해서 기쁘실 것 같아요.
친구의 순산 소식에 저절로 눈물이 나왔어.,친구의 순산 소식이 눈물이 날 만큼 기쁘셨나 봐요.
지난주에 결혼 때문에 양가 부모님들을 모시고 상견례를 했어. 다들 결혼에 찬성하셔서 안도했어.,결혼을 앞두고 상견례를 무사히 마쳐서 다행스럽게 생각하는군요. 더 찾아뵙고 허락을 구해야 할 분이 계신가요?
난 현재를 즐기려고 해. 미래의 걱정 두려움은 생각 안 할래.,현재를 즐기시려고 노력하시는군요.
결혼은 꼭 해야 되는 걸까?,결혼을 꼭 해야 하는 것인지 의문이시군요.
아내가 무사히 출산했어!,아내가 아이를 무사히 출산해서 너무 기쁘시겠어요.
내가 육 개월 동안 다리가 저렸잖아. 고기를 멀리하고 채소를 많이 먹었더니 많이 좋아졌어.,건강이 좋아져서 안심되시겠어요.
나 어제 남자친구랑 오해가 있었던 거 잘 해결됐어!,잘 해결되었다니 정말 다행이에요.
병원에 다녀왔는데 이젠 아기가 잘 크고 있으니 너무 큰 걱정은 하지 않아도 된대.,산모와 아기 모두 건강하다니 잘 되었네요. 이전에는 걱정되는 일이 있으셨나요?
나이가 들면서 업무 강도가 세지는 것 같아.,업무강도가 많이 세져서 힘드신 건가요?
지난주에 위암이 의심된다고 정밀 검사를 받아 보자 해서 검사하고 왔는데 정말 다행이야.,그러셨군요. 정밀 검사 결과 확인은 언제 하세요?
작년 이맘때쯤 건강검진을 했는데 지방간에 혈중 콜레스테롤 수치가 조금 높다는 말을 들었었어. 하지만 다행이야.,그 이후에 건강관리는 어떻게 하셨나요?
이번 달은 어려웠는데 실적을 달성해서 다행이야.,실적을 달성하셔서 다행이에요. 수고하셨어요.
나는 노후 걱정이 없어. 아주 편안해.,정말 다행이네요. 노후준비를 해놓으신 건가요?
얼마 전에 남편이 바람피운 줄 알고 속상할 뻔했어.,남편이 바람피운 줄 알고 속상할 뻔했군요. 어떻게 된 일인지 말씀해주실 수 있을까요?
정말 다행이야 정기 건강검진 결과가 나왔는데 문제가 없다고 해.,다행이시네요. 축하합니다.
휴 다행이야 드디어 취업에 성공했어.,새로운 직장을 구하셨다니 진심으로 축하드려요.
아내가 아팠었는데 괜찮아져서 정말 다행이야.,많이 놀라셨겠어요. 완전히 회복되신 건가요?
임신한 아내가 별일이 없어서 다행이야.,무언가 일이 있으셨군요. 어떤 일인지 설명해주시겠어요?
우리 아이가 건강하게 태어나서 참 다행이야.,아이가 건강하게 태어나서 기분이 좋아 보이시네요. 아이 성별이 어떻게 되나요?
어제는 십년감수 했지 뭐야.,어제 십년감수하셨군요. 무슨 일 있으셨어요?
