human,system
결혼한 지 삼 년 만에 아이를 낳았어. 진짜 기뻐.,간절히 바라던 아이를 출산하셔서 기쁘시군요. 지금 바라는 것이 있으신가요? 
나 드디어 유튜브 십만 구독자에 도달했어!,유튜브 구독자 백만이라니 축하드려요.
서먹서먹했던 친구에게서 어젯밤에 연락이 왔어!,사이가 멀어졌던 친구에게서 연락이 왔군요. 대화는 잘 이루어졌나요?
우리 직렬이 드디어 직고용됐어. 오랜 기간 싸워왔는데 결국 원하는 결과를 얻어서 다행이야.,그동안 마음고생 심하셨을 텐데 복직되어서 무척 기뻐 보여요. 
이번 연극에서 내 친구가 감독으로 데뷔를 하더라고.,친구가 연극감독으로 데뷔하시는군요. 좀 더 이야기해 주세요.
나 내년 초에 드디어 결혼하게 됐어. 너무 기쁘다.,진심으로 축하드려요. 결혼하게 되니 얼마나 기쁘세요?
오늘 직장에서 성과금을 받았어. 동료들에게 선물을 돌리고 싶은데 어떤 게 좋을까?,성과금으로 어떤 선물을 하면 좋을지 고민이시군요.
어제 전화 왔어요. 공모전에서 나 상 받았다고요.,상을 받아서 신이 나신 것 같아요.
아이들이 이번에 시험을 쳤는데 성적이 올라서 기분이 좋아.,아이의 성적이 올라서 기쁘시군요.
나 어제 남자친구한테 프러포즈 받았어. 말로 표현할 수 없을 정도로 기뻐.,프러포즈라니 정말 멋지네요. 축하드려요!
드디어 저번 달로 대출을 다 갚았다.,대출금을 다 갚으셨군요.
사이가 틀어졌던 친구와 관계를 회복해서 너무 행복해!,화해하셨다니 기쁘시겠어요. 어떤 일이 있었는지 자세히 알 수 있을까요?
요즘 기분이 너무 좋아.,무슨 일로 기분이 좋으신가요?
그동안 고혈압 때문에 고생도 하고 고민도 많이 했는데 혈압이 정상 수치를 되찾았다고 그러네.,건강이 좋아져서 안심이 되시겠어요.
회사에서 분기별로 결산을 내는데 내가 속한 우리 부서가 성과가 좋아 올 연말에 가족 여행을 보내 준다네.,회사에서 가족여행을 보내준다니 정말 기쁘시겠어요.
인성이 바른 아이로 키우고 싶었는데 다행히 학교에서 교우 관계가 좋아 기분이 좋아.,자녀분의 교우 관계가 좋아 기분이 좋으시군요.
드디어 내가 가고 싶은 직장에 취업 성공했어!,마음에 드는 직장에 들어갔다고 하시니 기쁘시겠어요.
드디어 취업에 성공했어 너무 기뻐.,취업에 성공하셨다니 축하드려요.
기분 좋은 일이 생겼어. 축하해 줘.,무슨 좋은 일이에요?
오늘 오랜만에 고등학교 때 제일 친했던 친구를 우연히 만나서 너무 반가웠어.,기분이 좋으신 것 같아요. 자세히 말씀해주시겠어요?
다음 달에 결혼할 예정이야. 너무 설레고 기뻐,결혼할 생각에 행복하시군요. 신혼여행은 어디로 가시나요?
다음 달에 아내가 출산해. 너무 감격스러워.,아내가 다음 달에 출산해서 기쁘시군요. 아내를 위해 어떤 걸 해주고 싶으세요?
부인이 임신했대. 정말 기뻐.,축하드립니다. 정말 좋은 일이네요.
이민 갔던 친구가 오랜만에 한국에 온다네. 너무 기쁘고 기대돼.,오랜만에 만날 수 있어서 정말 기쁘시겠어요.
남자친구가 어제 프러포즈를 했어. 어제를 떠올리면 아직도 눈물이 날 것 같아.,프러포즈를 받았다니 정말 축하할 일이군요. 어떤 감정이었는지 설명해줄 수 있나요?
다이어트해서 십 킬로그램이나 체중을 줄였어.,운동한 보람이 있으시군요. 특별한 비결이 있으신가요?
우리 집 막내 아이가 퇴원했어.,그동안 마음고생 하셨을 텐데 기쁘시겠어요.
아이가 원하던 대학교에 합격했어.,자녀분이 원하던 대학에 합격했군요. 기분이 좋으시겠어요.
다니고 싶었던 회사에 합격했어! 급여도 예상보다 괜찮고 너무 좋아!,정말 기쁜 일이에요! 이 일을 같이 축하해 줄 사람이 있나요?
이번 일이 잘 마무리되어서 속이 시원해.,좋은 일이네요. 고생이 많으셨나 봐요.
나 곧 결혼하게 됐어. 너무 기쁘다.,결혼하시게 됐군요. 축하드려요! 정말 즐거우시겠어요.
드디어 십억을 모았어. 내가 원하는 삶을 살 수 있게 되었어.,정말 잘됐어요. 십억을 모아 원하던 삶을 살 수 있게 되어 기쁘시겠어요.
남자친구가 생기니 하루하루가 너무 행복해.,남자친구와 행복한 하루하루를 보내고 계시는군요.
나 오늘 너무 행복한 일이 있었어!,행복한 일이 있으셨군요. 무슨 일이 있으셨나요?
친구가 새로 생겼어.,새로운 친구를 알게 되었군요.
