human,system
퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.,천천히라도 직장을 구해 보려고 하시는군요. 특별한 이유가 있으신가요?
요즘 직장생활이 너무 편하고 좋은 것 같아!,직장생활이 편하고 좋으시다니 좋아 보여요. 다니고 계신 회사만의 장점이 있나요?
취업해야 할 나이인데 취업하고 싶지가 않아.,취업하고 싶지 않으시군요. 혹시 어떤 이유가 있을까요?
난 사람들 만나는 것보다 집에 혼자 있는 게 더 좋은데 대인관계가 꼭 필요할까?,대인관계에 대해 필요성이 없다고 생각하시는군요.
남들은 취업 때문에 정신없을 텐데 나는 마음이 느긋해,마음이 느긋하시군요. 어떤 비결이라도 있으신가요? 
대학수학능력시험을 잘 봐서 서울대에 지원했어.,시험을 잘 보셨다니 기쁘시겠어요.
동업하는 친구가 내게 부탁한 일이 있는데 거의 다 해서 느긋하게 마무리하는 중이야.,동업하는 친구분의 부탁을 거의 끝내 마음이 편하신 것 같아요.
요즘은 크게 고민도 없고 평온해. 이런 기분 좋다.,편안한 기분이시군요. 어떻게 지내시나요?
아프긴 해도 혼자 사니까 다른 사람 신경 쓰지 않아도 되고 모은 돈으로 살 수 있어서 좋아.,다른 사람을 신경 쓰지 않고 모은 돈으로 혼자 사는 것이 좋으시군요.
경제적으로 여유 있어 아픈 것만 빼면 삶이 너무 즐거워.,아프지만 경제적으로 여유가 있어서 즐거우시군요.
건강 검진을 받아도 경제적으로 여유로워 마음이 편해.,경제적으로 여유로워서 마음이 편하시군요.
만성 질환을 앓고 있어도 경제적으로 여유로워 약값 걱정이 안 돼.,약값 걱정이 안 들어서 매우 다행이군요.
아들이 병원 갈 때 함께 가주고 병원비도 내줘서 너무 든든해.,아들이 병원에 함께 가 주어서 정말 좋으실 것 같아요.
내가 가지고 있는 질환은 보험이 잘 돼서 다행이야. 친구는 질병 보험이 안 돼서 돈이 많이 든다더라고.,보험이 잘 되는 질환이라 정말 다행이네요.
나는 앞으로 건강 관리에 최선을 다할 거야. 돈 걱정은 없어서 많은 투자를 할 수 있어.,돈 걱정 없이 건강 관리에 최선을 다하시려는군요.
나는 예전부터 세계 여행이 내 꿈이었어. 만성 질환이 치료만 된다면 내 꿈을 이룰 거야.,질환이 치료된다면 세계 여행을 가려고 하시는군요.
자식들이 그래도 잘 풀려서 경제적으로 넉넉해서 다행이야. 경제적으로 기댈 수 있어서 많은 도움이 돼.,자녀분들이 경제적으로도 많은 도움을 주시나 봐요.
암에 걸리고 나니 욕심이 많이 줄어들어. 수술 후 도시를 떠나 전원생활을 하려고 해.,수술 후 전원생활을 하려고 하시는군요.
만성 질환은 악화되지만 않으면 관리하며 오래오래 지낼 수 있어.,질환이 악화되지 않으면 관리하며 지낼 수 있을 거라 생각하시는군요.
경로당의 노인들과 모두 좋은 인연이 될 수 있을 것 같아.,경로당의 노인들이 모두 좋으신 분들 같아서 다행이에요.
천천히 나이 들어가면서 함께 할 이웃 노인이 있어서 좋아.,나이가 들면서 함께 할 이웃이 있어서 기쁘시군요.
질환이 없어서 여기저기 다닐 수 있어서 좋아.,건강하셔서 다행이에요.
아직은 귀여운 손녀를 품에 안을 수 있을 정도로 건강해.,귀여운 손녀를 품에 안으셔서 행복하시겠어요.
마을 대표로 노래자랑을 나가라는 추천을 받았어.,노래를 무척 잘하시나 봐요.
내게 어떤 어려움이 와도 이웃들이 곁에 있어서 괜찮아.,이웃들이 좋은 분들이신가 봐요.
우리 마을에서는 노인들의 친목 활동을 위한 지원을 아끼지 않아.,마을에서 친목 활동을 위한 지원을 잘해주는군요.
이 동네에는 나와 말이 통하는 사람이 많아.,말이 통하는 사람이 많다고 여기시는군요.
목 디스크로 통증이 지속되어 병원을 찾았는데 경험 많은 전문 의사에게 치료를 받게 되어서 다행이야.,경험 많은 전문 의사에게 치료를 받게 되었다니 정말 다행이네요.
건강검진을 했는데 아무 이상이 없다고 해서 마음이 편안해.,건강검진 결과가 좋아서 기쁘신 것처럼 들려요.
젊어서부터 건강식품을 꾸준히 챙겨 먹었더니 건강에는 자신 있어.,건강에 대한 자신 있는 모습이 보기 좋아요.
운동하고 나면 온몸이 상쾌해지는 기분이야.,운동 후 기분이 매우 상쾌해서 기쁘겠어요.
예전에는 대인관계에 신경을 많이 썼는데 나이가 들수록 느긋해지는 것 같아.,대인관계에 신경을 덜 쓰게 된 자신에 대해 어떠신가요?
결혼한 지 십 년 차고 나이도 삼십 대 후반이지만 난 아직 아이 낳는 문제에 있어서 느긋해.,결혼생활을 오랫동안 해오고 있지만 아직 아이를 낳고 싶지는 않군요.
주변 친구들은 다들 결혼하고 싶어 소개팅에 안달인데 난 아직 연애에 대해 느긋해.,주변 친구들은 결혼하기 위해 애쓰지만 자신은 그렇지 않군요. 아직 연애가 급하지 않다고 생각하네요.
아이들도 다 키워 시집 장가 다 보냈고 노후에 받을 연금도 많이 들어둬서 큰 걱정은 없어서 다행이야.,마음의 여유가 있으시군요. 앞으로는 어떤 계획이 있나요?
집들이 준비에 친구들이 도와줘서 느긋하게 준비할 수 있었어.,친구가 도와줘서 여유 있게 준비하셨겠군요. 
오늘은 나름대로 쉬엄쉬엄 쉬면서 일한 것 같아. 그렇게 피곤하지 않네.,오늘은 바쁘지 않으셨군요.
모처럼 주말에 약속을 잡긴 했는데 너무 나가기 싫어.,오랜만에 있는 약속인데 왜 나가기 싫으신가요?
