human,system
직장 상사로부터 칭찬을 받았는데 너무 신이 나!,칭찬을 받아 기쁘군요. 어떤 칭찬을 받으셨나요?
취업해서 너무 신이 나!,취업해서 기쁘시군요. 취업하면 무엇을 가장 하고 싶으셨나요?
오늘 사장님께 칭찬받아서 매우 기뻐.,사장님께 칭찬받으셔서 기분이 좋으시군요.
지난주에 정말 가고 싶던 회사에 원서 접수했는데 합격했어. 매우 기뻐.,정말 축하해요. 이제 더 준비할 것이 남아있나요?
내가 친해지고 싶은 사람과 전화번호를 교환했어.,알고 지내고 싶은 분을 만나셨군요.
오늘 기쁜 소식이 있어. 몇 년 동안 준비해왔던 공무원 시험에 합격했어.,몇 년 동안 준비해 온 시험이 합격하다니 기분이 정말 좋으시겠군요.
이번에 드디어 취업이 됐어. 날아갈 것만 같은 기분이야.,취업에 성공해서 기쁘시군요. 
이 나이에 빵집에서 일하게 되다니! 정말 신난다!,취업하셨어요? 축하드려요.
복지관에서 소일거리를 했는데 감사하다고 사례금을 줬네.,열심히 일하셔서 사례를 받으셨군요.
손주에게 노트북을 사줬는데 저렇게 좋아하는 모습을 보니 내가 더 기쁘네.,손자분이 좋아하셔서 뿌듯함을 느끼시는군요.
드디어 경운기를 사서 아주 신이 나!,경운기를 사서 기분이 좋으시군요.
뜨개질해서 번 돈이 벌써 일억이 됐어. 정말 대단하지 않아?,돈을 많이 모아서 기쁘시겠어요.
나 평생 전세 살았잖아. 근데 최근에 작은 집을 내 명의로 사서 정말 기뻐.,집을 가지게 되셔서 행복하시겠어요.
드디어 만기가 된 적금을 탔는데 목돈이 생기니까 너무 신이 나!,목돈이 생겨서 기분이 좋으시군요.
동네가 사람들로 북적이니까 너무 좋아.,사람들이 많으니 기분이 좋아지셨군요.
이번에 노래자랑에서 장려상을 받았어. 기분이 날아갈 것 같아!,노래자랑에서 상을 타시다니 정말 기쁘시겠어요.
몇 년 동안 서양화를 배웠는데 이번에 좋은 평을 받았어.,좋은 평가를 받아서 기분이 좋으시겠어요.
컴퓨터를 아주 어렵게 배웠는데 이젠 주변 노인들한테 알려줄 수 있게 됐어.,주변 분들에게 알려드릴 만큼 컴퓨터 실력을 쌓으셨군요.
나랑 대화하는 걸 좋아하는 할머니가 있는데 그분 덕분에 나도 기분이 좋아.,대화가 잘 통하는 분이 계신가 봐요.
우리 동네 초등학교 애들 등하교 도우미로 참여하게 돼서 너무 신나!,등하교 도우미를 하게 되셨군요. 어떻게 된 일인지 알려주실 수 있으신가요?
게이트볼을 하게 됐는데 재밌는 취미를 새로 갖게 돼서 요새 아주 즐거워.,게이트볼이라는 취미를 새롭게 찾으셨군요. 어떤 점이 재밌고 좋은지 알려주실 수 있으신가요?
노인정에 나갔다가 한 할아버지한테 데이트 신청을 받아서 기분이 좋아.,데이트 신청을 받아서 기분이 좋으시군요.
노년에 연애라는 걸 하니 기분이 아주 새로워.,연애를 하게 되셔서 기분이 좋으신 것 같아요. 더 자세히 얘기해 주실 수 있으신가요?
내가 꾸준히 운동한 덕을 요즘 톡톡히 보고 있어.,꾸준한 운동의 덕을 보고 계시니 기쁘시겠군요.
적은 나이는 아니지만 가족들과 같이 해외여행을 자유롭게 할 수 있는 게 정말 행복해.,가족들과 같이 해외여행을 할 수 있어 기쁘시군요.
