human,system,
기업 열 군데에 원서를 넣었는데 모두 불합격이래. 충격적이야,열 군데 모두 불합격으로 인해 충격이시군요.,
내 친구에게 정말 실망했어.,친구분에게 실망했군요. 무슨 일이 있으셨는지 조금 더 자세히 듣고 싶어요.,
내가 목표로 삼고 있던 회사가 부도 처리되었다네. 아예 없어질지도 모르겠어.,목표로 하고 있던 회사가 없어질 위기에 처해서 당황하셨겠군요.,
여자친구가 바람을 피워서 정신적으로 충격을 받았어.,여자친구분의 행동으로 상실감이 크시겠어요.,
얼마 전 은행 계좌를 봤는데 생각보다 모아 둔 돈이 없더라고. 너무 충격이었어.,생각보다 계좌에 돈이 없어서 충격을 받으셨군요.,
아빠가 나보고 우리 엄마가 친엄마가 아니라 했어. 충격적이야.,어머니가 친어머니가 아니라는 말을 들었군요. 많이 충격받으셨겠어요.,
암 환자인 아내를 전염병 환자 취급하다니 정말 어처구니가 없네.,그런 일이 있으셨군요. 어떻게 된 일인지 더 자세히 설명해 주세요.,
머리카락이 너무 많이 빠져서 정말 괴로워.,머리숱이 줄어들어 속상하시군요.,
아내가 나 몰래 식당에서 일하고 있었더라고. 아마도 자존심 강한 내게 말하기 힘들었나 봐.,아내분이 아무 말도 없이 식당에서 일하고 있어서 상처를 받으셨군요.,
아내가 병에 걸린 나랑 이혼하려고 해서 너무 괴로워.,그런 일을 겪고 계시는군요. 더 자세히 말씀해 주시겠어요?,
회사 선배가 회삿돈을 빼돌렸다가 고소까지 당했다는 소식에 충격받았어.,회사 선배의 횡령 소식에 충격을 받았군요.,
열심히 준비한 회사채용 면접에서 탈락해서 충격받았어.,열심히 준비한 채용 면접에서 떨어져 충격을 받으셨군요.,
우리 부서가 옆 부서와 통합된다는 소식을 들어서 충격이야.,옆 부서와 통합된다는 소식에 충격을 받았군요.,
우리 부서의 기획안이 최종 심사에서 탈락해서 충격받았어.,준비한 기획안이 기각되어 충격적이겠군요.,
친구가 극단적인 선택을 시도했다는 소식을 들어서 너무 충격이야.,친구가 극단적인 선택을 시도했다는 소식에 충격이 컸겠군요.,
열심히 준비한 내 기획안을 부장님이 혹평하셔서 충격받았어.,준비한 기획안이 부장님께 혹평을 받아 충격이었군요.,
부장님에게 회의 때 폭언을 들어서 충격을 받았어.,부장님께 폭언을 들어 충격을 받았군요. 어떻게 된 일인지 조금 더 알 수 있을까요?,
친했던 동료들이 뒤에서 내 험담을 하는 것을 들어서 충격받았어.,친했던 동료들이 나의 뒷담화를 하고 있어 충격을 받았군요.,
어느 순간부터 회사에서 내가 항상 뒷담화를 당하고 있더라.,내 뒷담화를 하는 직원들의 모습에 상처가 되었겠군요.,
빨리 은퇴하고 노후 준비나 하라는 직장 후배의 뒷담을 들어서 충격받았어.,후배에게 그런 말을 듣다니 상처가 될 것 같아요.,
스트레스로 살이 쪄서 딸이 나랑 돌아다니기 싫다고 하네. 당황스러워.,딸의 말이 당황스럽고 상처가 되었을 것 같아요.,
남편이 나도 안면이 있는 회사 직원과 불륜을 저질렀다고 해서 충격이야.,남편과 내가 아는 회사 직원이 불륜을 저질러서 충격이 크겠어요.,
