human,system,
나 빼고 전부 결혼했어. 모임에 나갔더니 나만 혼자야.,혼자만 싱글이라 속상하시군요. 이럴 때 상황을 극복할 좋은 방법이 있을까요?,
나만 빼고 전부 결혼했어. 모임에 나갔더니 나만 혼자야.,혼자만 싱글이라 속상하셨겠군요. 이럴 때 상황을 극복할 좋은 방법이 있을까요?,
새로 발령받은 지사에 내 또래가 한 명도 없어. 다들 나보다 한참 어르신들뿐이야. 이제 내 회사 생활은 감옥 같겠구나.,동료와의 나이 차이가 커서 무척 고립감을 느끼시나 봐요.,
여자친구 집에서 우리 결혼을 반대해.,어떤 이유로 반대하시나요?,
연애해도 뭔가 허전해.,왜 허전하다고 생각하시나요?,
아내가 수술했는데 첫째는 외국에 있어서 못 오고 막내는 야근이라 못 온다네.,자제분들이 모두 바빠서 병문안을 오지 못하는데 기분이 어떠신가요?,
나와 남편은 벌써 몇 년째 각방을 쓰고 있어서 상처가 돼.,오래 각방을 쓰고 있어 상처를 받으시겠군요.,
우리 가족은 집에서도 서로 대화를 하지 않아 고립된 기분이야.,서로 대화를 하지 않아 고립된 기분이 드시겠군요.,
남편과 나는 서로가 무엇을 하는지 관심이 없어서 고립된 기분이야.,서로 관심이 없어서 고립된 기분이 드시는군요.,
남편과 집에 같이 있어도 따로 밥을 먹어서 속상해.,남편과 따로 밥을 먹어서 속상하시군요.,
남편이 애들만 데리고 저녁을 먹으러 가서 서운해,남편이 애들만 데리고 저녁을 먹으러 가서 서운하시군요.,
아들은 나 말고 남편에게만 고민을 털어놓아서 서운해.,아들이 남편에게만 고민을 털어놓아서 서운하시군요.,
남편과 아이들은 집에 내가 없어도 연락하거나 신경 쓰지 않아서 속상해.,남편과 아이들이 신경을 많이 쓰지 않아 속상하시군요.,
재혼 후 남편이 데려온 아들과 친해지기가 어려워.,친해지기가 어려워서 기분이 어떠신가요?,
전학 간 학교에서 집이 잘산다는 이유로 친구들이 나를 따돌리기 시작했어.,따돌림을 당해 외로워하는 것 같아요.,
내 중간고사 성적이 좋아서 선생님께 예쁨을 받으니까 친구들이 나를 싫어하는 것 같아.,친구들에게 따돌림당하는 것 같아 힘들어하시는군요.,
나도 친구들과 좋아하는 연예인에 대해 이야기 하고 싶은데 그럴 수 없어서 괴로워.,함께 연예인 이야기를 할 친구가 없어 외로워하는 것 같아요.,
친구들로부터 따돌림을 당하고 있어서 괴로워.,따돌림을 당해서 힘들어하고 계시는군요. 더 자세히 말씀해 주세요.,
오늘 출장 갔다가 돌아왔는데 공항에 아무도 마중 나오지 않았어. 너무 섭섭해.,출장 갔다 돌아오셨는데 공항에 아무도 없다니 섭섭하신 감정을 느끼셨군요.,
열심히 노력하는데도 나만 왜 연애를 못 하는지 이해할 수 없어. 정말 고립된 기분이네.,열심히 노력하셨는데도 원하는 바를 이루지 못해서 많이 속상하시겠어요.,
삼 년 동안 공무원 준비만 하니까 너무 고립된 느낌이야.,공부하느라 사람들을 못 만나셨나 봐요. 새로운 분야에 도전하고 싶으신가요?,
부모님이 돌아가시고 나니 세상에 완전히 나 혼자 남겨진 기분이야.,부모님이 돌아가셔서 외로우시군요. 다른 누군가가 있을까요?,
결혼하고 육아하고 회사 다니다 보니 젊었을 때 만났던 친구들 전부 어느새 연락이 끊겨서 고립된 것 같아.,육아와 회사 일로 한정된 인간관계에 고립감을 느끼시는군요. 이럴 땐 어떻게 하는 게 좋을까요?,
나만 빼고 주변 친구들 모두 남자친구가 있어서 외로워.,혼자만 남자친구가 없어서 외로우셨군요.,
나는 내가 어떤 일을 좋아하는지 모르겠어. 나는 무엇을 잘하는 걸까?,좋아하는 것을 찾고 있는 과정이군요. 주변에 누구와 상의하나요?,
주변 친구들은 다 남자친구가 있는데 나만 없는 것 같아서 우울해.,남자친구가 생기기 위해서는 어떻게 해야 할까요?,
직장 동료들이 다 결혼했거나 아이가 있어서 대화할 때마다 나만 소외되는 것 같아.,직장 동료와의 대화에서 소외되는 느낌을 받으셨군요. 많이 힘드셨겠어요.,
나는 친구가 하나도 없어. 너무 불행해.,친구가 없어 불안하시는군요.,
아무도 나를 좋아해 주지 않아.,아무도 나를 좋아하지 않는 것 같아서 속상하시군요.,
